Date,Depth_m,PAR,Chla_ugL
2020-07-29T00:34:31Z,0.104,381.63,0.0244
2020-07-29T00:34:31Z,0.107,439.79,0.0654
2020-07-29T00:34:31Z,0.107,478.4,0.0908
2020-07-29T00:34:31Z,0.103,492.14,0.0925
2020-07-29T00:34:31Z,0.098,500.94,0.0662
2020-07-29T00:34:31Z,0.097,502.1,0.0212
2020-07-29T00:34:31Z,0.101,484.65,0.006
2020-07-29T00:34:31Z,0.108,438.05,0.0161
2020-07-29T00:34:31Z,0.113,413.6,0.0392
2020-07-29T00:34:31Z,0.118,458.09,0.0749
2020-07-29T00:34:31Z,0.127,506.48,0.0854
2020-07-29T00:34:31Z,0.147,482.75,0.0704
2020-07-29T00:34:31Z,0.178,423.85,0.0651
2020-07-29T00:34:31Z,0.216,396.95,0.1174
2020-07-29T00:34:31Z,0.251,374.88,0.2064
2020-07-29T00:34:31Z,0.282,361.43,0.2544
2020-07-29T00:34:31Z,0.316,391.19,0.2689
2020-07-29T00:34:31Z,0.358,427.92,0.2766
2020-07-29T00:34:31Z,0.401,440.66,0.281
2020-07-29T00:34:31Z,0.437,448.89,0.2927
2020-07-29T00:34:31Z,0.465,457.99,0.3042
2020-07-29T00:34:31Z,0.487,451.97,0.2964
2020-07-29T00:34:31Z,0.502,440.41,0.2835
2020-07-29T00:34:31Z,0.509,437.06,0.2815
2020-07-29T00:34:31Z,0.512,450.46,0.283
2020-07-29T00:34:31Z,0.514,467.15,0.2823
2020-07-29T00:34:31Z,0.519,466.15,0.2723
2020-07-29T00:34:31Z,0.526,460.08,0.2676
2020-07-29T00:34:31Z,0.536,460.67,0.273
2020-07-29T00:34:31Z,0.544,462.64,0.2798
2020-07-29T00:34:31Z,0.548,464.94,0.2837
2020-07-29T00:34:31Z,0.548,473.27,0.2818
2020-07-29T00:34:31Z,0.543,488.65,0.2763
2020-07-29T00:34:31Z,0.532,503.28,0.2547
2020-07-29T00:34:31Z,0.511,520.51,0.2305
2020-07-29T00:34:31Z,0.477,539.87,0.2221
2020-07-29T00:34:31Z,0.441,540.12,0.2197
2020-07-29T00:34:31Z,0.421,529.47,0.2114
2020-07-29T00:34:31Z,0.429,523.92,0.1979
2020-07-29T00:34:31Z,0.453,516.94,0.1991
2020-07-29T00:34:31Z,0.473,514.34,0.2165
2020-07-29T00:34:31Z,0.476,516.52,0.2276
2020-07-29T00:34:31Z,0.466,513.78,0.2191
2020-07-29T00:34:31Z,0.451,503.61,0.2086
2020-07-29T00:34:31Z,0.441,494.55,0.2062
2020-07-29T00:34:31Z,0.444,487.03,0.2094
2020-07-29T00:34:31Z,0.459,479.7,0.2371
2020-07-29T00:34:31Z,0.475,478.78,0.274
2020-07-29T00:34:31Z,0.485,481.4,0.2839
2020-07-29T00:34:31Z,0.487,487.48,0.2704
2020-07-29T00:34:31Z,0.484,492,0.2634
2020-07-29T00:34:31Z,0.477,491.14,0.2758
2020-07-29T00:34:31Z,0.471,490.85,0.2869
2020-07-29T00:34:31Z,0.471,491.08,0.2925
2020-07-29T00:34:31Z,0.476,492.92,0.3053
2020-07-29T00:34:31Z,0.486,494.21,0.327
2020-07-29T00:34:31Z,0.499,493,0.3457
2020-07-29T00:34:31Z,0.513,491.07,0.3507
2020-07-29T00:34:31Z,0.527,489.86,0.3488
