Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP_mV,PAR,Salinity,Descent Rate (m/s),Density_mg_m3,Flag
2020-06-28T09:41:31Z,1.193,22.3259,1.9104,1.6656,31.745,30.097408,5.3821,87.895,7.603,168.7163,0.12358,1.7548380646630937,-1.142e-13,997.7192,0
2020-06-28T09:41:31Z,1.193,22.346800000000002,1.8746,1.6306,31.73,30.089978,5.3902,87.4,7.6,169.0354,0.12356,1.753138894013755,9.3893e-14,997.7143,0
2020-06-28T09:41:31Z,1.193,22.3678,1.8751,1.6202,31.725,30.090488,5.3853,86.902,7.597,169.1439,0.12365,1.7520216337071506,1.1556e-12,997.7095,0
2020-06-28T09:41:31Z,1.193,22.3856,1.9452,1.6427,31.733,30.103591,5.3659,86.467,7.594,169.2534,0.12374,1.7517901838488712,1.2723e-11,997.7053,0
2020-06-28T09:41:31Z,1.193,22.3993,2.065,1.6623000000000001,31.748,30.121527,5.3374,86.104,7.59,168.8114,0.12374,1.752128459154084,1.3995e-10,997.7022,0
2020-06-28T09:41:31Z,1.193,22.41,2.1318,1.6519,31.74,30.117043,5.3048,85.782,7.586,168.0152,0.12369,1.7512415316535102,1.5395e-9,997.6997,0
2020-06-28T09:41:31Z,1.194,22.4192,2.1421,1.6199,31.734,30.11282,5.2719,85.47,7.583,167.7999,0.12368,1.750530503055712,1.6934e-8,997.6976,0
2020-06-28T09:41:31Z,1.194,22.4273,2.1511,1.6525,31.753,30.133905,5.2446,85.164,7.581,167.929,0.1237,1.7513217732798156,1.8627e-7,997.6957,0
2020-06-28T09:41:31Z,1.194,22.4333,2.1741,1.7375,31.793,30.181661,5.223,84.906,7.58,168.1999,0.12371,1.7534206523953193,1.8627e-7,997.6943,0
2020-06-28T09:41:31Z,1.194,22.4376,2.2008,1.7546,31.83,30.246179,5.2035,85.06,7.577,168.6668,0.12369,1.7554109183428985,1.6934e-8,997.6934,0
2020-06-28T09:41:31Z,1.194,22.4406,2.2162,1.7224,31.814,30.279626,5.1847,86.622,7.573,168.3254,0.12367,1.754359394676974,1.5395e-9,997.6927,0
2020-06-28T09:41:31Z,1.193,22.4441,2.1984,1.6914,31.757,30.268943,5.1649,90.285,7.57,167.2563,0.12368,1.750896530821878,1.3995e-10,997.6918,0
2020-06-28T09:41:31Z,1.193,22.4479,2.1578,1.6549,31.702,30.243955,5.1469,95.454,7.568,166.8393,0.12368,1.747539538911268,1.2723e-11,997.691,0
2020-06-28T09:41:31Z,1.194,22.49,2.1445,1.658,31.672,30.23129,5.1251,101.02,7.565,166.9831,0.12364,1.7441459154900185,1.1566e-12,997.6813,0
2020-06-28T09:41:31Z,1.194,22.5886,2.1519,1.6606,31.673,30.242717,5.184,106.151,7.563,167.1878,0.12364,1.7403641260576403,1.0515e-13,997.6583,0
2020-06-28T09:41:31Z,1.194,22.6659,2.1521,1.652,31.683,30.255255,5.4211,110.337,7.561,167.5078,0.12358,1.7379439530632386,9.559e-15,997.6403,0
2020-06-28T09:41:31Z,1.194,22.6983,2.1664,1.6906,31.688,30.256009,5.7556,113.288,7.558,167.6687,0.12354,1.736978441372914,8.69e-16,997.6328,0
2020-06-28T09:41:31Z,1.194,22.7246,2.2006,1.7166,31.694,30.251827,6.1052,114.855,7.556,167.4118,0.12361,1.7363080499198038,7.9e-17,997.6265,0
2020-06-28T09:41:31Z,1.194,22.7394,2.2224,1.7254,31.663,30.204676,6.4236,115.132,7.554,166.8974,0.12365,1.7339392934527833,7.182e-18,997.6231,0
2020-06-28T09:41:31Z,1.194,22.7453,2.22,1.7279,31.619,30.129971,6.6797,114.495,7.551,166.5258,0.12364,1.7311625549135379,6.529e-19,997.6217,0
2020-06-28T09:41:31Z,1.194,22.7405,2.2096,1.6786,31.656,30.109794,6.8635,113.471,7.549,166.4465,0.12365,1.7334912404450018,5.9355e-20,997.6228,0
2020-06-28T09:41:31Z,1.194,22.721800000000002,2.2107,1.6436,31.761,30.150959,6.9577,112.446,7.547,166.6262,0.12368,1.7403003510075983,5.396e-21,997.6272,0
2020-06-28T09:41:31Z,1.194,22.7005,2.2139,1.6484,31.816,30.183527,6.97,111.647,7.545,166.8052,0.12371,1.7443172509091283,4.9052e-22,997.6322,0
2020-06-28T09:41:31Z,1.194,22.655,2.2105,1.6338,31.796,30.186342,6.9231,111.198,7.541,166.9757,0.12372,1.7449272086441618,4.4593e-23,997.6428,0
2020-06-28T09:41:31Z,1.194,22.5626,2.2081,1.6044,31.779,30.185034,6.8664,111.035,7.537,167.2254,0.1237,1.7475420966059585,4.0539e-24,997.6643,0
2020-06-28T09:41:31Z,1.194,22.4301,2.2036,1.6014,31.762,30.167743,6.8175,110.978,7.534,167.2444,0.12369,1.7517371911107318,3.6854e-25,997.6951,0
2020-06-28T09:41:31Z,1.194,22.3951,2.2037,1.6319,31.753,30.167592,6.7695,110.929,7.531,167.1188,0.12372,1.7525853126414879,3.3503e-26,997.7032,0
2020-06-28T09:41:31Z,1.194,22.4803,2.2091,1.6651,31.75,30.18321,6.7334,110.898,7.527,167.0829,0.12375,1.749070536409006,3.0458e-27,997.6835,0
2020-06-28T09:41:31Z,1.194,22.4994,2.222,1.6588,31.717,30.166291,6.7263,110.898,7.525,167.1544,0.1237,1.7464007329459057,2.7689e-28,997.6791,0
2020-06-28T09:41:31Z,1.194,22.4735,2.2449,1.6251,31.705,30.153361,6.7281,110.894,7.523,167.4684,0.12365,1.7467134382035112,2.5172e-29,997.6851,0
2020-06-28T09:41:31Z,1.194,22.4903,2.2571,1.6351,31.724,30.153752,6.722,110.848,7.519,167.7818,0.12369,1.7471641604118382,2.2883e-30,997.6813,0
2020-06-28T09:41:31Z,1.194,22.5306,2.2646,1.6764,31.708,30.107559,6.7145,110.785,7.515,167.7594,0.12373,1.7446587504058662,2.0803e-31,997.6719,0
2020-06-28T09:41:31Z,1.194,22.559,2.3067,1.7466,31.688,30.03887,6.7115,110.723,7.513,167.7144,0.1237,1.742388055235334,1.8912e-32,997.6652,0
2020-06-28T09:41:31Z,1.194,22.5557,2.3652,1.866,31.734,30.021013,6.7137,110.65,7.511,167.7536,0.12369,1.7451930227401022,1.7192e-33,997.666,0
2020-06-28T09:41:31Z,1.194,22.5262,2.3909,1.953,31.776,30.018442,6.7131,110.628,7.51,167.7181,0.1237,1.748789817513734,1.5629e-34,997.6729,0
2020-06-28T09:41:31Z,1.194,22.4789,2.3975,1.974,31.776,30.007715,6.7147,110.778,7.509,167.629,0.12373,1.750640915490913,1.4209e-35,997.6838,0
2020-06-28T09:41:31Z,1.194,22.4081,2.4169,1.9485,31.797,30.01818,6.7215,111.172,7.508,167.4497,0.12378,1.7546440408863555,1.2917e-36,997.7002,0
2020-06-28T09:41:31Z,1.194,22.28,2.4441,1.8852,31.818,30.018086,6.7319,111.728,7.506,167.2708,0.12377,1.760920755421355,1.1743e-37,997.7297,0
2020-06-28T09:41:31Z,1.194,22.2029,2.4598,1.8606,31.828,30.006556,6.7375,112.299,7.503,167.2735,0.12371,1.7645590072857735,1.0675e-38,997.7473,0
2020-06-28T09:41:31Z,1.194,22.2194,2.4724,1.8919,31.845,30.005614,6.7422,112.82,7.501,167.3095,0.12362,1.764901933350615,9.705e-40,997.7436,0
2020-06-28T09:41:31Z,1.194,22.2052,2.4918,1.9202,31.855,30.006673,6.77,113.305,7.5,167.362,0.12356,1.7660517528793986,8.8225e-41,997.7468,0
2020-06-28T09:41:31Z,1.194,22.167,2.5129,1.9278,31.871,30.019352,6.8137,113.765,7.497,167.4782,0.12353,1.7685082485720411,8.0205e-42,997.7556,0
2020-06-28T09:41:31Z,1.194,22.1312,2.5282,1.8806,31.879,30.032027,6.8539,114.155,7.495,167.3383,0.12358,1.7704028264223703,7.2915e-43,997.7638,0
2020-06-28T09:41:31Z,1.194,22.0996,2.5332,1.8307,31.862,30.033051,6.8894,114.408,7.494,167.0468,0.12368,1.7706623830594324,6.6285e-44,997.771,0
2020-06-28T09:41:31Z,1.194,22.0923,2.5357,1.8396,31.822,30.031757,6.9191,114.558,7.491,166.8798,0.12372,1.7686007481354356,6.026e-45,997.7727,0
2020-06-28T09:41:31Z,1.194,22.0864,2.4626,1.8158,31.739,30.01644,6.9493,114.713,7.487,166.7815,0.12369,1.7639540470629524,5.478e-46,997.774,0
2020-06-28T09:41:31Z,1.194,22.0924,2.3076,1.7154,31.629,29.974812,6.9744,114.836,7.483,166.7182,0.12363,1.7572485387876224,4.9801e-47,997.7726,0
2020-06-28T09:41:31Z,1.194,22.117,2.2162,1.655,31.536,29.909168,6.9863,114.821,7.48,166.7164,0.12362,1.750812520516382,4.531e-48,997.767,0
2020-06-28T09:41:31Z,1.194,22.1611,2.2058,1.6695,31.499,29.857172,6.985,114.67,7.475,166.9326,0.12362,1.7469057039217548,4.5133e-49,997.7569,0
2020-06-28T09:41:31Z,1.194,22.2777,2.2098,1.6852,31.52,29.853607,6.9795,114.294,7.471,167.1808,0.12359,1.7435652196218474,4.7469e-49,997.7301,0
2020-06-28T09:41:31Z,1.194,22.4116,2.2175,1.6731,31.548,29.866034,6.9753,113.744,7.467,167.1358,0.12358,1.7399727359717474,4.8134e-48,997.6994,0
2020-06-28T09:41:31Z,1.194,22.4419,2.214,1.6266,31.582,29.880529,6.9651,113.305,7.464,167.0771,0.12361,1.7407753208788017,5.2911e-47,997.6923,0
2020-06-28T09:41:31Z,1.194,22.3901,2.2049,1.6022,31.644,29.901955,6.9682,113.02,7.459,166.9872,0.12361,1.7464160161539508,5.8201e-46,997.7042,0
2020-06-28T09:41:31Z,1.194,22.3382,2.2689,1.6875,31.659,29.8713,6.9536,112.784,7.455,166.6517,0.12366,1.749325705051698,6.4021e-45,997.7163,0
2020-06-28T09:41:31Z,1.194,22.3311,2.3966,1.7998,31.591,29.763567,6.9081,112.61,7.45,166.3761,0.1238,1.7456283639488828,7.0423e-44,997.7178,0
2020-06-28T09:41:31Z,1.194,22.3175,2.4616,1.8264,31.552,29.677753,6.8857,112.537,7.446,166.8377,0.12381,1.7438802042718433,7.7466e-43,997.721,0
2020-06-28T09:41:31Z,1.195,22.2461,2.4648,1.8378,31.585,29.658365,6.8815,112.562,7.443,167.759,0.12369,1.7486096171115597,8.5212e-42,997.7374,0
2020-06-28T09:41:31Z,1.195,22.1677,2.4541,1.8694,31.612,29.65594,6.8759,112.736,7.439,168.0514,0.12367,1.753276868388406,9.3734e-41,997.7553,0
2020-06-28T09:41:31Z,1.195,22.1053,2.4277,1.8994,31.663,29.711832,6.8719,113.073,7.434,167.7056,0.12372,1.7587366441204688,1.0311e-39,997.7696,0
2020-06-28T09:41:31Z,1.195,22.0322,2.4024,1.9257,31.751,29.826658,6.8791,113.567,7.429,167.1917,0.12374,1.7668150001912784,1.1342e-38,997.7862,0
2020-06-28T09:41:31Z,1.194,21.9286,2.3865,1.9135,31.786,29.902448,6.8918,114.27,7.425,166.9142,0.12372,1.7730128894737787,1.2476e-37,997.8098,0
2020-06-28T09:41:31Z,1.194,21.8743,2.379,1.8889,31.774,29.930439,6.9091,115.135,7.421,167.4473,0.12374,1.7744784971837104,1.3724e-36,997.822,0
2020-06-28T09:41:31Z,1.195,21.905,2.3404,1.9376,31.732,29.911406,6.928,115.948,7.417,168.4763,0.12379,1.7707685780596685,1.5096e-35,997.8151,0
2020-06-28T09:41:31Z,1.195,21.9564,2.2628,1.9867,31.602,29.799228,6.9475,116.447,7.413,168.9445,0.12381,1.7610494336488915,1.6605e-34,997.8035,0
2020-06-28T09:41:31Z,1.195,22.0319,2.2131,1.9341,31.433,29.65256,6.9821,116.527,7.409,168.8925,0.12376,1.7481088446223594,1.8266e-33,997.7863,0
2020-06-28T09:41:31Z,1.195,22.109,2.197,1.8504,31.303,29.533715,7.0289,116.268,7.405,168.6214,0.12363,1.7374423081746984,2.0093e-32,997.7688,0
2020-06-28T09:41:31Z,1.195,22.1317,2.1825,1.8327,31.233,29.440736,7.083,115.795,7.401,168.1623,0.12358,1.732447331792157,2.2102e-31,997.7636,0
2020-06-28T09:41:31Z,1.195,22.1386,2.162,1.8917,31.283,29.416449,7.1146,115.254,7.399,168.1592,0.12363,1.7351122210316277,2.4312e-30,997.762,0
2020-06-28T09:41:31Z,1.196,22.1631,2.1401,1.9457,31.392,29.430269,7.1131,114.844,7.396,168.756,0.12368,1.7405497527902163,2.6743e-29,997.7563,0
2020-06-28T09:41:31Z,1.196,22.1853,2.1377,1.9366,31.452,29.417391,7.092,114.774,7.393,169.2699,0.12372,1.7431994851005932,2.9418e-28,997.7512,0
2020-06-28T09:41:31Z,1.195,22.1578,2.2374,1.9195,31.385,29.324094,7.0638,115.123,7.389,169.3822,0.12375,1.7403465005813428,3.2359e-27,997.7574,0
2020-06-28T09:41:31Z,1.195,22.0207,2.4202,1.9443,31.107,29.063426,7.0457,115.796,7.387,169.3391,0.12373,1.7293703713836814,3.5595e-26,997.7887,0
2020-06-28T09:41:31Z,1.195,21.8572,2.5163,1.9279,30.804,28.739698,7.0364,116.565,7.384,169.3514,0.1237,1.7178806521195091,3.9155e-25,997.8258,0
2020-06-28T09:41:31Z,1.196,21.7395,2.5315,1.8931,30.7,28.518231,7.047,117.152,7.381,169.3592,0.1237,1.7163068696971469,4.307e-24,997.8522,0
2020-06-28T09:41:31Z,1.196,21.6811,2.6042,1.9692,30.696,28.352001,7.0784,117.446,7.378,169.0037,0.12367,1.7183403378375646,4.7377e-23,997.8654,0
2020-06-28T09:41:31Z,1.195,21.7335,2.7277,2.0926,30.681,28.188571,7.1176,117.594,7.376,168.5807,0.12364,1.715416240217155,5.2115e-22,997.8535,0
2020-06-28T09:41:31Z,1.195,21.7132,2.8051,2.1496,30.69,28.064423,7.1753,117.839,7.374,168.6317,0.12364,1.716736987725023,5.7327e-21,997.8579,0
2020-06-28T09:41:31Z,1.195,21.4595,2.8237,2.143,30.655,27.929126,7.25,118.323,7.372,168.8462,0.12364,1.7245602521454033,6.3059e-20,997.9143,0
