Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP_mV,PAR,Salinity,Descent Rate (m/s),Density_mg_m3,Flag
2020-07-07T20:43:41Z,0.202,28.2407,-0.2776,0.8286,52.624,56.047696,4.4542,79.206,8.229,144.065,944.3,2.64249260736084,-0.007,996.1913,0
2020-07-07T20:43:41Z,0.197,28.242,-0.2753,0.6908,52.573,55.9945,4.3773,80.295,8.211,144.558,902.15,2.639695000505506,-0.007,996.191,0
2020-07-07T20:43:41Z,0.194,28.2439,-0.2677,0.6508,52.525,55.943439,4.3128,81.817,8.193,144.9022,988.13,2.63702547974303,-0.005,996.1904,0
2020-07-07T20:43:41Z,0.193,28.2442,-0.2532,0.6889,52.52,55.938481,4.2829,83.52,8.18,144.8711,1100.7,2.636741921207887,-0.002,996.1903,0
2020-07-07T20:43:41Z,0.194,28.246,-0.2426,0.7399,52.516,55.934561,4.3032,85.164,8.166,145.0424,838.18,2.6364302460963036,0.003,996.1898,0
2020-07-07T20:43:41Z,0.197,28.2487,-0.2447,0.7184,52.48,55.896032,4.3711,86.466,8.146,145.3389,660.45,2.6343590942200414,0.006,996.189,0
2020-07-07T20:43:41Z,0.2,28.2482,-0.2499,0.6353,52.441,55.85375,4.4575,87.243,8.126,145.1869,830.67,2.6323016027065003,0.008,996.1892,0
2020-07-07T20:43:41Z,0.202,28.2468,-0.2485,0.6276,52.395,55.804451,4.5543,87.46,8.113,145.1824,950.45,2.629918871611303,0.008,996.1896,0
2020-07-07T20:43:41Z,0.205,28.2485,-0.2367,0.693,52.339,55.744588,4.6509,87.227,8.099,145.3713,866.14,2.6268338237416504,0.006,996.1891,0
2020-07-07T20:43:41Z,0.206,28.2491,-0.2319,0.7395,52.3,55.701623,4.7246,86.77,8.088,145.1471,757.43,2.6247171674572045,0.003,996.189,0
2020-07-07T20:43:41Z,0.206,28.2465,-0.2471,0.7444,52.268,55.666082,4.7684,86.3,8.082,145.1399,764.36,2.623147852942378,-0,996.1897,0
2020-07-07T20:43:41Z,0.206,28.2468,-0.2682,0.7173,52.236,55.632455,4.7775,85.85,8.072,145.6282,917.39,2.6214216725994044,-0.002,996.1896,0
2020-07-07T20:43:41Z,0.205,28.2482,-0.2767,0.6865,52.217,55.612635,4.7607,85.403,8.05,146.0597,1077,2.6203308334086257,-0.002,996.1891,0
2020-07-07T20:43:41Z,0.201,28.2444,-0.2641,0.6813,52.222,55.616996,4.73,84.939,8.018,146.2277,982.52,2.620803375166108,-0.001,996.1902,0
2020-07-07T20:43:41Z,0.2,28.2419,-0.2403,0.6889,52.227,55.621661,4.7053,84.303,7.985,146.5422,793.34,2.6212056825443897,0,996.1909,0
2020-07-07T20:43:41Z,0.203,28.245,-0.2367,0.6752,52.21,55.605518000000004,4.6824,83.508,7.949,146.9362,727.59,2.62012967859184,0.001,996.1901,0
2020-07-07T20:43:41Z,0.205,28.246,-0.2395,0.6866,52.215,55.612369,4.6544,82.724,7.907,146.8617,724.92,2.6203427486828805,0.001,996.1898,0
2020-07-07T20:43:41Z,0.205,28.2428,-0.2166,0.7924,52.245,55.640979,4.6371,82.038,7.877,146.5871,809.96,2.622118762643652,0,996.1906,0
2020-07-07T20:43:41Z,0.205,28.2413,-0.1889,0.8899,52.24,55.633844,4.6011,81.468,7.871,146.456,905.57,2.621932599404477,-0.001,996.1911,0
2020-07-07T20:43:41Z,0.205,28.2462,-0.1716,0.9054,52.198,55.589622,4.5519,81.009,7.881,146.3949,835.91,2.6194235711213483,-0.002,996.1897,0
2020-07-07T20:43:41Z,0.202,28.2486,-0.189,0.8415,52.161,55.550928999999996,4.509,80.663,7.896,146.1919,773.36,2.6173173396169163,-0.001,996.1889,0
2020-07-07T20:43:41Z,0.198,28.2424,-0.237,0.7358,52.158,55.547118,4.4706,80.372,7.91,145.9814,1019.3,2.6174916396650487,0.001,996.1907,0
