Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP_mV,PAR,Salinity,Descent Rate (m/s),Density_mg_m3,Flag
2020-07-09T02:22:06Z,0.004,27.7851,1.1613,1.0936,32.396,34.204978,5.589,101.231,6.712,88.2442,442.03,1.59418217241415,1.7041e-10,996.3137,0
2020-07-09T02:22:06Z,0.004,27.7848,1.1709,1.0445,32.391,34.200364,5.5889,101.031,6.707,88.3248,441.35,1.5939319284300009,1.8745e-9,996.3138,0
2020-07-09T02:22:06Z,0.004,27.7849,1.1717,1.0475,32.396,34.206766,5.5836,100.819,6.703,88.4633,439.39,1.594188758268605,2.062e-8,996.3137,0
2020-07-09T02:22:06Z,0.004,27.7852,1.1714,1.0964,32.407,34.218937,5.5751,100.685,6.699,88.5416,435.25,1.594751203148359,2.2682e-7,996.3136,0
2020-07-09T02:22:06Z,0.004,27.786,1.1762,1.1206,32.409,34.220619,5.5657,100.665,6.695,88.4976,431.07,1.594828891595404,0,996.3134,0
2020-07-09T02:22:06Z,0.004,27.7867,1.1725,1.0998000000000001,32.415,34.227108,5.555,100.64,6.694,88.7907,431.8,1.5951179982134507,0,996.3133,0
2020-07-09T02:22:06Z,0.004,27.7876,1.1552,1.0498,32.423,34.233945,5.5407,100.543,6.701,89.0749,435.76,1.5955045654305133,0,996.313,0
2020-07-09T02:22:06Z,0.004,27.7886,1.1483,1.0311,32.43,34.239828,5.5314,100.465,6.756,89.0089,441.15,1.595835801349916,0.003,996.3127,0
2020-07-09T02:22:06Z,0.004,27.7893,1.1562,1.1149,32.426,34.234789,5.5341,100.495,6.878,88.9381,442.15,1.5956046365661842,0.012,996.3125,0
2020-07-09T02:22:06Z,0.004,27.7888,1.1557,1.1701,32.428,34.236462,5.5351,100.646,7.023,88.6491,438.63,1.5957251542981774,0.022,996.3127,0
2020-07-09T02:22:06Z,0.006,27.787,1.1224,1.1491,32.451,34.260056,5.5264,100.877,7.158,88.3548,433.06,1.596981200240688,0.03,996.3132,0
2020-07-09T02:22:06Z,0.017,27.785,1.059,1.1361,32.456,34.266257,5.5207,101.147,7.278,88.649,419.92,1.5973072420007626,0.036,996.3138,0
2020-07-09T02:22:06Z,0.037,27.782,1.0188,1.1159,32.437,34.247991,5.5226,101.436,7.374,89.4527,405.52,1.596417110910876,0.039,996.3147,0
2020-07-09T02:22:06Z,0.055,27.7807,1.0182,1.1108,32.417,34.229552,5.5317,101.646,7.444,89.8989,399.9,1.5954189338346585,0.039,996.3151,0
2020-07-09T02:22:06Z,0.061,27.7818,1.0226,1.1079,32.419,34.233676,5.546,101.682,7.49,89.8275,400.38,1.595486734019156,0.035,996.3149,0
2020-07-09T02:22:06Z,0.065,27.7818,1.0242,1.1154,32.419,34.234396,5.5598,101.595,7.525,89.7944,396.74,1.595486718981526,0.027,996.3149,0
2020-07-09T02:22:06Z,0.07,27.7845,1.0282,1.1679,32.423,34.238263,5.5778,101.468,7.57,89.6707,391.09,1.5956057557603398,0.017,996.3141,0
2020-07-09T02:22:06Z,0.074,27.7896,1.0333,1.1935,32.463,34.280428,5.5922,101.36,7.632,89.4501,388.62,1.597518756886403,0.005,996.3127,0
2020-07-09T02:22:06Z,0.078,27.792,1.0187,1.1502,32.481,34.30005,5.5916,101.342,7.688,89.1925,386.28,1.5983760420967503,-0.005,996.3121,0
2020-07-09T02:22:06Z,0.079,27.7924,0.9752,1.0901,32.465,34.285161,5.5847,101.385,7.731,89.0511,390.61,1.5975302453731661,-0.014,996.312,0
2020-07-09T02:22:06Z,0.072,27.7926,0.9466,1.0851,32.466,34.290767,5.5779,101.388,7.767,89.1167,397.37,1.5975758242491336,-0.021,996.3119,0
2020-07-09T02:22:06Z,0.057,27.7914,0.9496,1.1246,32.475,34.304391,5.569,101.342,7.797,89.2117,395.98,1.5980840005710804,-0.023,996.3122,0
2020-07-09T02:22:06Z,0.045,27.7912,0.9733,1.1553,32.489,34.322989,5.5691,101.308,7.826,89.3391,395.83,1.598819199823497,-0.021,996.3122,0
2020-07-09T02:22:06Z,0.039,27.7962,1.0041,1.1472,32.487,34.32528,5.5742,101.343,7.847,89.7106,402.7,1.5985501378957914,-0.011,996.3107,0
2020-07-09T02:22:06Z,0.039,27.8033,1.0167,1.0957,32.43,34.268655,5.5733,101.469,7.841,90.3479,407.05,1.5953508906992897,0.007,996.3087,0
2020-07-09T02:22:06Z,0.041,27.8099,1.0215,1.0808,32.374,34.209405,5.5683,101.601,7.816,90.7636,400.9,1.5922213776927765,0.024,996.3069,0
2020-07-09T02:22:06Z,0.048,27.8164,1.0231,1.1055,32.35,34.179961,5.5653,101.655,7.8,90.6081,387.95,1.5907599104502714,0.035,996.305,0
2020-07-09T02:22:06Z,0.066,27.8235,1.0172,1.0847,32.343,34.166449,5.5651,101.708,7.802,90.2739,378.18,1.5901625959771604,0.04,996.3032,0
2020-07-09T02:22:06Z,0.088,27.8304,1.0169,1.0697,32.356,34.172917,5.5731,101.775,7.813,90.3365,375.36,1.5906113175702843,0.04,996.3013,0
2020-07-09T02:22:06Z,0.1,27.8321,1.0104,1.0967,32.381,34.194709,5.5846,101.785,7.83,90.5904,372.06,1.5918546865460608,0.036,996.3008,0
2020-07-09T02:22:06Z,0.104,27.8241,1.005,1.1357,32.427,34.239566,5.5836,101.71,7.844,90.7629,366.33,1.5945089640975545,0.03,996.3031,0
2020-07-09T02:22:06Z,0.104,27.8117,1.0183,1.1637,32.458,34.271119,5.5877,101.523,7.848,91.0459,365.28,1.5965293215972471,0.025,996.3066,0
