Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP_mV,PAR,Salinity,Descent Rate (m/s),Density_mg_m3,Flag
2020-07-12T22:08:51Z,0.006,26.1119,0.8982,1.7237,32.013,32.727943,4.9723,89.449,7.372,227.8314,98.543,1.6303228259480862,0.054,996.7728,0
2020-07-12T22:08:51Z,0.017,26.1116,0.8866,1.6994,32.023,32.73824,5.0053,89.612,7.372,228.5197,98.653,1.6308715543803884,0.046,996.7729,0
2020-07-12T22:08:51Z,0.026,26.1118,0.8861,1.7075,32.011,32.726695,5.0297,89.524,7.372,228.9209,98.767,1.6302182526352873,0.037,996.7729,0
2020-07-12T22:08:51Z,0.032,26.1117,0.892,1.7185,32.001,32.715255,5.0498,89.2,7.371,228.7248,98.203,1.6296831075768257,0.029,996.7729,0
2020-07-12T22:08:51Z,0.037,26.1113,0.9004,1.6953,32.013,32.726808,5.0703,88.731,7.37,228.3857,97.31,1.6303430894879416,0.023,996.7731,0
2020-07-12T22:08:51Z,0.043,26.111,0.9018,1.633,32.025,32.739488,5.0822,88.142,7.371,228.263,95.547,1.6309995984054608,0.019,996.7732,0
2020-07-12T22:08:51Z,0.048,26.1107,0.8896,1.5485,32.027,32.741671,5.0769,87.387,7.372,228.5313,94.723,1.6311175412803054,0.015,996.7733,0
2020-07-12T22:08:51Z,0.053,26.1104,0.8864,1.4631,32.038,32.753206,5.0557,86.487,7.374,229.1351,95.174,1.631720258836745,0.013,996.7734,0
2020-07-12T22:08:51Z,0.055,26.1097,0.9014,1.4256,32.037,32.752063,5.0285,85.587,7.376,229.5402,95.735,1.6316905712755896,0.013,996.7736,0
2020-07-12T22:08:51Z,0.055,26.1091,0.9092,1.4039,32.013,32.727848,4.9974,84.872,7.376,229.5578,96.004,1.6304187350200614,0.013,996.7737,0
2020-07-12T22:08:51Z,0.057,26.1089,0.9324,1.4753,31.999,32.714213,4.9543,84.492,7.377,229.3478,95.46,1.6296716715157773,0.013,996.7738,0
2020-07-12T22:08:51Z,0.062,26.1084,0.9917,1.6704,31.999,32.714098,4.9,84.449,7.377,229.0658,95.542,1.6296888296438103,0.014,996.7739,0
2020-07-12T22:08:51Z,0.068,26.1086,1.0344,1.7712,32.011,32.726455,4.845,84.541,7.377,229.1594,95.968,1.6303280607884965,0.015,996.774,0
2020-07-12T22:08:51Z,0.073,26.1098,1.0386,1.7677,32.021,32.736723,4.8012,84.511,7.378,229.6192,95.242,1.6308251370516142,0.016,996.7737,0
2020-07-12T22:08:51Z,0.076,26.1104,1.0146,1.7298,31.996,32.711353,4.7788,84.239,7.38,229.8931,94.252,1.629458017296731,0.016,996.7735,0
2020-07-12T22:08:51Z,0.078,26.1107,0.9824,1.6571,31.959,32.673504,4.781,83.679,7.383,229.9763,94.602,1.627455225130382,0.016,996.7734,0
2020-07-12T22:08:51Z,0.081,26.1111,0.9724,1.6443,31.946,32.659775,4.7931,82.799,7.384,230.1084,95.584,1.6267414134342437,0.016,996.7733,0
2020-07-12T22:08:51Z,0.086,26.111,0.9614,1.678,31.958,32.672246,4.7926,81.65,7.385,230.1149,95.944,1.6273908963831174,0.019,996.7734,0
2020-07-12T22:08:51Z,0.09,26.1111,0.9252,1.6862,31.983,32.697396,4.7776,80.346,7.385,229.9688,96.004,1.6287335867981971,0.023,996.7733,0
2020-07-12T22:08:51Z,0.095,26.111,0.8887,1.675,31.995,32.710074,4.7475,79.017,7.385,229.9756,97.183,1.6293831759495347,0.024,996.7733,0
2020-07-12T22:08:51Z,0.104,26.1109,0.8814,1.6796,31.984,32.698643,4.696,77.77,7.385,230.1116,99.511,1.6287941577989722,0.024,996.7734,0
2020-07-12T22:08:51Z,0.114,26.1105,0.8941,1.7083,31.972,32.686077,4.6287,76.661,7.385,230.2363,100.52,1.628161533726335,0.022,996.7737,0
2020-07-12T22:08:51Z,0.122,26.1099,0.89,1.6788,31.971,32.685029,4.5523,75.72,7.386,230.3651,100.37,1.6281282414411862,0.018,996.7738,0
2020-07-12T22:08:51Z,0.124,26.1104,0.8605,1.5634,31.972,32.685974,4.4743,74.9,7.386,230.3779,100.47,1.6281648691176973,0.013,996.7736,0
2020-07-12T22:08:51Z,0.124,26.1105,0.8329,1.4455,31.984,32.69751,4.4032,74.101,7.386,230.2191,101.84,1.6288076007506478,0.008,996.7736,0
2020-07-12T22:08:51Z,0.124,26.1103,0.8234,1.4203,31.984,32.697613,4.3394,73.338,7.386,230.0803,104.04,1.6288144985876583,0.003,996.7737,0
2020-07-12T22:08:51Z,0.124,26.1103,0.822,1.4651,31.974,32.687222,4.2865,72.668,7.386,230.0764,104.05,1.6282759990814848,0,996.7737,0
2020-07-12T22:08:51Z,0.124,26.1104,0.8156,1.5064,31.986,32.698767,4.244,72.072,7.385,230.086,102.17,1.6289187507945757,0,996.7737,0
2020-07-12T22:08:51Z,0.124,26.1101,0.8045,1.5765,31.997,32.710311,4.1976,71.546,7.385,230.2817,101.33,1.6295214670214502,0.001,996.7738,0
2020-07-12T22:08:51Z,0.124,26.1097,0.8016,1.6598,31.986,32.699902,4.1521,71.129,7.385,230.6365,102.44,1.6289428951412877,0.004,996.7739,0
2020-07-12T22:08:51Z,0.124,26.1097,0.81,1.7241,31.986,32.699806,4.1158,70.855,7.384,230.4175,103.71,1.6289428951412877,0.008,996.7738,0
2020-07-12T22:08:51Z,0.125,26.1091,0.8191,1.7367,31.996,32.709149,4.0821,70.751,7.383,229.7842,105,1.6295021187079224,0.01,996.7739,0
2020-07-12T22:08:51Z,0.129,26.1091,0.8168,1.6743,31.973,32.685974,4.0509,70.816,7.383,229.6047,108.03,1.6282634746100992,0.012,996.774,0
2020-07-12T22:08:51Z,0.136,26.1089,0.8099,1.6566,31.961,32.673389,4.027,71.031,7.385,229.7953,109.81,1.6276240249294616,0.013,996.7741,0
2020-07-12T22:08:51Z,0.141,26.1085,0.8214,1.6938,31.971,32.683874,4.0106,71.36,7.386,230.1102,109.43,1.6281762190675937,0.015,996.7743,0
2020-07-12T22:08:51Z,0.143,26.1085,0.8327,1.6778,31.973,32.685858,4.0049,71.74,7.385,230.4872,109.95,1.6282839213895601,0.017,996.7743,0
2020-07-12T22:08:51Z,0.144,26.1083,0.8226,1.6356,31.984,32.697376,4.0093,72.131,7.385,230.4812,116.19,1.628883175170044,0.018,996.7743,0
2020-07-12T22:08:51Z,0.148,26.1082,0.8141,1.6293,31.983,32.69624,4.0213,72.452,7.385,230.1246,177.9,1.6288327233669677,0.017,996.7743,0
2020-07-12T22:08:51Z,0.156,26.1083,0.8148,1.6704,31.96,32.672121,4.0423,72.637,7.385,229.9615,237.95,1.6275905656279108,0.016,996.7744,0
2020-07-12T22:08:51Z,0.163,26.1083,0.8214,1.7209,31.948,32.659536,4.0638,72.753,7.386,229.9715,198.97,1.6269442152258577,0.015,996.7744,0
2020-07-12T22:08:51Z,0.167,26.1088,0.8277,1.7243,31.959,32.670976,4.0873,72.814,7.387,230.1592,165.87,1.6275192762348012,0.012,996.7743,0
2020-07-12T22:08:51Z,0.168,26.109,0.824,1.677,31.971,32.683553,4.1091,72.758,7.387,230.5958,171,1.6281585804232015,0.009,996.7742,0
2020-07-12T22:08:51Z,0.168,26.1086,0.8144,1.6302,31.972,32.684705,4.1157,72.63,7.388,230.6043,159.47,1.6282262218678678,0.005,996.7743,0
2020-07-12T22:08:51Z,0.168,26.1081,0.8072,1.6391,31.972,32.684904,4.1217,72.475,7.388,230.176,166.56,1.6282434608151806,0.005,996.7745,0
2020-07-12T22:08:51Z,0.168,26.108,0.8322,1.6816,31.973,32.685963,4.1292,72.327,7.387,230.2351,178.03,1.6283007604262167,0.01,996.7745,0
2020-07-12T22:08:51Z,0.168,26.1082,0.8788,1.6974,31.984,32.697509,4.1229,72.308,7.377,230.632,202.26,1.6288862396828263,0.02,996.7744,0
2020-07-12T22:08:51Z,0.17,26.1083,0.8936,1.6935,31.984,32.697613,4.115,72.478,7.362,230.8446,273.23,1.6288827744715046,0.03,996.7744,0
2020-07-12T22:08:51Z,0.179,26.1085,0.8868,1.7035,31.974,32.687222,4.1069,72.762,7.351,230.9131,461.03,1.6283372920590025,0.037,996.7744,0
2020-07-12T22:08:51Z,0.197,26.1083,0.8723,1.7148,31.986,32.698758,4.0945,73.102,7.348,230.8581,768.41,1.6289900796670915,0.039,996.7746,0
2020-07-12T22:08:51Z,0.217,26.1083,0.8433,1.7271,31.997,32.710207,4.0919,73.537,7.35,230.9535,1242.8,1.6295820538778147,0.039,996.7747,0
2020-07-12T22:08:51Z,0.228,26.1086,0.8314,1.7148,31.985,32.698757,4.1041,74.071,7.352,231.2062,1568.4,1.6289253018304641,0.034,996.7746,0
2020-07-12T22:08:51Z,0.232,26.1085,0.8335,1.6679,31.973,32.687211,4.1222,74.634,7.354,231.3332,1245.7,1.6282825274839394,0.026,996.7747,0
2020-07-12T22:08:51Z,0.233,26.1083,0.8589,1.6073,31.983,32.697498,4.1391,75.195,7.357,231.4554,1117.4,1.6288279279982085,0.016,996.7747,0
2020-07-12T22:08:51Z,0.235,26.1087,0.9193,1.4972,31.983,32.696241,4.1636,75.73,7.36,231.5654,1380.2,1.628814083787859,0.009,996.7746,0
2020-07-12T22:08:51Z,0.237,26.1096,0.9537,1.4011,31.959,32.672006,4.1963,76.14,7.364,231.5453,1132.4,1.6274906178132909,0.005,996.7744,0
2020-07-12T22:08:51Z,0.237,26.1103,0.9511,1.3721,31.945,32.658267,4.2284,76.34,7.366,231.6426,783.2,1.626712642739061,0.003,996.7742,0
2020-07-12T22:08:51Z,0.237,26.1102,0.9166,1.3861,31.944,32.657018,4.2596,76.256,7.369,231.7949,1052.2,1.626662257378244,0.003,996.7742,0
