Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP_mV,PAR,Salinity,Descent Rate (m/s),Density_mg_m3,Flag
2020-07-13T00:18:57Z,0.007,27.0337,0.7998,1.4216,31.857,33.148263,4.7709,81.721,7.494,228.583,1370.2,1.5907874426572624,0.02,996.5229,0
2020-07-13T00:18:57Z,0.013,27.0293,0.8271,1.4541,31.863,33.152148,4.7145,80.779,7.494,229.0208,1558,1.5912503085065652,0.022,996.5241,0
2020-07-13T00:18:57Z,0.017,27.0314,0.8677,1.452,31.868,33.154473,4.6608,79.839,7.495,229.6835,1469.8,1.5914444732170827,0.022,996.5236,0
2020-07-13T00:18:57Z,0.02,27.0259,0.8811,1.3957,31.833,33.112926,4.6064,78.94,7.495,229.799,1282.8,1.5897793212632252,0.021,996.5251,0
2020-07-13T00:18:57Z,0.025,27.018,0.865,1.3576,31.818,33.093939,4.554,78.11,7.495,229.4707,1135.3,1.5892495240233173,0.02,996.5273,0
2020-07-13T00:18:57Z,0.031,27.0173,0.8628,1.4026,31.841,33.115241,4.5028,77.359,7.496,229.0692,1137.2,1.5904871528724123,0.021,996.5276,0
2020-07-13T00:18:57Z,0.037,27.013,0.8923,1.4259,31.846,33.116688,4.4489,76.72,7.495,228.9025,1152.2,1.5908940040677382,0.021,996.5288,0
2020-07-13T00:18:57Z,0.042,27.0035,0.9266,1.3989,31.843,33.11143,4.399,76.173,7.494,229.3482,1082.3,1.5910512368530296,0.02,996.5313,0
2020-07-13T00:18:57Z,0.047,26.9985,0.9351,1.3847,31.848,33.115108,4.354,75.751,7.491,230.156,904.29,1.5914815232071342,0.019,996.5328,0
2020-07-13T00:18:57Z,0.053,26.9959,0.9276,1.3908,31.833,33.097704,4.31,75.528,7.49,230.4097,593.29,1.5907754431210943,0.016,996.5336,0
2020-07-13T00:18:57Z,0.058,26.9876,0.9307,1.4731,31.829,33.091352,4.2767,75.387,7.489,230.1787,319.93,1.5908399444918573,0.014,996.5358,0
2020-07-13T00:18:57Z,0.061,26.9823,0.9351,1.5908,31.842,33.101742,4.247,75.232,7.489,229.9435,190.74,1.5917031098956649,0.012,996.5373,0
2020-07-13T00:18:57Z,0.063,26.9828,0.9328,1.6117,31.839,33.096432,4.218,75.103,7.489,230.0613,140.73,1.5915279124583772,0.01,996.5372,0
2020-07-13T00:18:57Z,0.064,26.9809,0.932,1.5887,31.835,33.090589,4.2114,75.044,7.489,230.6571,127.56,1.5913797116008317,0.01,996.5377,0
2020-07-13T00:18:57Z,0.065,26.9765,0.9353,1.5522,31.841,33.094544,4.2062,75.106,7.489,230.9524,123.39,1.5918431745332076,0.011,996.5389,0
2020-07-13T00:18:57Z,0.068,26.9725,0.944,1.4798,31.83,33.080802,4.195,75.291,7.488,230.8787,121.23,1.5913948138574283,0.013,996.5401,0
2020-07-13T00:18:57Z,0.072,26.9684,0.9418,1.4348,31.804,33.05133,4.1888,75.556,7.488,230.7981,118.8,1.5901568401501094,0.015,996.5412,0
2020-07-13T00:18:57Z,0.077,26.9643,0.9272,1.42,31.809,33.055434,4.1835,75.852,7.488,230.753,117.25,1.5905573487390696,0.018,996.5423,0
2020-07-13T00:18:57Z,0.082,26.961,0.9203,1.473,31.822,33.066973,4.1875,76.105,7.486,230.8497,116.31,1.591354263186902,0.02,996.5433,0
2020-07-13T00:18:57Z,0.088,26.9582,0.925,1.5945,31.821,33.063947,4.1996,76.307,7.483,231.0203,115.82,1.591394489838607,0.021,996.5441,0
2020-07-13T00:18:57Z,0.094,26.956,0.9361,1.6525,31.838,33.082291,4.2142,76.457,7.481,231.1811,116.79,1.5923664270779507,0.022,996.5447,0
2020-07-13T00:18:57Z,0.099,26.9532,0.9404,1.6262,31.854,33.098418,4.2341,76.506,7.48,231.2448,118.98,1.5933056128793808,0.022,996.5454,0
2020-07-13T00:18:57Z,0.105,26.9495,0.9582,1.5507,31.827,33.068606,4.2477,76.451,7.48,231.189,121.22,1.592000997257498,0.021,996.5465,0
2020-07-13T00:18:57Z,0.111,26.9445,0.9989,1.4604,31.799,33.039066,4.2584,76.262,7.48,231.1086,122.16,1.5906866067898986,0.02,996.5479,0
2020-07-13T00:18:57Z,0.116,26.9474,1.022,1.4269,31.817,33.058492,4.2698,75.924,7.481,230.8748,121.52,1.59154193258643,0.019,996.5471,0
