Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP_mV,PAR,Salinity,Descent Rate (m/s),Density_mg_m3,Flag
2020-07-16T22:53:45Z,0.286,27.7075,0.386,0.9149,26.686,28.134679,3.0515,55.046,8.066,260.5175,1556.5,1.3011628838205842,0.002,996.3351,0
2020-07-16T22:53:45Z,0.287,27.7076,0.4008,0.943,26.686,28.134774,3.0471,54.938,8.066,260.5206,2256.5,1.3011601865773263,0.001,996.3351,0
2020-07-16T22:53:45Z,0.287,27.7074,0.3866,0.92490000000000006,26.686,28.134792,3.0396,54.834,8.065,260.686,1915.5,1.3011655565249431,0,996.3351,0
2020-07-16T22:53:45Z,0.287,27.7072,0.3482,0.9023,26.686,28.134897,3.0346,54.749,8.063,261.055,1550.5,1.301170926510674,-0.001,996.3352,0
2020-07-16T22:53:45Z,0.286,27.7075,0.3279,0.9098,26.687,28.136041,3.0314,54.643,8.061,261.1097,1682,1.3012142839650391,-0.001,996.3351,0
2020-07-16T22:53:45Z,0.286,27.7074,0.3412,0.9128,26.7,28.148622,3.0243,54.522,8.059,261.0036,1339.8,1.3018851845115393,-0.001,996.3351,0
2020-07-16T22:53:45Z,0.285,27.7071,0.3762,0.9042,26.711,28.160146,3.0177,54.404,8.058,261.0622,976.09,1.3024586905933022,-0.001,996.3352,0
2020-07-16T22:53:45Z,0.284,27.707,0.3975,0.909,26.7,28.148509,3.0153,54.286,8.055,261.1302,934.96,1.301895942808846,-0.001,996.3352,0
2020-07-16T22:53:45Z,0.284,27.707,0.398,0.9015,26.687,28.134794,3.0084,54.171,8.053,261.1374,959.88,1.3012277340397018,-0.001,996.3352,0
2020-07-16T22:53:45Z,0.285,27.7068,0.401,0.882,26.674,28.121183,3.001,54.035,8.05,261.1503,1393.9,1.3005648908471392,0,996.3353,0
2020-07-16T22:53:45Z,0.285,27.7065,0.3963,0.8796,26.664,28.110793,2.9957,53.883,8.047,261.2002,1781.4,1.3000589534246825,-1.867e-8,996.3353,0
2020-07-16T22:53:45Z,0.285,27.7062,0.3696,0.8722,26.688,28.136043,2.9878,53.726,8.045,261.3098,1418.3,1.3013006047733588,-2.053e-7,996.3355,0
