Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP_mV,PAR,Salinity,Descent Rate (m/s),Density_mg_m3,Flag
2020-07-29T00:14:02Z,0.12,29.8659,-0.1244,0.6129,52.17,57.235527,5.0868,96.213,7.07,215.088,542.1,2.532975474515072,-0.011,995.7139,0
2020-07-29T00:14:02Z,0.114,29.8687,-0.1163,0.5771,52.189,57.249074,5.0935,96.118,7.07,215.036,605.7,2.5338147872944843,-0.013,995.713,0
2020-07-29T00:14:02Z,0.109,29.8688,-0.1263,0.5333,52.18,57.238754,5.0952,95.974,7.07,214.9824,581.32,2.533344684209862,-0.013,995.7129,0
2020-07-29T00:14:02Z,0.104,29.8583,-0.1412,0.5293,52.172,57.237804,5.1003,95.891,7.071,214.9559,529.79,2.5334667807729083,-0.008,995.7161,0
2020-07-29T00:14:02Z,0.1,29.8457,-0.1434,0.5295,52.162,57.237603,5.1047,95.93,7.071,215.1459,551.26,2.5335926239720608,0.002,995.7199,0
2020-07-29T00:14:02Z,0.1,29.838,-0.1336,0.5357,52.156,57.236334,5.0982,96.089,7.071,215.5593,578.92,2.533675261368823,0.015,995.7222,0
2020-07-29T00:14:02Z,0.106,29.8372,-0.1177,0.5349,52.145,57.222472,5.0884,96.307,7.069,215.8238,549.19,2.5331470855375446,0.03,995.7225,0
2020-07-29T00:14:02Z,0.117,29.8466,-0.1131,0.5198,52.13,57.197039,5.0819,96.507,7.067,215.7628,494.76,2.5318919318733606,0.047,995.7197,0
2020-07-29T00:14:02Z,0.13,29.8604,-0.1258,0.5251,52.128,57.182905,5.083,96.667,7.067,215.5103,490.76,2.53108496778401,0.065,995.7156,0
2020-07-29T00:14:02Z,0.147,29.867,-0.1378,0.5306,52.138,57.178608,5.0917,96.777,7.067,215.3525,544.42,2.5312651397404515,0.08,995.7137,0
2020-07-29T00:14:02Z,0.172,29.8631,-0.1159,0.5521,52.127,57.145056,5.1062,96.846,7.067,215.49,572.89,2.530894795965854,0.092,995.7149,0
2020-07-29T00:14:02Z,0.201,29.853,-0.0705,0.5784,52.104,57.094804,5.117,96.865,7.067,215.7955,558.48,2.530219845647765,0.102,995.718,0
2020-07-29T00:14:02Z,0.231,29.842,-0.0462,0.5739,52.109,57.079163,5.1273,96.795,7.067,215.9482,539.92,2.5310381319119304,0.107,995.7215,0
2020-07-29T00:14:02Z,0.26,29.8295,-0.0415,0.5667,52.125,57.08295,5.134,96.681,7.067,215.9604,514.72,2.532502127587996,0.108,995.7254,0
2020-07-29T00:14:02Z,0.288,29.8077,-0.0231,0.5603,52.128,57.07705,5.1387,96.606,7.066,216.2005,456.86,2.533769005157777,0.104,995.732,0
2020-07-29T00:14:02Z,0.316,29.78,0.0232,0.5648,52.128,57.071321,5.1449,96.603,7.065,216.786,387.78,2.5351829681690843,0.099,995.7405,0
2020-07-29T00:14:02Z,0.341,29.7591,0.051,0.5872,52.137,57.077203,5.1407,96.608,7.064,217.6202,365.13,2.5367167010807603,0.099,995.7469,0
2020-07-29T00:14:02Z,0.361,29.7473,0.0456,0.5897,52.147,57.084639,5.1346,96.572,7.064,218.4568,403.65,2.5378378990346704,0.104,995.7505,0
2020-07-29T00:14:02Z,0.38,29.7396,0.0438,0.5622,52.165,57.097697,5.1298,96.568,7.064,218.8993,470.37,2.5391642610088554,0.114,995.753,0
2020-07-29T00:14:02Z,0.406,29.7335,0.0393,0.5295,52.181,57.108036,5.132,96.639,7.065,219.0133,522.06,2.5403052442411584,0.124,995.7548,0
2020-07-29T00:14:02Z,0.442,29.7305,0.0386,0.5026,52.164,57.082583,5.135,96.745,7.065,219.0607,535.34,2.539577094832257,0.131,995.7559,0
2020-07-29T00:14:02Z,0.487,29.7278,0.0546,0.5119,52.135,57.044023,5.1299,96.817,7.066,219.4721,539.17,2.538211373406458,0.133,995.7569,0
2020-07-29T00:14:02Z,0.531,29.7212,0.0519,0.5726,52.121,57.022937,5.1298,96.808,7.067,220.6322,564.81,2.5378225443554743,0.128,995.7591,0
2020-07-29T00:14:02Z,0.566,29.7136,0.0146,0.584,52.12,57.01819,5.1353,96.752,7.068,222.1603,591.03,2.538159069485254,0.117,995.7615,0
2020-07-29T00:14:02Z,0.589,29.7065,-0.0235,0.5129,52.153,57.050145,5.1427,96.683,7.069,223.4929,604.25,2.5402331210111737,0.101,995.7637,0
2020-07-29T00:14:02Z,0.607,29.7005,-0.0276,0.4685,52.195,57.091675,5.1487,96.588,7.069,224.4412,618.81,2.542718219815907,0.082,995.7656,0
2020-07-29T00:14:02Z,0.624,29.6957,-0.0066,0.4931,52.183,57.075657,5.1475,96.481,7.07,225.0222,633.13,2.542341793350588,0.064,995.7671,0
2020-07-29T00:14:02Z,0.642,29.6916,0.0015,0.5351,52.158,57.04704,5.1435,96.391,7.071,225.2697,633.83,2.541255064427519,0.049,995.7684,0
2020-07-29T00:14:02Z,0.656,29.6876,-0.0057,0.5315,52.172,57.063287,5.1416,96.295,7.071,225.4544,629.33,2.542186019251928,0.035,995.7697,0
2020-07-29T00:14:02Z,0.663,29.6841,-0.0085,0.518,52.184,57.08153,5.1363,96.175,7.071,225.7932,637.94,2.542987931981308,0.023,995.7708,0
2020-07-29T00:14:02Z,0.663,29.6807,-0.0126,0.5437,52.176,57.077057,5.1295,96.051,7.07,225.9244,644.66,2.5427474438550237,0.013,995.7718,0
2020-07-29T00:14:02Z,0.661,29.6777,-0.0172,0.5669,52.169,57.072734,5.1263,95.95,7.069,225.8367,641.4,2.5425383221706612,0.004,995.7727,0
2020-07-29T00:14:02Z,0.66,29.6791,-0.007,0.5932,52.187,57.092789,5.1214,95.888,7.068,225.851,644.05,2.5434003380761023,-0.002,995.7722,0
2020-07-29T00:14:02Z,0.66,29.6846,0.005,0.6211,52.221,57.128966,5.1139,95.883,7.069,225.6674,642.74,2.5448817465791667,-0.005,995.7706,0
2020-07-29T00:14:02Z,0.659,29.6909,-0.0041,0.5943,52.222,57.129012,5.1063,95.955,7.07,225.33690000000001,632.43,2.544610083027996,-0.008,995.7687,0
2020-07-29T00:14:02Z,0.658,29.6938,-0.022,0.544,52.191,57.09335,5.1002,96.095,7.072,225.1246,628.35,2.5428533995033455,-0.012,995.7679,0
2020-07-29T00:14:02Z,0.655,29.6936,-0.0306,0.5289,52.179,57.07892,5.0971,96.281,7.072,224.8221,629.26,2.542241319931158,-0.015,995.7679,0
2020-07-29T00:14:02Z,0.65,29.6926,-0.0319,0.5488,52.183,57.081576,5.0958,96.485,7.072,224.4316,630.3,2.5425001927101714,-0.015,995.7682,0
2020-07-29T00:14:02Z,0.641,29.691,-0.0188,0.5778,52.166,57.061928,5.1003,96.655,7.072,224.2755,631.52,2.5417008193174166,-0.012,995.7686,0
2020-07-29T00:14:02Z,0.634,29.6896,-0.0049,0.5709,52.141,57.031932,5.1084,96.785,7.072,224.4835,630.1,2.540476173729772,-0.006,995.7689,0
2020-07-29T00:14:02Z,0.633,29.6881,-0.0077,0.5334,52.147,57.036502,5.1183,96.865,7.072,224.537,627.06,2.5408643193906406,0.001,995.7694,0
2020-07-29T00:14:02Z,0.637,29.6869,-0.0141,0.5032,52.166,57.053665,5.1314,96.844,7.072,224.406,622.48,2.5419112400998536,0.011,995.7698,0
2020-07-29T00:14:02Z,0.644,29.6854,-0.0156,0.5148,52.164,57.048873,5.14,96.745,7.072,224.7065,619.93,2.5418842645267032,0.022,995.7703,0
2020-07-29T00:14:02Z,0.651,29.6832,0.0026,0.5703,52.16,57.042077,5.1466,96.66,7.071,224.6423,624.19,2.5417894510372214,0.034,995.771,0
2020-07-29T00:14:02Z,0.658,29.6801,0.0349,0.5908,52.156,57.035004,5.1534,96.603,7.069,223.6303,632.87,2.541740866168708,0.047,995.772,0
2020-07-29T00:14:02Z,0.667,29.6768,0.0501,0.5564,52.151,57.026883,5.1524,96.539,7.067,222.7955,635.07,2.541650609109758,0.062,995.773,0
2020-07-29T00:14:02Z,0.683,29.6747,0.0532,0.5321,52.135,57.007401,5.1439,96.475,7.066,222.5504,625.45,2.540927914490172,0.076,995.7737,0
2020-07-29T00:14:02Z,0.708,29.6726,0.0624,0.6056,52.12,56.99002,5.14,96.418,7.066,222.9034,616.48,2.540256806593402,0.086,995.7744,0
2020-07-29T00:14:02Z,0.738,29.6702,0.0666,0.7589,52.138,57.007286,5.1387,96.363,7.066,223.794,611.37,2.541313051471108,0.091,995.7752,0
2020-07-29T00:14:02Z,0.768,29.668,0.0651,0.8403,52.156,57.025598,5.1343,96.286,7.067,224.1993,618.07,2.5423591814683153,0.09,995.7761,0
2020-07-29T00:14:02Z,0.794,29.6662,0.0731,0.7998,52.152,57.020856,5.1316,96.176,7.067,223.7593,637.82,2.5422434067072484,0.085,995.7767,0
2020-07-29T00:14:02Z,0.813,29.6643,0.0863,0.6813,52.145,57.013463,5.1283,96.035,7.068,223.3778,644.98,2.54197724104348,0.081,995.7773,0
2020-07-29T00:14:02Z,0.826,29.6624,0.1018,0.5757,52.134,56.999737,5.1265,95.889,7.068,223.3737,651.66,2.5415036467661203,0.082,995.7779,0
2020-07-29T00:14:02Z,0.837,29.6616,0.10780000000000001,0.5872,52.119,56.981931,5.1225,95.803,7.067,223.7948,664.38,2.540766163910665,0.09,995.7782,0
2020-07-29T00:14:02Z,0.855,29.6614,0.1108,0.6481,52.128,56.988739,5.1162,95.767,7.066,224.77,660.93,2.5412431376505595,0.103,995.7784,0
2020-07-29T00:14:02Z,0.887,29.661,0.1194,0.6254,52.158,57.018515,5.1095,95.758,7.066,225.2705,659.59,2.5428197466777025,0.117,995.7786,0
2020-07-29T00:14:02Z,0.928,29.6602,0.1073,0.5529,52.164,57.024337,5.0986,95.818,7.066,225.0271,664.54,2.543171122290041,0.129,995.7791,0
2020-07-29T00:14:02Z,0.969,29.6582,0.0885,0.5276,52.139,56.995606,5.0955,95.965,7.066,224.495,659.73,2.541975438537264,0.135,995.7798,0
2020-07-29T00:14:02Z,1.006,29.6551,0.0919,0.56,52.134,56.988743,5.0951,96.185,7.065,223.9127,648.05,2.5418742141449484,0.137,995.7809,0
2020-07-29T00:14:02Z,1.039,29.6523,0.1007,0.5666,52.15,57.004874,5.0926,96.419,7.064,223.58,639.07,2.5428475779612625,0.139,995.7819,0
2020-07-29T00:14:02Z,1.067,29.651,0.0995,0.5041,52.146,57.000075,5.0964,96.578,7.064,223.4835,629.5,2.5427061298424896,0.144,995.7825,0
2020-07-29T00:14:02Z,1.095,29.6501,0.1055,0.4562,52.141,56.994234,5.1041,96.615,7.065,223.7784,604.94,2.542492325324427,0.15,995.7828,0
2020-07-29T00:14:02Z,1.134,29.6487,0.1165,0.4688,52.145,56.997775,5.1173,96.56,7.066,224.0477,573.96,2.542770982217183,0.155,995.7834,0
2020-07-29T00:14:02Z,1.185,29.6475,0.1179,0.4844,52.128,56.979363,5.1317,96.51,7.067,223.9866,546.23,2.54194887207443,0.151,995.7841,0
2020-07-29T00:14:02Z,1.237,29.6471,0.1417,0.508,52.112,56.962183,5.1414,96.526,7.069,224.0717,519.71,2.541137671800159,0.14,995.7844,0
2020-07-29T00:14:02Z,1.281,29.6466,0.1856,0.5816,52.129,56.980614,5.1427,96.547,7.071,224.0444,495.55,2.542044665718853,0.122,995.7847,0
2020-07-29T00:14:02Z,1.309,29.646,0.1991,0.6192,52.157,57.011645,5.1378,96.503,7.071,223.5707,476.03,2.5435282914857287,0.101,995.785,0
2020-07-29T00:14:02Z,1.318,29.6458,0.1817,0.5847,52.164,57.019766,5.133,96.435,7.071,223.1627,461.14,2.543901901749242,0.081,995.78510000000006,0
2020-07-29T00:14:02Z,1.323,29.6455,0.175,0.6107,52.161,57.015289,5.1357,96.38,7.071,222.9824,447.47,2.5437615520395083,0.069,995.78510000000006,0
2020-07-29T00:14:02Z,1.334,29.6458,0.1845,0.7287,52.167,57.021026,5.1396,96.345,7.071,223.1981,434.14,2.544057341283726,0.067,995.7852,0
2020-07-29T00:14:02Z,1.353,29.6467,0.192,0.8092,52.172,57.025609,5.1345,96.366,7.07,224.05,425.09,2.5442702085256466,0.073,995.785,0
2020-07-29T00:14:02Z,1.378,29.6475,0.2092,0.829,52.158,57.007179,5.1307,96.425,7.069,224.7639,419.08,2.543501812312006,0.084,995.7849,0
2020-07-29T00:14:02Z,1.404,29.6475,0.2116,0.7616,52.143,56.988747,5.1281,96.472,7.069,224.7753,412.49,2.5427225540003455,0.092,995.785,0
2020-07-29T00:14:02Z,1.43,29.6466,0.1916,0.6129,52.148,56.993309000000004,5.1248,96.497,7.069,224.4455,406.6,2.543027763758452,0.095,995.7853,0
2020-07-29T00:14:02Z,1.456,29.645,0.1868,0.5416,52.154,56.998816,5.1266,96.516,7.069,224.2182,401.9,2.5434208486353445,0.094,995.7859,0
2020-07-29T00:14:02Z,1.481,29.642,0.1916,0.5518,52.149,56.991808,5.1318,96.524,7.069,224.1775,398.37,2.5433147166317847,0.091,995.7869,0
2020-07-29T00:14:02Z,1.504,29.6398,0.1931,0.5306,52.133,56.972095,5.1339,96.477,7.069,223.8671,396.28,2.5425964942589205,0.089,995.7877,0
2020-07-29T00:14:02Z,1.523,29.6382,0.1951,0.4912,52.118,56.951029,5.1353,96.353,7.069,223.2192,393.92,2.5418995495566,0.088,995.7882,0
2020-07-29T00:14:02Z,1.541,29.6366,0.1965,0.4877,52.104,56.927665,5.136,96.185,7.068,223.0553,389.79,2.541254470878666,0.089,995.7888,0
2020-07-29T00:14:02Z,1.564,29.6353,0.1903,0.488,52.073,56.880152,5.138,96.006,7.068,223.1757,384.25,2.539711205368403,0.091,995.7893,0
2020-07-29T00:14:02Z,1.589,29.6343,0.2059,0.4941,52.037,56.821184,5.1363,95.845,7.067,222.7824,377.25,2.537892938729483,0.096,995.7896,0
2020-07-29T00:14:02Z,1.615,29.6311,0.2523,0.5278,52.028,56.786366,5.1286,95.72,7.067,222.3436,369.13,2.5375891806189785,0.101,995.7907,0
2020-07-29T00:14:02Z,1.642,29.6231,0.2746,0.552,52.043,56.776738,5.1201,95.625,7.068,222.1718,360.12,2.5387774895349917,0.105,995.7933,0
2020-07-29T00:14:02Z,1.671,29.6115,0.2646,0.547,52.054,56.768252,5.1109,95.527,7.069,221.909,350.52,2.5399431074864105,0.107,995.7969,0
2020-07-29T00:14:02Z,1.699,29.5933,0.2566,0.5351,52.049,56.747248,5.1038,95.376,7.07,221.7476,341.06,2.540616904325917,0.108,995.8024,0
2020-07-29T00:14:02Z,1.725,29.5662,0.2544,0.5794,52.032,56.713321,5.0992,95.133,7.07,221.9408,332.08,2.541124499700715,0.11,995.8105,0
2020-07-29T00:14:02Z,1.752,29.5389,0.2564,0.705,52.014,56.675616,5.0977,94.872,7.07,222.1813,323.89,2.541590716927081,0.11,995.8188,0
2020-07-29T00:14:02Z,1.781,29.5193,0.2616,0.8181,52.026,56.672462,5.0948,94.75,7.07,222.2455,316.19,2.543222288558385,0.107,995.8248,0
2020-07-29T00:14:02Z,1.811,29.5062,0.251,0.8131,52.038,56.675164,5.0893,94.814,7.07,222.2866,308.07,2.544520306727613,0.102,995.8288,0
2020-07-29T00:14:02Z,1.841,29.4927,0.2335,0.7476,52.018,56.644744,5.0765,94.962,7.07,222.7646,300.58,2.5441734225030412,0.097,995.833,0
2020-07-29T00:14:02Z,1.864,29.4739,0.2311,0.7473,52.005,56.62225,5.0595,95.102,7.07,223.5511,295.83,2.5444641542518287,0.092,995.8387,0
2020-07-29T00:14:02Z,1.882,29.4567,0.2413,0.8108,51.987,56.593749,5.0537,95.257,7.069,223.8797,292.41,2.5444121943621085,0.088,995.8439,0
2020-07-29T00:14:02Z,1.901,29.4476,0.2608,0.8626,51.962,56.554199,5.0609,95.509,7.068,223.8991,288.61,2.54357798756034,0.086,995.8466,0
2020-07-29T00:14:02Z,1.922,29.4414,0.2765,0.8591,51.947,56.525167,5.0716,95.857,7.067,223.786,285.05,2.5431152260660945,0.087,995.8486,0
2020-07-29T00:14:02Z,1.945,29.4334,0.2684,0.8364,51.934,56.496791,5.079,96.171,7.066,223.3721,282.28,2.542849152021164,0.091,995.851,0
2020-07-29T00:14:02Z,1.969,29.4242,0.2486,0.8283,51.919,56.465165,5.0856,96.351,7.066,223.1968,279.29,2.5425406727238467,0.096,995.8538,0
2020-07-29T00:14:02Z,1.994,29.4128,0.2475,0.8298,51.869,56.396833,5.0998,96.418,7.065,223.3015,275.75,2.540520467738622,0.1,995.8574,0
2020-07-29T00:14:02Z,2.022,29.3994,0.2749,0.7518,51.798,56.305786,5.1232,96.428,7.065,223.3476,272.4,2.5375071975550902,0.104,995.8615,0
2020-07-29T00:14:02Z,2.05,29.3856,0.3122,0.606,51.763,56.253586,5.1435,96.423,7.064,223.5823,268.79,2.5363908128610317,0.107,995.8656,0
2020-07-29T00:14:02Z,2.076,29.3709,0.3268,0.5431,51.737,56.210301,5.1533,96.451,7.064,223.9884,264.76,2.5357896859297253,0.108,995.8702,0
2020-07-29T00:14:02Z,2.103,29.3575,0.3175,0.5402,51.71,56.16353,5.1568,96.477,7.065,223.9559,260.18,2.5350691105377363,0.105,995.8742,0
2020-07-29T00:14:02Z,2.133,29.3452,0.3131,0.5712,51.698,56.132697,5.1583,96.411,7.066,223.36,255.25,2.5350744418866733,0.1,995.8779,0
2020-07-29T00:14:02Z,2.161,29.331,0.3225,0.6082,51.675,56.091558,5.1575,96.251,7.067,222.8922,250.82,2.534603198341645,0.095,995.8823,0
2020-07-29T00:14:02Z,2.185,29.3166,0.336,0.6109,51.645,56.047219,5.1608,96.069,7.068,222.7746,246.92,2.533776444440016,0.091,995.8867,0
2020-07-29T00:14:02Z,2.203,29.3009,0.3335,0.5693,51.594,55.97769,5.1669,95.923,7.068,222.9701,242.95,2.5319193486254643,0.089,995.8914,0
2020-07-29T00:14:02Z,2.22,29.2812,0.3109,0.5168,51.525,55.886061,5.1646,95.817,7.068,223.192,238.59,2.5293261924386825,0.089,995.8973,0
2020-07-29T00:14:02Z,2.24,29.265,0.3012,0.5261,51.491,55.828585,5.1557,95.752,7.069,223.1331,233.64,2.5283806641773303,0.09,995.9021,0
2020-07-29T00:14:02Z,2.266,29.2552,0.3111,0.5438,51.476,55.790872,5.1455,95.776,7.069,223.119,228.35,2.5280990824653267,0.091,995.9051,0
2020-07-29T00:14:02Z,2.295,29.2437,0.3255,0.56,51.452,55.747631,5.139,95.901,7.068,223.2796,223.71,2.52743403016086,0.092,995.9086,0
2020-07-29T00:14:02Z,2.321,29.2273,0.3326,0.5849,51.408,55.686848,5.1352,96.059,7.067,223.7845,219.84,2.525974359137235,0.091,995.9135,0
2020-07-29T00:14:02Z,2.343,29.2049,0.3113,0.5692,51.364,55.627593,5.1321,96.184,7.068,224.2336,216.15,2.5248216092791376,0.088,995.9202,0
2020-07-29T00:14:02Z,2.364,29.1817,0.2678,0.5414,51.351,55.602834,5.135,96.268,7.069,224.0633,212.9,2.525331344430129,0.084,995.9271,0
2020-07-29T00:14:02Z,2.382,29.1652,0.2462,0.558,51.34,55.578031,5.1451,96.343,7.069,223.79,210.47,2.525602228181634,0.083,995.9321,0
2020-07-29T00:14:02Z,2.401,29.1535,0.2601,0.5987,51.298,55.51824,5.1562,96.433,7.068,223.769,208.27,2.524003271845111,0.085,995.9356,0
2020-07-29T00:14:02Z,2.421,29.144,0.2736,0.6214,51.249,55.451544,5.1633,96.479,7.068,223.7229,205.76,2.521924087886739,0.09,995.9385,0
2020-07-29T00:14:02Z,2.445,29.1338,0.2656,0.5929,51.221,55.406773,5.1686,96.432,7.067,223.7493,203.06,2.520980068842427,0.096,995.9416,0
2020-07-29T00:14:02Z,2.473,29.1207,0.2492,0.5289,51.192,55.357994,5.1722,96.363,7.066,224.0028,200.66,2.520131828842975,0.103,995.9455,0
2020-07-29T00:14:02Z,2.501,29.106,0.2475,0.4992,51.162,55.306361,5.1801,96.313,7.065,223.9482,198.73,2.5193127600494347,0.108,995.95,0
2020-07-29T00:14:02Z,2.529,29.0934,0.2549,0.5429,51.164,55.290584,5.1862,96.25,7.064,223.6912,196.87,2.520063076100525,0.109,995.9538,0
2020-07-29T00:14:02Z,2.559,29.0808,0.2529,0.6116,51.18,55.294245,5.1815,96.186,7.063,223.9931,195.19,2.5215477029520077,0.107,995.9576,0
2020-07-29T00:14:02Z,2.589,29.0625,0.2417,0.609,51.181,55.287082,5.1786,96.118,7.063,224.4149,194.19,2.5225390043959877,0.103,995.9632,0
2020-07-29T00:14:02Z,2.615,29.0424,0.2338,0.545,51.169,55.267481,5.1798,96.025,7.064,224.145,193.53,2.5229414495367743,0.098,995.9691,0
2020-07-29T00:14:02Z,2.638,29.0246,0.2238,0.4904,51.158,55.247789,5.1767,95.925,7.065,223.7405,192.81,2.5232784426665593,0.093,995.9744,0
2020-07-29T00:14:02Z,2.661,29.0109,0.2073,0.4979,51.158,55.23953,5.1745,95.821,7.065,223.741,192.56,2.5239822919168162,0.088,995.9786,0
2020-07-29T00:14:02Z,2.682,29.003,0.2058,0.5671,51.156,55.231122,5.1731,95.716,7.065,223.8063,192.94,2.524283091158929,0.086,995.981,0
2020-07-29T00:14:02Z,2.7,28.9982,0.2049,0.6063,51.142,55.209642,5.1668,95.613,7.065,223.8412,193.35,2.523794374446173,0.086,995.9825,0
2020-07-29T00:14:02Z,2.719,28.9909,0.1778,0.5603,51.114,55.170357,5.1629,95.494,7.065,224.0768,193.73,2.52269869125845,0.087,995.9847,0
2020-07-29T00:14:02Z,2.742,28.9816,0.1355,0.4913,51.092,55.137218,5.1577,95.348,7.065,224.5908,193.94,2.522020600589167,0.089,995.9875,0
2020-07-29T00:14:02Z,2.768,28.9753,0.1131,0.4924,51.091,55.126533,5.1524,95.2,7.065,224.8933,193.75,2.5222914227679007,0.089,995.9894,0
2020-07-29T00:14:02Z,2.794,28.9705,0.1261,0.5735,51.078,55.104657,5.1478,95.079,7.066,224.5505,193.63,2.5218545096783958,0.088,995.991,0
2020-07-29T00:14:02Z,2.817,28.9623,0.1405,0.6144,51.048,55.063257,5.1426,94.963,7.066,223.8872,193.74,2.520699009697573,0.086,995.9935,0
2020-07-29T00:14:02Z,2.837,28.9512,0.1441,0.5402,50.949,54.94354,5.1352,94.814,7.066,223.4991,193.61,2.516065767435824,0.084,995.9967,0
2020-07-29T00:14:02Z,2.856,28.9414,0.1611,0.4665,50.608,54.546375,5.1268,94.642,7.067,223.4712,193.16,2.4986477570207297,0.083,995.9998,0
2020-07-29T00:14:02Z,2.875,28.9338,0.1828,0.5121,49.932,53.75446,5.1222,94.517,7.068,223.5509,192.67,2.463531649092317,0.086,996.002,0
2020-07-29T00:14:02Z,2.894,28.9284,0.1971,0.6106,48.97,52.608983,5.1169,94.485,7.068,223.7739,191.94,2.4133390717003906,0.091,996.0036,0
2020-07-29T00:14:02Z,2.917,28.9153,0.2004,0.6961,48.02,51.429571,5.1105,94.528,7.067,224.0161,190.84,2.364212376851509,0.099,996.0076,0
