Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP_mV,PAR,Salinity,Descent Rate (m/s),Flag
2020-09-15T21:24:50Z,0.002,22.5202,5.9603,3.332,28.243,26.868651,4.7938,79.648,15.229,264.812,162.59,1.5441377894588804,0.087,0
2020-09-15T21:24:50Z,0.032,22.5311,5.9491,3.29,28.188,26.820792,4.8033,79.618,15.229,264.8883,145.35,1.5405861943677364,0.109,0
2020-09-15T21:24:50Z,0.072,22.5413,5.9369,3.2862,28.176,26.811738,4.8106,79.515,15.23,265.1698,120.82,1.5395420800894593,0.125,0
2020-09-15T21:24:50Z,0.112,22.5514,5.9369,3.3199,28.186,26.822616,4.8181,79.4,15.23,265.6335,100.74,1.539771216108078,0.135,0
2020-09-15T21:24:50Z,0.147,22.5619,5.9384,3.3207,28.188,26.825462,4.8228,79.294,15.23,266.2789,87.173,1.5395251965847747,0.137,0
2020-09-15T21:24:50Z,0.179,22.5695,5.9372,3.2962,28.209,26.846152,4.8196,79.218,15.23,267.0365,72.911,1.5404748719954549,0.132,0
2020-09-15T21:24:50Z,0.213,22.5732,5.9502,3.2979,28.248,26.882487,4.8109,79.188,15.23,267.7393,58.851,1.5425965489383966,0.123,0
2020-09-15T21:24:50Z,0.247,22.5764,5.9713,3.3067,28.25,26.884204,4.8039,79.164,15.229,267.9792,48.68,1.5426011619473683,0.112,0
2020-09-15T21:24:50Z,0.275,22.5786,5.9924,3.2997,28.232,26.86692,4.797,79.119,15.228,268.0438,43.587,1.5414868541181006,0.1,0
2020-09-15T21:24:50Z,0.299,22.5789,6.0046,3.2822,28.228,26.863794,4.7908,79.074,15.228,268.4339,42.624,1.541245481634938,0.089,0
2020-09-15T21:24:50Z,0.32,22.5778,5.9954,3.2663,28.21,26.846405,4.7911,79.049,15.228,268.9963,44.305,1.5402448457680038,0.084,0
2020-09-15T21:24:50Z,0.335,22.5775,5.9863,3.2784,28.211,26.846963,4.7904,79.046,15.228,269.4234,47.804,1.5403125783583724,0.088,0
2020-09-15T21:24:50Z,0.345,22.5782,6.0187,3.3254,28.236,26.870538,4.7866,79.043,15.228,269.6405,51.644,1.541730257464324,0.1,0
2020-09-15T21:24:50Z,0.365,22.5786,6.1485,3.3551,28.243,26.877721,4.7834,79.02,15.228,269.9005,54.387,1.5421199762685733,0.115,0
2020-09-15T21:24:50Z,0.402,22.5782,6.3247,3.3287,28.234,26.870382,4.782,79,15.228,270.3298,55.162,1.5416139952571968,0.13,0
2020-09-15T21:24:50Z,0.449,22.5763,6.3948,3.3143,28.208,26.845232,4.7823,79.02,15.228,270.7017,53.771,1.5401789977625417,0.142,0
2020-09-15T21:24:50Z,0.496,22.5759,6.3953,3.3524,28.188,26.827352,4.783,79.04,15.228,271.1278,51.465,1.5390385483929465,0.148,0
2020-09-15T21:24:50Z,0.536,22.5774,6.4173,3.3436,28.205,26.844494,4.7811,79.021,15.229,271.5242,49.055,1.539966716937033,0.145,0
2020-09-15T21:24:50Z,0.57,22.5784,6.4698,3.2078,28.224,26.862203,4.7777,78.973,15.229,271.5362,46.464,1.5410275647185345,0.134,0
2020-09-15T21:24:50Z,0.601,22.5794,6.5436,3.0496,28.213,26.851179,4.7809,78.902,15.229,271.445,43.94,1.5403583334502746,0.117,0
2020-09-15T21:24:50Z,0.63,22.581,6.5849,3.0098,28.199,26.838073,4.783,78.828,15.229,271.4539,41.68,1.5394955258199476,0.101,0
2020-09-15T21:24:50Z,0.655,22.5825,6.5977,3.0356,28.192,26.830592,4.7807,78.791,15.229,271.5571,39.901,1.5390399170144158,0.087,0
2020-09-15T21:24:50Z,0.674,22.5832,6.5457,3.0525,28.185,26.824147,4.778,78.778,15.229,271.7466,38.691,1.5386119768416,0.077,0
2020-09-15T21:24:50Z,0.688,22.5829,6.4132,3.0429,28.185,26.823582,4.7737,78.782,15.229,272.025,37.796,1.5386220936435993,0.072,0
2020-09-15T21:24:50Z,0.702,22.5816,6.3397,3.0574,28.185,26.823751,4.7675,78.844,15.229,272.4285,37.051,1.538666527010886,0.07,0
2020-09-15T21:24:50Z,0.717,22.5807,6.3534,3.1234,28.188,26.826189,4.7661,78.956,15.23,272.8389,36.382,1.5388701669337566,0.073,0
2020-09-15T21:24:50Z,0.735,22.5801,6.4359,3.1209,28.216,26.853066,4.7665,79.062,15.23,273.2012,35.634,1.5405051130091465,0.08,0
2020-09-15T21:24:50Z,0.758,22.5797,6.5749,3.0267,28.261,26.895003,4.7642,79.166,15.23,273.368,34.7,1.543113701092281,0.086,0
2020-09-15T21:24:50Z,0.784,22.579,6.6514,2.9458,28.254,26.889236,4.7685,79.275,15.229,273.306,33.625,1.542733629457495,0.091,0
2020-09-15T21:24:50Z,0.811,22.5785,6.6737,2.9671,28.209,26.846767,4.7777,79.35,15.229,273.3115,32.461,1.5401551664223117,0.091,0
2020-09-15T21:24:50Z,0.836,22.5786,6.8342,3.0432,28.186,26.825518,4.7833,79.368,15.229,273.5213,31.206,1.538824972527369,0.09,0
2020-09-15T21:24:50Z,0.859,22.578,7.1042,3.0769,28.183,26.822607,4.7888,79.348,15.229,273.7777,30.007,1.538672162904596,0.087,0
2020-09-15T21:24:50Z,0.878,22.578,7.2303,3.0655,28.172,26.811567,4.797,79.301,15.229,273.8309,28.913,1.53803756689498,0.084,0
