ID#	1
Name	"Air"
	Data Filename	Date Acquired	Sample Name	Sample Type	Level#	Ret. Time	Area	Conc.	Std. Conc.	Cal. Point	Accuracy[%]	Deviation
1	BRN27jun19_01.gcd	6/27/2019 10:01:28 AM	1	Standard(Calc.Point)	1	2.699	5343910	1036.634	937.1	*	110.6	99.534
2	BRN27jun19_02.gcd	6/27/2019 10:32:04 AM	1	Standard(Calc.Point)	1	2.692	5596328	905.635	937.1	*	96.6	-31.465
3	BRN27jun19_03.gcd	6/27/2019 11:02:38 AM	1	Standard(Calc.Point)	1	2.700	5422861	995.661	937.1	*	106.2	58.561
4	BRN27jun19_04.gcd	6/27/2019 11:33:13 AM	2	Standard(Calc.Point)	2	2.702	5450785	981.169	937.3	*	104.7	43.869
5	BRN27jun19_05.gcd	6/27/2019 12:03:51 PM	3	Standard(Calc.Point)	3	2.691	5639479	883.241	938	*	94.2	-54.759
6	BRN27jun19_06.gcd	6/27/2019 12:34:26 PM	4	Standard(Calc.Point)	4	2.703	5429347	992.294	939.8	*	105.6	52.494
7	BRN27jun19_07.gcd	6/27/2019 1:05:03 PM	5	Standard(Calc.Point)	5	2.693	5583207	912.445	941.6	*	96.9	-29.155
8	BRN27jun19_08.gcd	6/27/2019 1:35:40 PM	6	Standard(Calc.Point)	6	2.705	5377908	1018.990	950.5	*	107.2	68.490
9	BRN27jun19_09.gcd	6/27/2019 2:06:14 PM	7	Standard(Calc.Point)	7	2.692	5628969	888.695	959.4	*	92.6	-70.705
10	BRN27jun19_10.gcd	6/27/2019 2:36:52 PM	8	Standard(Calc.Point)	8	2.692	5632438	886.895	937.3	*	94.6	-50.405
11	BRN27jun19_11.gcd	6/27/2019 3:07:28 PM	9	Standard(Calc.Point)	9	2.692	5673089	865.798	938	*	92.3	-72.202
12	BRN27jun19_12.gcd	6/27/2019 3:38:05 PM	10	Standard(Calc.Point)	10	2.695	5562225	923.334	939.8	*	98.2	-16.466
13	BRN27jun19_13.gcd	6/27/2019 4:08:41 PM	11	Standard(Calc.Point)	11	2.707	5370845	1022.656	941.6	*	108.6	81.056
14	BRN27jun19_14.gcd	6/27/2019 4:39:18 PM	12	Standard(Calc.Point)	12	2.693	5660370	872.399	950.5	*	91.8	-78.101
15	BRN27jun19_15.gcd	6/27/2019 5:09:57 PM	13	Standard(Calc.Point)	13	2.699	5408510	1003.108	959.4	*	104.6	43.708
16	BRN27jun19_16.gcd	6/27/2019 5:40:32 PM	14	Standard(Calc.Point)	14	2.694	5580180	914.016	950	*	96.2	-35.984
17	BRN27jun19_17.gcd	6/27/2019 6:11:10 PM	15	Standard(Calc.Point)	15	2.705	5364496	1025.951	950	*	108.0	75.951
18	AGH23aug19_01.gcd	8/23/2019 5:48:58 PM	air	Unknown	0	2.712	5240026	1090.548	-----	-----	-----	-----
19	AGH23aug19_02.gcd	8/23/2019 6:19:37 PM	std add +100	Unknown	0	2.714	5119320	1153.191	-----	-----	-----	-----
20	AGH23aug19_03.gcd	8/23/2019 6:50:17 PM	049	Unknown	0	-----	-----	-----	-----	-----	-----	-----
21	AGH23aug19_04.gcd	8/23/2019 7:20:56 PM	193	Unknown	0	-----	-----	-----	-----	-----	-----	-----
22	AGH23aug19_05.gcd	8/23/2019 7:51:36 PM	016	Unknown	0	-----	-----	-----	-----	-----	-----	-----
23	AGH23aug19_06.gcd	8/23/2019 8:22:14 PM	187	Unknown	0	-----	-----	-----	-----	-----	-----	-----
24	AGH23aug19_07.gcd	8/23/2019 8:52:54 PM	209	Unknown	0	-----	-----	-----	-----	-----	-----	-----
25	AGH23aug19_08.gcd	8/23/2019 9:23:31 PM	120	Unknown	0	-----	-----	-----	-----	-----	-----	-----
26	AGH23aug19_09.gcd	8/23/2019 9:54:08 PM	216	Unknown	0	-----	-----	-----	-----	-----	-----	-----
27	AGH23aug19_10.gcd	8/23/2019 10:24:47 PM	149	Unknown	0	-----	-----	-----	-----	-----	-----	-----
28	AGH23aug19_11.gcd	8/23/2019 10:55:25 PM	113	Unknown	0	-----	-----	-----	-----	-----	-----	-----
29	AGH23aug19_12.gcd	8/23/2019 11:26:05 PM	057	Unknown	0	-----	-----	-----	-----	-----	-----	-----
30	AGH23aug19_13.gcd	8/23/2019 11:56:41 PM	179	Unknown	0	-----	-----	-----	-----	-----	-----	-----
31	AGH23aug19_14.gcd	8/24/2019 12:27:17 AM	081	Unknown	0	-----	-----	-----	-----	-----	-----	-----
32	AGH23aug19_15.gcd	8/24/2019 12:57:57 AM	072	Unknown	0	-----	-----	-----	-----	-----	-----	-----
33	AGH23aug19_16.gcd	8/24/2019 1:28:34 AM	075	Unknown	0	-----	-----	-----	-----	-----	-----	-----
34	AGH23aug19_17.gcd	8/24/2019 1:59:11 AM	092	Unknown	0	-----	-----	-----	-----	-----	-----	-----
35	AGH23aug19_18.gcd	8/24/2019 2:29:48 AM	166	Unknown	0	-----	-----	-----	-----	-----	-----	-----
36	AGH23aug19_19.gcd	8/24/2019 3:00:26 AM	045	Unknown	0	-----	-----	-----	-----	-----	-----	-----
37	AGH23aug19_20.gcd	8/24/2019 3:31:04 AM	078	Unknown	0	-----	-----	-----	-----	-----	-----	-----
38	AGH23aug19_21.gcd	8/24/2019 4:01:43 AM	161	Unknown	0	-----	-----	-----	-----	-----	-----	-----
39	AGH23aug19_22.gcd	8/24/2019 4:32:20 AM	104	Unknown	0	-----	-----	-----	-----	-----	-----	-----
40	AGH23aug19_23.gcd	8/24/2019 5:02:59 AM	046	Unknown	0	-----	-----	-----	-----	-----	-----	-----
41	AGH23aug19_24.gcd	8/24/2019 5:33:39 AM	185	Unknown	0	-----	-----	-----	-----	-----	-----	-----
42	AGH23aug19_25.gcd	8/24/2019 6:04:18 AM	086	Unknown	0	-----	-----	-----	-----	-----	-----	-----
43	AGH23aug19_26.gcd	8/24/2019 6:34:55 AM	+100	Unknown	0	-----	-----	-----	-----	-----	-----	-----
44	AGH23aug19_27.gcd	8/24/2019 7:05:33 AM	044	Unknown	0	-----	-----	-----	-----	-----	-----	-----
45	AGH23aug19_28.gcd	8/24/2019 7:36:12 AM	021	Unknown	0	-----	-----	-----	-----	-----	-----	-----
46	AGH23aug19_29.gcd	8/24/2019 8:06:50 AM	143	Unknown	0	-----	-----	-----	-----	-----	-----	-----
47	AGH23aug19_30.gcd	8/24/2019 8:37:30 AM	AIR	Unknown	0	-----	-----	-----	-----	-----	-----	-----
48	AGH23aug19_31.gcd	8/24/2019 9:08:07 AM	212	Unknown	0	-----	-----	-----	-----	-----	-----	-----
49	AGH23aug19_32.gcd	8/24/2019 9:38:46 AM	177	Unknown	0	-----	-----	-----	-----	-----	-----	-----
50	AGH23aug19_33.gcd	8/24/2019 10:09:24 AM	110	Unknown	0	-----	-----	-----	-----	-----	-----	-----
51	AGH23aug19_34.gcd	8/24/2019 10:40:04 AM	174	Unknown	0	-----	-----	-----	-----	-----	-----	-----
52	AGH23aug19_35.gcd	8/24/2019 11:10:40 AM	080	Unknown	0	-----	-----	-----	-----	-----	-----	-----
53	AGH23aug19_36.gcd	8/24/2019 11:41:16 AM	087	Unknown	0	-----	-----	-----	-----	-----	-----	-----
54	AGH23aug19_37.gcd	8/24/2019 12:11:51 PM	200	Unknown	0	-----	-----	-----	-----	-----	-----	-----
55	AGH23aug19_38.gcd	8/24/2019 12:42:26 PM	041	Unknown	0	-----	-----	-----	-----	-----	-----	-----
56	AGH23aug19_39.gcd	8/24/2019 1:13:03 PM	199	Unknown	0	-----	-----	-----	-----	-----	-----	-----
57	AGH23aug19_40.gcd	8/24/2019 1:43:41 PM	128	Unknown	0	-----	-----	-----	-----	-----	-----	-----
58	AGH23aug19_41.gcd	8/24/2019 2:14:19 PM	007	Unknown	0	-----	-----	-----	-----	-----	-----	-----
59	AGH23aug19_42.gcd	8/24/2019 2:44:57 PM	069	Unknown	0	-----	-----	-----	-----	-----	-----	-----
	Average					2.699	5478121	966.982			100.5	56.641
	%RSD					0.264691	2.838631	8.345838			6.547743	38.663350
	Maximum					2.714	5673089	1153.191			110.6	99.534
	Minimum					2.691	5119320	865.798			91.8	16.466
	Std. Dev.					0.007144	155503.605149	80.702756			6.582438	21.899490

ID#	2
Name	High CH4 by TCD
	Data Filename	Date Acquired	Sample Name	Sample Type	Level#	Ret. Time	Area	Conc.	Std. Conc.	Cal. Point	Accuracy[%]	Deviation
1	BRN27jun19_01.gcd	6/27/2019 10:01:28 AM	1	Standard(Calc.Point)	1	-----	-----	-----	1.85		-----	-----
2	BRN27jun19_02.gcd	6/27/2019 10:32:04 AM	1	Standard(Calc.Point)	1	-----	-----	-----	1.85		-----	-----
3	BRN27jun19_03.gcd	6/27/2019 11:02:38 AM	1	Standard(Calc.Point)	1	-----	-----	-----	1.85		-----	-----
4	BRN27jun19_04.gcd	6/27/2019 11:33:13 AM	2	Standard(Calc.Point)	2	-----	-----	-----	2.6		-----	-----
5	BRN27jun19_05.gcd	6/27/2019 12:03:51 PM	3	Standard(Calc.Point)	3	-----	-----	-----	3.4		-----	-----
6	BRN27jun19_06.gcd	6/27/2019 12:34:26 PM	4	Standard(Calc.Point)	4	-----	-----	-----	5		-----	-----
7	BRN27jun19_07.gcd	6/27/2019 1:05:03 PM	5	Standard(Calc.Point)	5	-----	-----	-----	9		-----	-----
8	BRN27jun19_08.gcd	6/27/2019 1:35:40 PM	6	Standard(Calc.Point)	6	-----	-----	-----	17.6		-----	-----
9	BRN27jun19_09.gcd	6/27/2019 2:06:14 PM	7	Standard(Calc.Point)	7	-----	-----	-----	33.1		-----	-----
10	BRN27jun19_10.gcd	6/27/2019 2:36:52 PM	8	Standard(Calc.Point)	8	-----	-----	-----	64.2		-----	-----
11	BRN27jun19_11.gcd	6/27/2019 3:07:28 PM	9	Standard(Calc.Point)	9	-----	-----	-----	125.7		-----	-----
12	BRN27jun19_12.gcd	6/27/2019 3:38:05 PM	10	Standard(Calc.Point)	10	-----	-----	-----	241.4		-----	-----
13	BRN27jun19_13.gcd	6/27/2019 4:08:41 PM	11	Standard(Calc.Point)	11	-----	-----	-----	480.7		-----	-----
14	BRN27jun19_14.gcd	6/27/2019 4:39:18 PM	12	Standard(Calc.Point)	12	5.981	3439	947.547	958.6	*	98.8	-11.053
