ID#	1
Name	"Air"
	Data Filename	Date Acquired	Sample Name	Sample Type	Level#	Ret. Time	Area	Conc.	Std. Conc.	Cal. Point	Accuracy[%]	Deviation
1	BRN27jun19_01.gcd	6/27/2019 10:01:28 AM	1	Standard(Calc.Point)	1	2.699	5343910	1036.634	937.1	*	110.6	99.534
2	BRN27jun19_02.gcd	6/27/2019 10:32:04 AM	1	Standard(Calc.Point)	1	2.692	5596328	905.635	937.1	*	96.6	-31.465
3	BRN27jun19_03.gcd	6/27/2019 11:02:38 AM	1	Standard(Calc.Point)	1	2.700	5422861	995.661	937.1	*	106.2	58.561
4	BRN27jun19_04.gcd	6/27/2019 11:33:13 AM	2	Standard(Calc.Point)	2	2.702	5450785	981.169	937.3	*	104.7	43.869
5	BRN27jun19_05.gcd	6/27/2019 12:03:51 PM	3	Standard(Calc.Point)	3	2.691	5639479	883.241	938	*	94.2	-54.759
6	BRN27jun19_06.gcd	6/27/2019 12:34:26 PM	4	Standard(Calc.Point)	4	2.703	5429347	992.294	939.8	*	105.6	52.494
7	BRN27jun19_07.gcd	6/27/2019 1:05:03 PM	5	Standard(Calc.Point)	5	2.693	5583207	912.445	941.6	*	96.9	-29.155
8	BRN27jun19_08.gcd	6/27/2019 1:35:40 PM	6	Standard(Calc.Point)	6	2.705	5377908	1018.990	950.5	*	107.2	68.490
9	BRN27jun19_09.gcd	6/27/2019 2:06:14 PM	7	Standard(Calc.Point)	7	2.692	5628969	888.695	959.4	*	92.6	-70.705
10	BRN27jun19_10.gcd	6/27/2019 2:36:52 PM	8	Standard(Calc.Point)	8	2.692	5632438	886.895	937.3	*	94.6	-50.405
11	BRN27jun19_11.gcd	6/27/2019 3:07:28 PM	9	Standard(Calc.Point)	9	2.692	5673089	865.798	938	*	92.3	-72.202
12	BRN27jun19_12.gcd	6/27/2019 3:38:05 PM	10	Standard(Calc.Point)	10	2.695	5562225	923.334	939.8	*	98.2	-16.466
13	BRN27jun19_13.gcd	6/27/2019 4:08:41 PM	11	Standard(Calc.Point)	11	2.707	5370845	1022.656	941.6	*	108.6	81.056
14	BRN27jun19_14.gcd	6/27/2019 4:39:18 PM	12	Standard(Calc.Point)	12	2.693	5660370	872.399	950.5	*	91.8	-78.101
15	BRN27jun19_15.gcd	6/27/2019 5:09:57 PM	13	Standard(Calc.Point)	13	2.699	5408510	1003.108	959.4	*	104.6	43.708
16	BRN27jun19_16.gcd	6/27/2019 5:40:32 PM	14	Standard(Calc.Point)	14	2.694	5580180	914.016	950	*	96.2	-35.984
17	BRN27jun19_17.gcd	6/27/2019 6:11:10 PM	15	Standard(Calc.Point)	15	2.705	5364496	1025.951	950	*	108.0	75.951
18	ASL23sept19_01.gcd	9/23/2019 10:04:32 AM	air	Unknown	0	2.696	5560381	924.291	-----	-----	-----	-----
19	ASL23sept19_02.gcd	9/23/2019 10:35:11 AM	std add +100	Unknown	0	2.711	5276915	1071.403	-----	-----	-----	-----
20	ASL23sept19_03.gcd	9/23/2019 11:05:49 AM	057	Unknown	0	-----	-----	-----	-----	-----	-----	-----
21	ASL23sept19_04.gcd	9/23/2019 11:36:26 AM	069	Unknown	0	-----	-----	-----	-----	-----	-----	-----
22	ASL23sept19_05.gcd	9/23/2019 12:07:03 PM	145	Unknown	0	-----	-----	-----	-----	-----	-----	-----
23	ASL23sept19_06.gcd	9/23/2019 12:37:40 PM	210	Unknown	0	-----	-----	-----	-----	-----	-----	-----
24	ASL23sept19_07.gcd	9/23/2019 1:08:21 PM	180	Unknown	0	-----	-----	-----	-----	-----	-----	-----
25	ASL23sept19_08.gcd	9/23/2019 1:39:00 PM	211	Unknown	0	-----	-----	-----	-----	-----	-----	-----
26	ASL23sept19_09.gcd	9/23/2019 2:09:42 PM	022	Unknown	0	-----	-----	-----	-----	-----	-----	-----
27	ASL23sept19_10.gcd	9/23/2019 2:40:20 PM	147	Unknown	0	-----	-----	-----	-----	-----	-----	-----
28	ASL23sept19_11.gcd	9/23/2019 3:10:58 PM	117	Unknown	0	-----	-----	-----	-----	-----	-----	-----
29	ASL23sept19_12.gcd	9/23/2019 3:41:37 PM	011	Unknown	0	-----	-----	-----	-----	-----	-----	-----
30	ASL23sept19_13.gcd	9/23/2019 4:12:17 PM	085	Unknown	0	-----	-----	-----	-----	-----	-----	-----
31	ASL23sept19_14.gcd	9/23/2019 4:42:58 PM	053	Unknown	0	-----	-----	-----	-----	-----	-----	-----
32	ASL23sept19_15.gcd	9/23/2019 5:13:39 PM	048	Unknown	0	-----	-----	-----	-----	-----	-----	-----
33	ASL23sept19_16.gcd	9/23/2019 5:44:20 PM	195	Unknown	0	-----	-----	-----	-----	-----	-----	-----
34	ASL23sept19_17.gcd	9/23/2019 6:15:01 PM	164	Unknown	0	-----	-----	-----	-----	-----	-----	-----
35	ASL23sept19_18.gcd	9/23/2019 6:45:39 PM	163	Unknown	0	-----	-----	-----	-----	-----	-----	-----
36	ASL23sept19_19.gcd	9/23/2019 7:16:18 PM	033	Unknown	0	2.737	3529944	1978.040	-----	-----	-----	-----
37	ASL23sept19_20.gcd	9/23/2019 7:46:56 PM	209	Unknown	0	-----	-----	-----	-----	-----	-----	-----
38	ASL23sept19_21.gcd	9/23/2019 8:17:35 PM	213	Unknown	0	-----	-----	-----	-----	-----	-----	-----
39	ASL23sept19_22.gcd	9/23/2019 8:48:11 PM	114	Unknown	0	-----	-----	-----	-----	-----	-----	-----
40	ASL23sept19_23.gcd	9/23/2019 9:18:48 PM	130	Unknown	0	-----	-----	-----	-----	-----	-----	-----
41	ASL23sept19_24.gcd	9/23/2019 9:49:26 PM	071	Unknown	0	-----	-----	-----	-----	-----	-----	-----
42	ASL23sept19_25.gcd	9/23/2019 10:20:03 PM	158	Unknown	0	-----	-----	-----	-----	-----	-----	-----
43	ASL23sept19_26.gcd	9/23/2019 10:50:42 PM	217	Unknown	0	-----	-----	-----	-----	-----	-----	-----
44	ASL23sept19_27.gcd	9/23/2019 11:21:19 PM	143	Unknown	0	-----	-----	-----	-----	-----	-----	-----
45	ASL23sept19_28.gcd	9/23/2019 11:51:55 PM	112	Unknown	0	-----	-----	-----	-----	-----	-----	-----
46	ASL23sept19_29.gcd	9/24/2019 12:22:33 AM	155	Unknown	0	-----	-----	-----	-----	-----	-----	-----
47	ASL23sept19_30.gcd	9/24/2019 12:53:11 AM	160	Unknown	0	-----	-----	-----	-----	-----	-----	-----
48	ASL23sept19_31.gcd	9/24/2019 1:23:51 AM	169	Unknown	0	-----	-----	-----	-----	-----	-----	-----
49	ASL23sept19_32.gcd	9/24/2019 1:54:30 AM	095	Unknown	0	-----	-----	-----	-----	-----	-----	-----
50	ASL23sept19_33.gcd	9/24/2019 2:25:11 AM	197	Unknown	0	-----	-----	-----	-----	-----	-----	-----
51	ASL23sept19_34.gcd	9/24/2019 2:55:47 AM	041	Unknown	0	-----	-----	-----	-----	-----	-----	-----
52	ASL23sept19_35.gcd	9/24/2019 3:26:26 AM	142	Unknown	0	-----	-----	-----	-----	-----	-----	-----
53	ASL23sept19_36.gcd	9/24/2019 3:57:02 AM	093	Unknown	0	-----	-----	-----	-----	-----	-----	-----
54	ASL23sept19_37.gcd	9/24/2019 4:27:42 AM	212	Unknown	0	-----	-----	-----	-----	-----	-----	-----
55	ASL23sept19_38.gcd	9/24/2019 4:58:22 AM	025	Unknown	0	-----	-----	-----	-----	-----	-----	-----
56	ASL23sept19_39.gcd	9/24/2019 5:29:01 AM	199	Unknown	0	-----	-----	-----	-----	-----	-----	-----
57	ASL23sept19_40.gcd	9/24/2019 5:59:39 AM	066	Unknown	0	-----	-----	-----	-----	-----	-----	-----
58	ASL23sept19_41.gcd	9/24/2019 6:30:17 AM	078	Unknown	0	-----	-----	-----	-----	-----	-----	-----
59	ASL23sept19_42.gcd	9/24/2019 7:00:55 AM	151	Unknown	0	-----	-----	-----	-----	-----	-----	-----
60	ASL23sept19_43.gcd	9/24/2019 7:31:32 AM	037	Unknown	0	-----	-----	-----	-----	-----	-----	-----
61	ASL23sept19_44.gcd	9/24/2019 8:02:13 AM	119	Unknown	0	-----	-----	-----	-----	-----	-----	-----
62	ASL23sept19_45.gcd	9/24/2019 8:32:54 AM	161	Unknown	0	-----	-----	-----	-----	-----	-----	-----
63	ASL23sept19_46.gcd	9/24/2019 9:03:34 AM	174	Unknown	0	-----	-----	-----	-----	-----	-----	-----
	Average					2.700	5404609	1005.133			100.5	56.641
	%RSD					0.390452	8.473065	23.644442			6.547743	38.663350
	Maximum					2.737	5673089	1978.040			110.6	99.534
	Minimum					2.691	3529944	865.798			91.8	16.466
	Std. Dev.					0.010542	457936.068799	237.658028			6.582438	21.899490

ID#	2
Name	High CH4 by TCD
	Data Filename	Date Acquired	Sample Name	Sample Type	Level#	Ret. Time	Area	Conc.	Std. Conc.	Cal. Point	Accuracy[%]	Deviation
1	BRN27jun19_01.gcd	6/27/2019 10:01:28 AM	1	Standard(Calc.Point)	1	-----	-----	-----	1.85		-----	-----
2	BRN27jun19_02.gcd	6/27/2019 10:32:04 AM	1	Standard(Calc.Point)	1	-----	-----	-----	1.85		-----	-----
3	BRN27jun19_03.gcd	6/27/2019 11:02:38 AM	1	Standard(Calc.Point)	1	-----	-----	-----	1.85		-----	-----
4	BRN27jun19_04.gcd	6/27/2019 11:33:13 AM	2	Standard(Calc.Point)	2	-----	-----	-----	2.6		-----	-----
5	BRN27jun19_05.gcd	6/27/2019 12:03:51 PM	3	Standard(Calc.Point)	3	-----	-----	-----	3.4		-----	-----
6	BRN27jun19_06.gcd	6/27/2019 12:34:26 PM	4	Standard(Calc.Point)	4	-----	-----	-----	5		-----	-----
7	BRN27jun19_07.gcd	6/27/2019 1:05:03 PM	5	Standard(Calc.Point)	5	-----	-----	-----	9		-----	-----
8	BRN27jun19_08.gcd	6/27/2019 1:35:40 PM	6	Standard(Calc.Point)	6	-----	-----	-----	17.6		-----	-----
9	BRN27jun19_09.gcd	6/27/2019 2:06:14 PM	7	Standard(Calc.Point)	7	-----	-----	-----	33.1		-----	-----
10	BRN27jun19_10.gcd	6/27/2019 2:36:52 PM	8	Standard(Calc.Point)	8	-----	-----	-----	64.2		-----	-----
11	BRN27jun19_11.gcd	6/27/2019 3:07:28 PM	9	Standard(Calc.Point)	9	-----	-----	-----	125.7		-----	-----
