ID#	1
Name	"Air"
	Data Filename	Date Acquired	Sample Name	Sample Type	Level#	Ret. Time	Area	Conc.	Std. Conc.	Cal. Point	Accuracy[%]	Deviation
1	BRN27jun19_01.gcd	6/27/2019 10:01:28 AM	1	Standard(Calc.Point)	1	2.699	5343910	1036.634	937.1	*	110.6	99.534
2	BRN27jun19_02.gcd	6/27/2019 10:32:04 AM	1	Standard(Calc.Point)	1	2.692	5596328	905.635	937.1	*	96.6	-31.465
3	BRN27jun19_03.gcd	6/27/2019 11:02:38 AM	1	Standard(Calc.Point)	1	2.700	5422861	995.661	937.1	*	106.2	58.561
4	BRN27jun19_04.gcd	6/27/2019 11:33:13 AM	2	Standard(Calc.Point)	2	2.702	5450785	981.169	937.3	*	104.7	43.869
5	BRN27jun19_05.gcd	6/27/2019 12:03:51 PM	3	Standard(Calc.Point)	3	2.691	5639479	883.241	938	*	94.2	-54.759
6	BRN27jun19_06.gcd	6/27/2019 12:34:26 PM	4	Standard(Calc.Point)	4	2.703	5429347	992.294	939.8	*	105.6	52.494
7	BRN27jun19_07.gcd	6/27/2019 1:05:03 PM	5	Standard(Calc.Point)	5	2.693	5583207	912.445	941.6	*	96.9	-29.155
8	BRN27jun19_08.gcd	6/27/2019 1:35:40 PM	6	Standard(Calc.Point)	6	2.705	5377908	1018.990	950.5	*	107.2	68.490
9	BRN27jun19_09.gcd	6/27/2019 2:06:14 PM	7	Standard(Calc.Point)	7	2.692	5628969	888.695	959.4	*	92.6	-70.705
10	BRN27jun19_10.gcd	6/27/2019 2:36:52 PM	8	Standard(Calc.Point)	8	2.692	5632438	886.895	937.3	*	94.6	-50.405
11	BRN27jun19_11.gcd	6/27/2019 3:07:28 PM	9	Standard(Calc.Point)	9	2.692	5673089	865.798	938	*	92.3	-72.202
12	BRN27jun19_12.gcd	6/27/2019 3:38:05 PM	10	Standard(Calc.Point)	10	2.695	5562225	923.334	939.8	*	98.2	-16.466
13	BRN27jun19_13.gcd	6/27/2019 4:08:41 PM	11	Standard(Calc.Point)	11	2.707	5370845	1022.656	941.6	*	108.6	81.056
14	BRN27jun19_14.gcd	6/27/2019 4:39:18 PM	12	Standard(Calc.Point)	12	2.693	5660370	872.399	950.5	*	91.8	-78.101
15	BRN27jun19_15.gcd	6/27/2019 5:09:57 PM	13	Standard(Calc.Point)	13	2.699	5408510	1003.108	959.4	*	104.6	43.708
16	BRN27jun19_16.gcd	6/27/2019 5:40:32 PM	14	Standard(Calc.Point)	14	2.694	5580180	914.016	950	*	96.2	-35.984
17	BRN27jun19_17.gcd	6/27/2019 6:11:10 PM	15	Standard(Calc.Point)	15	2.705	5364496	1025.951	950	*	108.0	75.951
18	AGH15aug19_01.gcd	8/15/2019 3:27:07 PM	air	Unknown	0	2.703	5371080	1022.533	-----	-----	-----	-----
19	AGH15aug19_02.gcd	8/15/2019 3:57:45 PM	std add +100	Unknown	0	2.709	5176554	1123.488	-----	-----	-----	-----
20	AGH15aug19_03.gcd	8/15/2019 4:28:23 PM	212	Unknown	0	-----	-----	-----	-----	-----	-----	-----
21	AGH15aug19_04.gcd	8/15/2019 4:58:58 PM	217	Unknown	0	-----	-----	-----	-----	-----	-----	-----
22	AGH15aug19_05.gcd	8/15/2019 5:29:36 PM	080	Unknown	0	-----	-----	-----	-----	-----	-----	-----
23	AGH15aug19_06.gcd	8/15/2019 6:00:14 PM	086	Unknown	0	-----	-----	-----	-----	-----	-----	-----
24	AGH15aug19_07.gcd	8/15/2019 6:30:51 PM	046	Unknown	0	-----	-----	-----	-----	-----	-----	-----
25	AGH15aug19_08.gcd	8/15/2019 7:01:27 PM	133	Unknown	0	-----	-----	-----	-----	-----	-----	-----
26	AGH15aug19_09.gcd	8/15/2019 7:32:04 PM	048	Unknown	0	-----	-----	-----	-----	-----	-----	-----
27	AGH15aug19_10.gcd	8/15/2019 8:02:43 PM	125	Unknown	0	-----	-----	-----	-----	-----	-----	-----
28	AGH15aug19_11.gcd	8/15/2019 8:33:20 PM	185	Unknown	0	-----	-----	-----	-----	-----	-----	-----
29	AGH15aug19_12.gcd	8/15/2019 9:03:58 PM	109	Unknown	0	-----	-----	-----	-----	-----	-----	-----
30	AGH15aug19_13.gcd	8/15/2019 9:34:36 PM	026	Unknown	0	-----	-----	-----	-----	-----	-----	-----
31	AGH15aug19_14.gcd	8/15/2019 10:05:14 PM	097	Unknown	0	-----	-----	-----	-----	-----	-----	-----
32	AGH15aug19_15.gcd	8/15/2019 10:35:52 PM	071	Unknown	0	-----	-----	-----	-----	-----	-----	-----
33	AGH15aug19_16.gcd	8/15/2019 11:06:29 PM	044	Unknown	0	-----	-----	-----	-----	-----	-----	-----
34	AGH15aug19_17.gcd	8/15/2019 11:37:04 PM	021	Unknown	0	-----	-----	-----	-----	-----	-----	-----
35	AGH15aug19_18.gcd	8/16/2019 12:07:43 AM	022	Unknown	0	-----	-----	-----	-----	-----	-----	-----
36	AGH15aug19_19.gcd	8/16/2019 12:38:23 AM	174	Unknown	0	-----	-----	-----	-----	-----	-----	-----
37	AGH15aug19_20.gcd	8/16/2019 1:09:02 AM	096	Unknown	0	-----	-----	-----	-----	-----	-----	-----
38	AGH15aug19_21.gcd	8/16/2019 1:39:39 AM	186	Unknown	0	-----	-----	-----	-----	-----	-----	-----
39	AGH15aug19_22.gcd	8/16/2019 2:10:15 AM	151	Unknown	0	-----	-----	-----	-----	-----	-----	-----
40	AGH15aug19_23.gcd	8/16/2019 2:40:53 AM	071	Unknown	0	-----	-----	-----	-----	-----	-----	-----
41	AGH15aug19_24.gcd	8/16/2019 3:11:33 AM	011	Unknown	0	-----	-----	-----	-----	-----	-----	-----
42	AGH15aug19_25.gcd	8/16/2019 3:42:10 AM	177	Unknown	0	-----	-----	-----	-----	-----	-----	-----
43	AGH15aug19_26.gcd	8/16/2019 4:12:47 AM	143	Unknown	0	-----	-----	-----	-----	-----	-----	-----
44	AGH15aug19_27.gcd	8/16/2019 4:43:25 AM	205	Unknown	0	-----	-----	-----	-----	-----	-----	-----
45	AGH15aug19_28.gcd	8/16/2019 5:14:07 AM	033	Unknown	0	-----	-----	-----	-----	-----	-----	-----
46	AGH15aug19_29.gcd	8/16/2019 5:44:46 AM	108	Unknown	0	-----	-----	-----	-----	-----	-----	-----
47	AGH15aug19_30.gcd	8/16/2019 6:15:22 AM	040	Unknown	0	-----	-----	-----	-----	-----	-----	-----
48	AGH15aug19_31.gcd	8/16/2019 6:46:01 AM	018	Unknown	0	-----	-----	-----	-----	-----	-----	-----
49	AGH15aug19_32.gcd	8/16/2019 7:16:37 AM	155	Unknown	0	-----	-----	-----	-----	-----	-----	-----
50	AGH15aug19_33.gcd	8/16/2019 7:47:13 AM	041	Unknown	0	-----	-----	-----	-----	-----	-----	-----
51	AGH15aug19_34.gcd	8/16/2019 8:17:50 AM	173	Unknown	0	-----	-----	-----	-----	-----	-----	-----
52	AGH15aug19_35.gcd	8/16/2019 8:48:25 AM	093	Unknown	0	-----	-----	-----	-----	-----	-----	-----
53	AGH15aug19_36.gcd	8/16/2019 9:18:59 AM	159	Unknown	0	-----	-----	-----	-----	-----	-----	-----
54	AGH15aug19_37.gcd	8/16/2019 9:49:38 AM	178	Unknown	0	-----	-----	-----	-----	-----	-----	-----
55	AGH15aug19_38.gcd	8/16/2019 10:20:19 AM	197	Unknown	0	-----	-----	-----	-----	-----	-----	-----
56	AGH15aug19_39.gcd	8/16/2019 10:50:56 AM	107	Unknown	0	-----	-----	-----	-----	-----	-----	-----
57	AGH15aug19_40.gcd	8/16/2019 11:21:34 AM	110	Unknown	0	-----	-----	-----	-----	-----	-----	-----
58	AGH15aug19_41.gcd	8/16/2019 11:52:15 AM	134	Unknown	0	-----	-----	-----	-----	-----	-----	-----
59	AGH15aug19_42.gcd	8/16/2019 12:22:52 PM	157	Unknown	0	-----	-----	-----	-----	-----	-----	-----
60	AGH15aug19_43.gcd	8/16/2019 4:03:42 PM	air	Unknown	0	2.702	5377149	1019.384	-----	-----	-----	-----
61	AGH15aug19_44.gcd	8/16/2019 4:34:20 PM	std add +100	Unknown	0	2.702	5327262	1045.274	-----	-----	-----	-----
62	AGH15aug19_45.gcd	8/16/2019 5:05:00 PM	105	Unknown	0	-----	-----	-----	-----	-----	-----	-----
63	AGH15aug19_46.gcd	8/16/2019 5:35:40 PM	140	Unknown	0	-----	-----	-----	-----	-----	-----	-----
64	AGH15aug19_47.gcd	8/16/2019 6:06:19 PM	073	Unknown	0	-----	-----	-----	-----	-----	-----	-----
65	AGH15aug19_48.gcd	8/16/2019 6:36:56 PM	106	Unknown	0	-----	-----	-----	-----	-----	-----	-----
66	AGH15aug19_49.gcd	8/16/2019 7:07:37 PM	163	Unknown	0	-----	-----	-----	-----	-----	-----	-----
67	AGH15aug19_50.gcd	8/16/2019 7:38:16 PM	136	Unknown	0	-----	-----	-----	-----	-----	-----	-----
68	AGH15aug19_51.gcd	8/16/2019 8:08:55 PM	127	Unknown	0	-----	-----	-----	-----	-----	-----	-----
69	AGH15aug19_52.gcd	8/16/2019 8:39:34 PM	082	Unknown	0	-----	-----	-----	-----	-----	-----	-----
70	AGH15aug19_53.gcd	8/16/2019 9:10:12 PM	148	Unknown	0	-----	-----	-----	-----	-----	-----	-----
71	AGH15aug19_54.gcd	8/16/2019 9:40:50 PM	119	Unknown	0	-----	-----	-----	-----	-----	-----	-----
72	AGH15aug19_55.gcd	8/16/2019 10:11:28 PM	042	Unknown	0	-----	-----	-----	-----	-----	-----	-----
73	AGH15aug19_56.gcd	8/16/2019 10:42:08 PM	201	Unknown	0	-----	-----	-----	-----	-----	-----	-----
74	AGH15aug19_57.gcd	8/16/2019 11:12:45 PM	210	Unknown	0	-----	-----	-----	-----	-----	-----	-----
75	AGH15aug19_58.gcd	8/16/2019 11:43:25 PM	154	Unknown	0	-----	-----	-----	-----	-----	-----	-----
76	AGH15aug19_59.gcd	8/17/2019 12:14:04 AM	059	Unknown	0	-----	-----	-----	-----	-----	-----	-----
77	AGH15aug19_60.gcd	8/17/2019 12:44:42 AM	181	Unknown	0	-----	-----	-----	-----	-----	-----	-----
78	AGH15aug19_61.gcd	8/17/2019 1:15:18 AM	068	Unknown	0	-----	-----	-----	-----	-----	-----	-----
