Sample ID,Reservoir,Date,Depth,Chlorophyll a Conc of original water sample in ug/L (or mg/m3-same thing- APHA),Pheopigment Conc of original water sample in ug/L (or mg/m3-same thing- APHA),Flag Chl-a,Flag Pheo
B4May18C0.1r1,BVR,2018-05-04 12:00:00,0.1,3,0.4,0,0
B4MayC0.1r2,BVR,2018-05-04 12:00:00,0.1,2.6,0.7,0,0
B4MayC3,BVR,2018-05-04 12:00:00,3,4.5,1.7,0,0
B4May18C6,BVR,2018-05-04 12:00:00,6,16.2,-17.9,0,2
B11MayC0.1r1,BVR,2018-05-11 12:00:00,0.1,3.2,0.6,0,0
B11MayC0.1r2,BVR,2018-05-11 12:00:00,0.1,3.2,0.6,0,0
B11May18C3,BVR,2018-05-11 12:00:00,3,3.5,1.1,0,0
B11May18C6,BVR,2018-05-11 12:00:00,6,2.9,2.3,0,0
F23Apr18C0.1,FCR,2018-04-23 12:00:00,0.1,1.9,1,0,0
F23Apr18C1.6,FCR,2018-04-23 12:00:00,1.6,1.9,0.7,0,0
F23Apr18C3.8r1,FCR,2018-04-23 12:00:00,3.8,3.7,2.6,0,0
F23AprC3.8r2,FCR,2018-04-23 12:00:00,3.8,3.7,1.6,0,0
F23Apr18C5,FCR,2018-04-23 12:00:00,5,8.4,3.6,0,0
F7MayC0.1r1,FCR,2018-05-07 12:00:00,0.1,1.9,0.4,0,0
F7MayC0.1r2,FCR,2018-05-07 12:00:00,0.1,1.9,0.3,0,0
F7May18C1.6,FCR,2018-05-07 12:00:00,1.6,1.9,0.6,0,0
F7MayC3.8,FCR,2018-05-07 12:00:00,3.8,2.3,0.5,0,0
F7MayC5,FCR,2018-05-07 12:00:00,5,1.9,0.8,0,0
F14May18C0.1r1,FCR,2018-05-14 12:00:00,0.1,1.2,0.4,0,0
F14MayC0.1r2,FCR,2018-05-14 12:00:00,0.1,1.2,0.4,0,0
F14May18C3.8,FCR,2018-05-14 12:00:00,3.8,3.1,0.9,0,0
F21MayC1.6r2,FCR,2018-05-21 12:00:00,1.6,,,2,2
C16MayC0.1,CCR,2018-05-16 12:00:00,0.1,,,2,2
B17MayC0.1,BVR,2018-05-17 12:00:00,0.1,4.7553,1.002936,0,0
F21MayC0.1,FCR,2018-05-21 12:00:00,0.1,3.266266667,0.883813333,0,0
F28MayC0.1,FCR,2018-05-28 12:00:00,0.1,6.68624,2.6099392,0,0
F25JunC3.8,FCR,2018-06-25 12:00:00,3.8,9.030266667,2.451621333,0,0
B14JunC0.1,BVR,2018-06-14 12:00:00,0.1,8.99184,1.7153664,0,0
C27JunC6r1,CCR,2018-06-27 12:00:00,6,3.97716,2.3724624,0,0
B14JunC3r2,BVR,2018-06-14 12:00:00,3,13.48776,7.1796384,0,0
F28MayC5,FCR,2018-05-28 12:00:00,5,3.051529412,2.807407059,0,0
F25JunC0.1r1,FCR,2018-06-25 12:00:00,0.1,10.59135,2.170146,0,0
C16MayC12,CCR,2018-05-16 12:00:00,12,3.4584,1.6046976,0,0
B21JunC3,BVR,2018-06-21 12:00:00,3,12.1044,3.0848928,0,0
B21JunC6r1,BVR,2018-06-21 12:00:00,6,8.9342,2.47852,0,0
F21MayC1.6r1,FCR,2018-05-21 12:00:00,1.6,4.419066667,1.667717333,0,0
B28JunC6r1,BVR,2018-06-28 12:00:00,6,24.2088,4.248891429,0,0
C16MayC6r2,CCR,2018-05-16 12:00:00,6,3.97716,1.3764432,0,0
F4JunC5,FCR,2018-06-04 12:00:00,5,3.0261,2.887764,0,0
C27JunC12,CCR,2018-06-27 12:00:00,12,1.03752,1.452528,0,0
F28MayC3.8,FCR,2018-05-28 12:00:00,3.8,5.30288,3.4952896,0,0
F25JunC0.1r2,FCR,2018-06-25 12:00:00,0.1,10.3752,2.07504,0,0
B31MayC6r2,BVR,2018-05-31 12:00:00,6,2.37765,0.890538,0,0
F18JunC0.1,FCR,2018-06-18 12:00:00,0.1,3.67455,0.838662,0,0
F21MayC3.8,FCR,2018-05-21 12:00:00,3.8,3.650533333,2.712922667,0,0
B24MayC3r2,BVR,2018-05-24 12:00:00,3,4.199485714,1.847773714,0,0
F18JunC3.8,FCR,2018-06-18 12:00:00,3.8,5.1876,2.638265143,0,0
B31MayC3,BVR,2018-05-31 12:00:00,3,10.12817143,3.389232,0,0
F28MayC1.6r2,FCR,2018-05-28 12:00:00,1.6,8.53072,3.2555072,0,0
F4JunC1.6,FCR,2018-06-04 12:00:00,1.6,3.0261,2.576508,0,0
B24MayC6,BVR,2018-05-24 12:00:00,6,2.223257143,1.511814857,0,0
F25JunC5,FCR,2018-06-25 12:00:00,5,5.571866667,2.866629333,0,0
B28JunC3,BVR,2018-06-28 12:00:00,3,23.86296,4.2745824,0,0
C16MayC6r1,CCR,2018-05-16 12:00:00,6,3.63132,1.2242736,0,0
B28JunC0.1,BVR,2018-06-28 12:00:00,0.1,23.86296,2.282544,0,0
B24MayC0.1,BVR,2018-05-24 12:00:00,0.1,3.211371429,1.413003429,0,0
F11JunC0.1,FCR,2018-06-11 12:00:00,0.1,3.211371429,1.057282286,0,0
F28MayC1.6r1,FCR,2018-05-28 12:00:00,1.6,8.30016,2.6560512,0,0
B14JunC3r1,BVR,2018-06-14 12:00:00,3,13.48776,6.1836192,0,0
B21JunC3r1,BVR,2018-06-21 12:00:00,3,9.33768,1.1205216,0,0
F25JunC1.6,FCR,2018-06-25 12:00:00,1.6,9.9429,2.50734,0,0
B17MayC6,BVR,2018-05-17 12:00:00,6,2.80995,1.236378,0,0
F11JunC1.6,FCR,2018-06-11 12:00:00,1.6,3.4584,0.4323,0,0
C27JunC0.1,CCR,2018-06-27 12:00:00,0.1,3.913452632,1.459808842,0,0
F21MayC5,FCR,2018-05-21 12:00:00,5,3.266266667,2.128837333,0,0
F18JunC1.6r1,FCR,2018-06-18 12:00:00,1.6,3.705428571,0.741085714,0,0
B31MayC0.1,BVR,2018-05-31 12:00:00,0.1,8.646,2.351712,0,0
B17MayC3r1,BVR,2018-05-17 12:00:00,3,3.8907,0.933768,0,0
B28JunC6r2,BVR,2018-06-28 12:00:00,6,24.94988571,4.752829714,0,0
B24MayC3r1,BVR,2018-05-24 12:00:00,3,3.952457143,1.739081143,0,0
C13JunC6r1,CCR,2018-06-13 12:00:00,6,5.1876,2.4070464,0,0
F11JunC3.8,FCR,2018-06-11 12:00:00,3.8,3.705428571,1.808249143,0,0
C30MayC0.1,CCR,2018-05-30 12:00:00,0.1,2.785933333,1.087474667,0,0
B7JunC0.1,BVR,2018-06-07 12:00:00,0.1,5.87928,1.0928544,0,0
B7JunC6r2,BVR,2018-06-07 12:00:00,6,8.42985,2.46411,0,0
B14JunC6,BVR,2018-06-14 12:00:00,6,4.8994,2.778248,0,0
C27JunC6r2,CCR,2018-06-27 12:00:00,6,4.0348,2.19032,0,0
B7JunC3,BVR,2018-06-07 12:00:00,3,5.99456,1.9735936,0,0
B17MayC3r2,BVR,2018-05-17 12:00:00,3,3.8907,1.55628,0,0
C13JunC6r2,CCR,2018-06-13 12:00:00,6,5.70636,1.763784,0,0
B21JunC6r2,BVR,2018-06-21 12:00:00,6,8.3578,2.639912,0,0
F4JunC0.1,FCR,2018-06-04 12:00:00,0.1,2.1615,1.573572,0,0
C13JunC12,CCR,2018-06-13 12:00:00,12,2.5938,1.141272,0,0
F4JunC3.8,FCR,2018-06-04 12:00:00,3.8,3.4584,2.922348,0,0
C30MayC12,CCR,2018-05-30 12:00:00,12,3.22784,1.4202496,0,0
F18JunC5,FCR,2018-06-18 12:00:00,5,5.1876,2.460404571,0,0
F11JunC5,FCR,2018-06-11 12:00:00,5,5.681657143,2.677789714,0,0
B7JunC6r1,BVR,2018-06-07 12:00:00,6,8.86215,2.343066,0,0
C30MayC6r2,CCR,2018-05-30 12:00:00,6,5.1876,1.1620224,0,0
C13JunC0.1,CCR,2018-06-13 12:00:00,0.1,1.2969,0.570636,0,0
C30MayC6r1,CCR,2018-05-30 12:00:00,6,4.66884,1.55628,0,0
B31MayC6r1,BVR,2018-05-31 12:00:00,6,2.1615,1.884828,0,0
F18JunC1.6r2,FCR,2018-06-18 12:00:00,1.6,3.705428571,0.741085714,0,0
F2JulC1.6r1,FCR,2018-07-02 12:00:00,1.6,5.9,3.3,0,0
F2JulC3.8,FCR,2018-07-02 12:00:00,3.8,5.0,3.9,0,0
B5JulS0.1r1,BVR,2018-07-05 12:00:00,0.1,23.2,3.2,0,0
