"Sample ID","Type","WL750.0","WL665.0","WL664.0","WL663.0","WL647.0","WL630.0","WL490.0","WL384.0","Comments"
"6_pre","Unknown",0.003,0.390,0.388,0.382,0.112,0.080,0.214,0.399,""
"6_post","Unknown",0.003,0.252,0.249,0.242,0.064,0.034,0.218,0.480,""
"5_pre","Unknown",0.002,0.034,0.034,0.033,0.011,0.009,0.032,0.045,""
"5_post","Unknown",0.002,0.022,0.022,0.021,0.007,0.004,0.029,0.052,""
"3_pre","Unknown",0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,""
"2_pre","Unknown",0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,""
"2_post","Unknown",0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.001,""
"35_pre","Unknown",0.003,0.011,0.011,0.011,0.006,0.005,0.008,0.019,""
"35_post","Unknown",0.003,0.008,0.008,0.008,0.005,0.004,0.008,0.020,""
"32_pre","Unknown",0.002,0.033,0.033,0.032,0.012,0.009,0.027,0.052,""
"32_post","Unknown",0.002,0.023,0.023,0.022,0.009,0.006,0.027,0.057,""
"29_pre","Unknown",0.003,0.085,0.084,0.082,0.026,0.020,0.085,0.110,""
"29_post","Unknown",0.003,0.056,0.055,0.053,0.017,0.011,0.084,0.125,""
"34_pre","Unknown",0.003,0.044,0.044,0.044,0.016,0.013,0.033,0.067,""
"34_post","Unknown",0.003,0.032,0.031,0.030,0.012,0.008,0.032,0.074,""
"17_pre","Unknown",0.002,0.175,0.174,0.170,0.052,0.039,0.234,0.212,""
"17_post","Unknown",0.002,0.110,0.108,0.105,0.032,0.017,0.227,0.250,""
"18_pre","Unknown",0.002,0.113,0.112,0.110,0.034,0.026,0.125,0.146,""
"18_post","Unknown",0.002,0.072,0.071,0.069,0.022,0.012,0.124,0.168,""
"23_pre","Unknown",0.003,0.044,0.044,0.043,0.016,0.013,0.033,0.067,""
"23_post","Unknown",0.003,0.031,0.031,0.030,0.012,0.008,0.033,0.074,""
"27_pre","Unknown",0.002,0.045,0.045,0.044,0.015,0.012,0.037,0.067,""
"27_post","Unknown",0.002,0.033,0.032,0.031,0.011,0.007,0.035,0.074,""
"13_pre","Unknown",0.002,0.437,0.435,0.429,0.124,0.088,0.191,0.383,""
"13_post","Unknown",0.003,0.268,0.264,0.257,0.067,0.034,0.201,0.484,""
"19_pre","Unknown",0.001,0.017,0.017,0.016,0.006,0.005,0.012,0.027,""
"19_post","Unknown",0.002,0.012,0.012,0.012,0.005,0.003,0.012,0.031,""
"10_pre","Unknown",0.002,0.041,0.041,0.041,0.016,0.011,0.019,0.054,""
"10_post","Unknown",0.002,0.028,0.028,0.028,0.012,0.007,0.019,0.061,""
"8_pre","Unknown",0.003,0.042,0.042,0.041,0.015,0.012,0.028,0.055,""
"8_post","Unknown",0.003,0.029,0.028,0.028,0.011,0.008,0.027,0.063,""
"7_pre","Unknown",0.002,0.372,0.371,0.365,0.106,0.076,0.202,0.375,""
"7_post","Unknown",0.002,0.238,0.235,0.229,0.060,0.032,0.206,0.452,""
"11_pre","Unknown",0.002,0.041,0.041,0.040,0.014,0.011,0.031,0.055,""
"11_post","Unknown",0.003,0.028,0.028,0.027,0.010,0.006,0.031,0.064,""
"22_pre","Unknown",0.002,0.135,0.134,0.131,0.039,0.030,0.157,0.169,""
"22_post","Unknown",0.003,0.087,0.085,0.083,0.024,0.014,0.154,0.197,""
"28_pre","Unknown",0.001,0.030,0.030,0.029,0.011,0.008,0.023,0.045,""
"28_post","Unknown",0.001,0.021,0.020,0.020,0.007,0.004,0.022,0.050,""
"25_pre","Unknown",0.002,0.130,0.129,0.126,0.039,0.030,0.120,0.158,""
"25_post","Unknown",0.002,0.083,0.081,0.079,0.024,0.013,0.117,0.182,""
"15_pre","Unknown",0.002,0.332,0.331,0.325,0.094,0.066,0.160,0.315,""
"15_post","Unknown",0.002,0.210,0.207,0.201,0.052,0.027,0.166,0.387,""
"14_pre","Unknown",0.003,0.449,0.449,0.443,0.132,0.094,0.149,0.395,""
"14_post","Unknown",0.003,0.276,0.272,0.265,0.072,0.037,0.159,0.503,""
"20_pre","Unknown",0.002,0.058,0.058,0.057,0.020,0.015,0.044,0.088,""
"20_post","Unknown",0.003,0.043,0.042,0.041,0.015,0.009,0.044,0.098,""
