Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
9/15/2020 7:59:30 AM	17.72	56.24	0.00	0.00	0.00	0.00	0.00	0.57	73.96	89.83	0.25	22.40	9391	56242	0	0	0	0	0	0	65633	136.33	59.82	44.76	284.18	73.81	240.80	79.74	1.02	17.23	16.44
9/15/2020 7:59:32 AM	17.63	56.84	0.00	0.00	0.00	0.00	0.00	0.61	74.47	90.10	0.37	22.47	9344	56838	0	0	0	0	0	0	66182	136.74	60.44	45.09	287.29	74.56	242.78	79.97	1.04	17.30	16.47
9/15/2020 7:59:35 AM	17.87	56.18	0.00	0.00	0.00	0.00	0.00	0.59	74.05	90.90	0.49	22.88	9472	56178	0	0	0	0	0	0	65649	137.96	59.96	44.82	284.14	74.12	240.52	80.32	1.05	17.37	16.50
9/15/2020 7:59:37 AM	17.72	55.81	0.00	0.00	0.00	0.00	0.00	0.55	73.53	90.37	0.59	22.89	9393	55812	0	0	0	0	0	0	65204	137.14	58.96	43.87	282.06	73.42	239.33	79.50	1.06	17.36	16.60
9/15/2020 7:59:39 AM	17.14	55.97	0.00	0.00	0.00	0.00	0.00	0.67	73.11	90.40	0.70	22.91	9083	55972	0	0	0	0	0	0	65056	137.19	59.20	43.90	282.63	73.86	239.27	78.59	1.07	17.42	16.58
9/15/2020 7:59:42 AM	17.32	55.94	0.00	0.00	0.00	0.00	0.00	0.62	73.26	90.21	0.76	23.08	9180	55936	0	0	0	0	0	0	65116	136.90	59.68	44.44	282.33	73.48	239.34	78.75	1.07	17.49	16.59
9/15/2020 7:59:44 AM	17.80	56.22	0.00	0.00	0.00	0.00	0.00	0.57	74.02	90.58	0.84	22.97	9432	56223	0	0	0	0	0	0	65655	137.47	59.82	44.60	284.00	73.88	240.98	79.96	1.08	17.52	16.62
9/15/2020 7:59:46 AM	17.69	56.97	0.00	0.00	0.00	0.00	0.00	0.57	74.67	90.13	0.91	22.86	9378	56973	0	0	0	0	0	0	66350	136.78	60.03	45.08	288.19	74.46	243.20	79.94	1.09	17.55	16.53
9/15/2020 7:59:49 AM	17.79	57.22	0.00	0.00	0.00	0.00	0.00	0.56	75.01	90.38	0.97	22.79	9427	57222	0	0	0	0	0	0	66650	137.15	60.28	45.20	289.24	74.60	244.49	80.19	1.10	17.62	16.60
9/15/2020 7:59:51 AM	17.51	57.37	0.00	0.00	0.00	0.00	0.00	0.62	74.88	90.54	1.07	22.76	9279	57368	0	0	0	0	0	0	66647	137.40	60.12	45.16	289.84	74.99	244.81	79.84	1.10	17.67	16.58
9/15/2020 7:59:54 AM	17.50	57.57	0.00	0.00	0.00	0.00	0.00	0.60	75.07	90.56	1.23	23.03	9275	57568	0	0	0	0	0	0	66842	137.43	60.42	45.47	291.62	74.96	244.65	79.74	1.12	17.71	16.62
9/15/2020 7:59:56 AM	17.68	57.19	0.00	0.00	0.00	0.00	0.00	0.58	74.86	90.90	1.33	23.29	9369	57185	0	0	0	0	0	0	66554	137.96	60.41	44.98	289.22	74.66	244.03	80.02	1.13	17.75	16.60
9/15/2020 7:59:58 AM	18.46	56.32	0.00	0.00	0.00	0.00	0.00	0.56	74.79	90.78	1.35	23.21	9786	56323	0	0	0	0	0	0	66109	137.77	60.41	45.00	285.82	74.84	241.05	82.07	1.13	17.81	16.64
9/15/2020 8:00:01 AM	17.90	56.15	0.00	0.00	0.00	0.00	0.00	0.59	74.05	90.83	1.40	23.02	9485	56152	0	0	0	0	0	0	65637	137.84	59.81	44.53	283.87	74.26	240.70	80.47	1.14	17.86	16.68
9/15/2020 8:00:03 AM	18.14	56.46	0.00	0.00	0.00	0.00	0.00	0.62	74.60	90.59	1.48	22.91	9613	56462	0	0	0	0	0	0	66075	137.48	60.35	44.60	285.31	75.06	242.44	81.54	1.15	17.90	16.68
9/15/2020 8:00:06 AM	18.82	55.92	0.00	0.00	0.00	0.00	0.00	0.56	74.74	90.36	1.54	22.87	9977	55918	0	0	0	0	0	0	65895	137.14	60.75	44.55	283.67	74.96	240.28	83.09	1.15	17.94	16.73
9/15/2020 8:00:08 AM	19.30	56.02	0.00	0.00	0.00	0.00	0.00	0.53	75.31	90.34	1.58	22.83	10228	56016	0	0	0	0	0	0	66245	137.09	60.82	44.91	285.76	75.43	239.73	84.37	1.15	18.00	16.72
9/15/2020 8:00:10 AM	19.29	55.25	0.10	0.00	0.00	0.00	0.00	0.54	74.63	90.37	1.60	22.73	10222	55246	45	0	0	0	0	0	65513	137.14	60.97	44.39	281.09	74.95	237.86	84.58	1.16	18.06	16.75
9/15/2020 8:00:13 AM	18.18	52.99	0.51	0.00	0.00	0.00	0.00	0.54	71.67	90.22	1.63	22.52	9635	52989	227	0	0	0	0	0	62851	136.91	59.15	42.91	267.73	72.38	230.61	82.13	1.16	18.10	16.75
9/15/2020 8:00:15 AM	18.64	54.61	0.26	0.00	0.00	0.00	0.00	0.54	73.52	90.28	1.67	22.44	9881	54613	118	0	0	0	0	0	64612	137.01	60.30	43.92	276.13	73.87	236.64	83.08	1.16	18.16	16.82
9/15/2020 8:00:17 AM	19.21	55.84	0.00	0.00	0.00	0.00	0.00	0.58	75.05	90.35	1.72	22.55	10183	55842	0	0	0	0	0	0	66025	137.11	61.09	44.96	283.65	75.63	240.21	84.47	1.17	18.21	16.83
9/15/2020 8:00:20 AM	19.67	55.60	0.00	0.00	0.00	0.00	0.00	0.51	75.28	90.90	1.78	22.51	10426	55603	0	0	0	0	0	0	66030	137.95	61.04	44.83	283.61	75.37	238.83	85.28	1.17	18.26	16.84
