Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
6/13/2019 10:40:59 AM	0.38	0.00	0.32	0.40	0.00	0.00	0.00	0.35	1.10	98.31	0.23	21.88	200	0	143	12	0	0	0	0	355	171.34	3.45	2.12	3.01	5.30	4.79	6.87	1.02	37.54	12.13
6/13/2019 10:41:01 AM	0.36	0.27	0.95	0.00	0.00	0.00	0.00	0.25	1.59	99.65	0.36	21.83	193	273	427	0	0	0	0	0	893	173.68	3.86	0.03	3.90	4.85	5.42	7.06	1.04	37.59	12.12
6/13/2019 10:41:03 AM	1.13	0.28	0.51	0.15	0.00	0.00	0.00	0.18	2.07	99.98	0.45	21.82	597	279	231	5	0	0	0	0	1112	174.26	3.41	1.81	4.58	4.74	5.75	7.68	1.04	37.63	12.18
6/13/2019 10:41:06 AM	1.69	0.00	0.10	0.23	0.00	0.00	0.00	0.19	2.03	99.57	0.55	21.82	897	0	46	7	0	0	0	0	950	173.55	2.87	0.60	3.19	4.84	5.52	8.02	1.05	37.75	12.13
6/13/2019 10:41:08 AM	0.60	0.10	0.73	0.19	0.00	0.00	0.00	0.29	1.61	99.55	0.62	21.82	318	97	327	6	0	0	0	0	747	173.51	3.86	1.52	3.58	5.40	5.11	7.90	1.06	37.79	12.13
6/13/2019 10:41:11 AM	1.19	0.05	0.00	0.51	0.00	0.00	0.00	0.29	1.75	100.00	0.71	21.84	632	52	0	15	0	0	0	0	700	174.34	3.31	1.40	3.59	5.53	6.28	7.99	1.07	37.78	12.15
6/13/2019 10:41:13 AM	0.54	0.12	0.62	0.41	0.00	0.00	0.00	0.26	1.68	100.00	0.76	21.81	288	121	277	12	0	0	0	0	697	174.90	4.22	1.20	3.79	5.16	6.23	7.92	1.07	37.88	12.14
6/13/2019 10:41:15 AM	0.73	0.09	0.18	0.39	0.00	0.00	0.00	0.40	1.38	100.00	0.81	21.82	385	90	81	12	0	0	0	0	568	175.22	3.56	1.25	3.47	6.09	5.67	7.64	1.08	37.95	12.14
6/13/2019 10:41:18 AM	1.40	0.25	0.58	0.00	0.00	0.00	0.00	0.19	2.22	99.89	0.86	21.83	743	245	259	0	0	0	0	0	1247	174.11	3.27	1.17	4.31	4.99	5.46	8.20	1.08	37.96	12.20
