Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
8/14/2019 5:10:37 PM	11.35	9.20	2.35	0.00	0.00	0.00	0.00	0.13	22.90	62.74	0.20	27.93	6017	9198	1058	0	0	0	0	0	16273	109.39	20.65	10.82	54.23	28.38	54.08	50.54	1.02	43.73	13.81
8/14/2019 5:10:40 PM	12.92	9.81	2.15	0.00	0.00	0.00	0.00	0.00	24.88	68.74	0.34	27.88	6847	9815	967	0	0	0	0	0	17629	119.85	21.28	10.78	58.77	28.61	57.19	54.16	1.03	43.82	13.80
8/14/2019 5:10:42 PM	11.89	10.00	2.72	0.00	0.00	0.00	0.00	0.00	24.61	72.05	0.44	27.77	6303	9998	1226	0	0	0	0	0	17527	125.61	22.22	10.57	59.08	28.26	58.04	53.46	1.04	43.88	13.83
8/14/2019 5:10:44 PM	12.89	10.32	1.95	0.00	0.00	0.00	0.00	0.05	25.15	71.50	0.53	27.67	6829	10322	876	0	0	0	0	0	18027	124.65	21.45	10.59	60.37	29.91	59.58	53.42	1.05	43.95	13.82
8/14/2019 5:10:47 PM	12.81	10.32	1.96	0.29	0.00	0.00	0.00	0.05	25.37	73.29	0.61	27.58	6789	10316	880	9	0	0	0	0	17993	127.76	22.18	11.98	60.57	30.24	60.86	54.43	1.06	44.02	13.84
8/14/2019 5:10:49 PM	13.39	11.01	2.21	0.00	0.00	0.00	0.00	0.04	26.62	76.74	0.69	27.46	7099	11011	996	0	0	0	0	0	19105	133.77	22.86	12.09	64.20	31.49	63.02	56.36	1.07	44.10	13.85
8/14/2019 5:10:52 PM	13.71	10.74	2.59	0.00	0.00	0.00	0.00	0.01	27.03	77.52	0.79	27.30	7265	10740	1163	0	0	0	0	0	19168	135.14	23.65	11.68	63.49	32.02	62.71	58.65	1.08	44.16	13.85
8/14/2019 5:10:54 PM	13.45	10.98	2.70	0.19	0.00	0.00	0.00	0.00	27.32	78.96	0.88	27.01	7127	10979	1216	6	0	0	0	0	19329	137.65	24.49	12.02	64.32	32.03	65.09	59.33	1.09	44.25	13.85
8/14/2019 5:10:56 PM	13.77	11.48	2.64	0.00	0.00	0.00	0.00	0.00	27.89	79.00	0.94	26.77	7298	11477	1187	0	0	0	0	0	19962	137.70	24.35	12.41	67.21	32.17	65.70	59.50	1.09	44.30	13.87
