Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
8/3/2020 9:53:19 AM	6.88	47.06	6.14	0.00	0.00	0.00	0.00	0.50	60.09	98.90	0.33	25.58	3649	47063	2765	0	0	0	0	0	53477	150.09	59.79	43.52	229.75	61.03	209.25	68.53	1.03	22.72	21.43
8/3/2020 9:53:21 AM	6.36	46.90	6.04	0.00	0.00	0.00	0.00	0.52	59.30	98.52	0.38	25.89	3373	46897	2716	0	0	0	0	0	52987	149.52	59.22	43.25	229.54	60.12	206.87	66.41	1.04	22.77	21.50
8/3/2020 9:53:24 AM	6.75	47.33	5.78	0.00	0.00	0.00	0.00	0.56	59.86	98.92	0.44	25.82	3578	47330	2602	0	0	0	0	0	53510	150.13	59.40	43.04	231.97	61.01	208.45	67.02	1.04	22.80	21.47
8/3/2020 9:53:26 AM	7.25	47.35	5.62	0.00	0.00	0.00	0.00	0.53	60.22	98.11	0.49	25.70	3843	47349	2528	0	0	0	0	0	53720	148.89	59.08	43.97	231.53	61.16	209.40	67.69	1.05	22.85	21.52
8/3/2020 9:53:29 AM	6.43	47.47	6.32	0.00	0.00	0.00	0.00	0.62	60.22	98.24	0.55	25.66	3409	47469	2842	0	0	0	0	0	53720	149.09	60.67	43.99	232.32	62.25	209.88	68.93	1.05	22.89	21.53
8/3/2020 9:53:31 AM	6.08	47.20	6.90	0.00	0.00	0.00	0.00	0.53	60.19	98.94	0.60	25.73	3225	47205	3104	0	0	0	0	0	53534	150.15	61.31	44.56	231.30	61.56	209.03	69.51	1.06	22.94	21.54
8/3/2020 9:53:33 AM	6.42	47.40	6.29	0.00	0.00	0.00	0.00	0.59	60.12	98.62	0.64	25.85	3402	47403	2832	0	0	0	0	0	53637	149.66	60.46	44.07	232.09	61.84	209.40	68.53	1.06	22.99	21.55
8/3/2020 9:53:36 AM	6.52	47.09	5.66	0.00	0.00	0.00	0.00	0.67	59.27	99.44	0.67	25.81	3455	47087	2547	0	0	0	0	0	53089	150.92	58.99	44.18	231.45	61.41	206.03	66.51	1.07	23.03	21.58
8/3/2020 9:53:38 AM	5.86	44.49	5.77	0.00	0.00	0.00	0.00	0.57	56.12	99.94	0.71	25.82	3106	44487	2597	0	0	0	0	0	50189	151.67	56.38	41.53	217.75	57.74	196.23	63.29	1.07	23.07	21.59
8/3/2020 9:53:40 AM	6.10	44.44	5.24	0.00	0.00	0.00	0.00	0.72	55.78	100.00	0.74	25.82	3234	44437	2356	0	0	0	0	0	50028	151.83	55.75	40.70	218.31	58.67	194.75	62.88	1.07	23.12	21.63
8/3/2020 9:53:43 AM	5.19	44.35	5.50	0.00	0.00	0.00	0.00	0.76	55.04	99.58	0.78	25.73	2750	44349	2477	0	0	0	0	0	49575	151.12	55.73	41.05	216.40	58.11	194.93	61.40	1.08	23.16	21.68
8/3/2020 9:53:45 AM	6.48	43.71	4.51	0.00	0.00	0.00	0.00	0.80	54.70	100.00	0.83	25.66	3432	43714	2030	0	0	0	0	0	49177	152.56	53.91	40.37	216.00	58.21	189.79	61.24	1.08	23.20	21.69
8/3/2020 9:53:48 AM	6.08	43.09	4.60	0.00	0.00	0.00	0.00	0.79	53.77	100.00	0.85	25.69	3222	43093	2068	0	0	0	0	0	48384	155.35	53.39	39.68	213.25	57.29	186.64	60.10	1.08	23.24	21.68
