Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
9/23/2020 12:35:29 PM	0.30	2.36	1.35	0.00	0.00	0.00	0.00	0.46	4.01	100.00	0.12	21.57	161	2358	606	0	0	0	0	0	3124	180.19	6.92	3.50	13.92	9.21	14.28	11.01	1.01	21.86	20.67
9/23/2020 12:35:32 PM	1.43	2.20	0.99	0.00	0.00	0.00	0.00	0.37	4.63	100.00	0.19	21.47	760	2201	446	0	0	0	0	0	3407	175.70	6.75	-0.29	13.90	9.14	14.60	12.29	1.02	21.88	20.72
9/23/2020 12:35:34 PM	3.36	1.93	0.00	0.62	0.00	0.00	0.00	0.23	5.92	100.00	0.19	21.47	1782	1932	0	19	0	0	0	0	3733	180.44	6.21	2.41	13.38	9.68	17.45	15.66	1.02	21.88	20.75
9/23/2020 12:35:36 PM	4.56	2.07	0.49	0.05	0.00	0.00	0.00	0.00	7.17	100.00	0.19	21.52	2418	2071	218	1	0	0	0	0	4709	178.69	6.01	4.59	15.49	8.95	15.18	17.32	1.02	21.90	20.75
9/23/2020 12:35:39 PM	2.37	1.52	0.00	0.59	0.00	0.00	0.00	0.55	4.47	100.00	0.20	21.52	1256	1515	0	18	0	0	0	0	2789	177.68	6.05	5.15	12.30	11.17	12.70	14.72	1.02	21.93	20.72
9/23/2020 12:35:41 PM	2.95	2.28	0.61	0.00	0.00	0.00	0.00	0.28	5.84	100.00	0.25	21.40	1563	2278	276	0	0	0	0	0	4117	179.86	6.53	0.24	15.19	9.77	15.57	14.78	1.02	21.95	20.73
9/23/2020 12:35:43 PM	1.43	2.16	1.23	0.34	0.00	0.00	0.00	0.44	5.16	100.00	0.26	21.33	757	2160	554	10	0	0	0	0	3482	179.47	8.27	2.00	13.69	10.79	16.96	15.38	1.03	21.96	20.73
9/23/2020 12:35:46 PM	3.98	2.11	0.00	0.00	0.00	0.00	0.00	0.40	6.09	100.00	0.30	21.42	2109	2113	0	0	0	0	0	0	4222	180.22	5.55	0.34	13.46	11.32	16.50	16.34	1.03	21.99	20.74
9/23/2020 12:35:48 PM	2.82	1.66	1.22	0.37	0.00	0.00	0.00	0.12	6.07	100.00	0.44	21.46	1493	1661	551	11	0	0	0	0	3716	178.19	7.86	2.09	12.67	9.08	15.67	17.13	1.04	22.02	20.73
9/23/2020 12:35:51 PM	2.22	1.83	2.46	0.00	0.00	0.00	0.00	0.04	6.51	100.00	0.60	21.36	1177	1832	1106	0	0	0	0	0	4114	177.99	9.07	5.14	14.51	9.10	13.92	18.47	1.06	22.04	20.78
9/23/2020 12:35:53 PM	2.73	2.26	0.67	0.11	0.00	0.00	0.00	0.38	5.77	100.00	0.63	21.35	1446	2258	302	3	0	0	0	0	4009	177.17	6.69	4.97	15.38	10.80	14.98	15.62	1.06	22.06	20.84
9/23/2020 12:35:55 PM	4.11	1.97	0.00	0.53	0.00	0.00	0.00	0.13	6.60	100.00	0.65	21.42	2179	1967	0	16	0	0	0	0	4161	176.66	6.16	4.05	14.74	9.49	16.59	16.78	1.06	22.07	20.84
9/23/2020 12:35:58 PM	1.20	1.91	1.88	0.22	0.00	0.00	0.00	0.38	5.22	100.00	0.66	21.48	638	1911	845	7	0	0	0	0	3401	179.40	8.78	4.58	13.81	10.62	14.30	16.42	1.06	22.09	20.82
9/23/2020 12:36:00 PM	3.57	2.36	0.78	0.00	0.00	0.00	0.00	0.08	6.71	100.00	0.70	21.53	1891	2359	351	0	0	0	0	0	4601	179.70	6.88	-0.34	15.81	8.94	16.97	15.93	1.07	22.11	20.83
9/23/2020 12:36:03 PM	1.05	2.38	1.74	0.01	0.00	0.00	0.00	0.35	5.18	100.00	0.71	21.54	556	2382	784	0	0	0	0	0	3723	177.49	7.96	5.42	15.47	9.89	14.68	14.34	1.07	22.14	20.84
9/23/2020 12:36:05 PM	3.45	1.86	0.00	0.86	0.00	0.00	0.00	0.16	6.17	100.00	0.72	21.53	1830	1857	0	26	0	0	0	0	3713	179.91	6.65	4.43	14.33	9.46	17.11	16.41	1.07	22.15	20.85
