Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
8/17/2020 9:08:16 AM	6.12	20.84	2.03	0.00	0.00	0.00	0.00	0.44	28.99	91.68	0.01	23.17	3244	20842	914	0	0	0	0	0	24999	139.14	27.48	19.46	104.70	32.43	95.88	38.71	1.00	23.87	22.85
8/17/2020 9:08:18 AM	5.98	20.44	2.51	0.00	0.00	0.00	0.00	0.30	28.93	91.20	0.04	23.19	3169	20441	1130	0	0	0	0	0	24740	138.40	27.72	19.76	102.52	31.23	95.13	39.06	1.00	23.90	22.85
8/17/2020 9:08:21 AM	4.93	20.06	2.55	0.00	0.00	0.00	0.00	0.42	27.55	91.64	0.07	23.20	2615	20061	1149	0	0	0	0	0	23825	139.07	27.35	17.86	99.88	30.81	93.17	36.78	1.01	23.93	22.89
8/17/2020 9:08:23 AM	5.88	20.16	1.94	0.00	0.00	0.00	0.00	0.34	27.98	90.69	0.08	23.19	3118	20159	872	0	0	0	0	0	24149	137.62	26.13	19.28	100.12	30.38	93.78	36.52	1.01	23.97	22.85
8/17/2020 9:08:26 AM	6.97	20.50	1.55	0.00	0.00	0.00	0.00	0.36	29.02	90.34	0.10	23.19	3694	20501	696	0	0	0	0	0	24891	137.10	26.32	18.49	102.61	31.71	95.46	38.55	1.01	24.00	22.91
8/17/2020 9:08:28 AM	5.37	20.51	2.12	0.00	0.00	0.00	0.00	0.56	28.00	90.93	0.13	23.19	2847	20508	954	0	0	0	0	0	24308	138.00	27.10	19.94	101.66	32.42	94.98	37.51	1.01	24.02	22.94
8/17/2020 9:08:30 AM	4.78	20.83	2.92	0.00	0.00	0.00	0.00	0.45	28.53	90.04	0.16	23.18	2534	20829	1315	0	0	0	0	0	24679	136.65	28.75	19.77	103.60	32.14	96.51	38.42	1.02	24.05	22.94
8/17/2020 9:08:33 AM	6.16	20.50	2.44	0.00	0.00	0.00	0.00	0.25	29.10	89.55	0.18	23.15	3263	20501	1099	0	0	0	0	0	24862	135.91	27.59	20.03	103.12	30.96	95.09	38.98	1.02	24.10	22.94
8/17/2020 9:08:35 AM	6.40	20.44	1.95	0.00	0.00	0.00	0.00	0.33	28.78	89.51	0.20	23.14	3392	20435	877	0	0	0	0	0	24704	135.84	26.73	19.40	102.26	31.26	94.93	38.24	1.02	24.13	22.97
8/17/2020 9:08:37 AM	6.22	20.17	2.17	0.00	0.00	0.00	0.00	0.32	28.57	89.62	0.22	23.15	3298	20172	977	0	0	0	0	0	24448	136.00	27.19	16.93	101.64	31.05	93.78	38.45	1.02	24.16	22.99
8/17/2020 9:08:40 AM	5.37	19.82	2.46	0.00	0.00	0.00	0.00	0.38	27.65	89.63	0.24	23.15	2846	19815	1107	0	0	0	0	0	23768	136.01	27.07	17.63	98.95	30.65	92.46	37.34	1.02	24.19	23.00
8/17/2020 9:08:42 AM	4.70	20.51	2.37	0.00	0.00	0.00	0.00	0.52	27.58	88.80	0.26	23.15	2489	20515	1067	0	0	0	0	0	24071	134.75	27.44	18.17	102.00	31.51	94.32	36.14	1.03	24.23	23.01
8/17/2020 9:08:45 AM	6.23	20.35	2.38	0.00	0.00	0.00	0.00	0.28	28.96	88.56	0.28	23.15	3300	20354	1070	0	0	0	0	0	24724	134.39	27.43	19.29	101.77	31.12	95.32	39.12	1.03	24.25	23.01
8/17/2020 9:08:47 AM	5.44	20.58	2.65	0.00	0.00	0.00	0.00	0.34	28.67	87.02	0.29	23.16	2885	20576	1192	0	0	0	0	0	24653	132.05	28.08	18.93	103.16	31.27	95.23	38.35	1.03	24.27	23.02
8/17/2020 9:08:49 AM	5.99	20.29	2.43	0.00	0.00	0.00	0.00	0.33	28.71	87.43	0.31	23.17	3177	20287	1094	0	0	0	0	0	24559	132.68	27.63	18.73	102.15	31.40	94.19	39.01	1.03	24.30	23.04
8/17/2020 9:08:52 AM	5.86	20.24	2.26	0.00	0.00	0.00	0.00	0.30	28.36	88.02	0.33	23.17	3104	20243	1018	0	0	0	0	0	24365	133.57	27.05	18.41	101.94	30.47	93.39	37.48	1.03	24.34	23.06
8/17/2020 9:08:54 AM	5.36	20.08	2.22	0.00	0.00	0.00	0.00	0.39	27.66	87.35	0.35	23.18	2839	20080	1000	0	0	0	0	0	23919	132.56	26.73	18.41	100.54	30.53	92.52	36.41	1.03	24.36	23.07
8/17/2020 9:08:57 AM	5.31	19.96	2.63	0.00	0.00	0.00	0.00	0.36	27.90	86.72	0.38	23.17	2814	19964	1185	0	0	0	0	0	23962	131.60	27.49	18.92	100.60	30.81	92.11	37.80	1.04	24.39	23.11
8/17/2020 9:08:59 AM	5.26	20.43	2.32	0.00	0.00	0.00	0.00	0.36	28.01	85.60	0.40	23.17	2785	20426	1046	0	0	0	0	0	24258	129.91	27.11	18.59	101.85	30.53	94.28	36.42	1.04	24.42	23.10
8/17/2020 9:09:01 AM	5.79	19.97	2.09	0.00	0.00	0.00	0.00	0.33	27.85	85.59	0.42	23.17	3068	19975	940	0	0	0	0	0	23983	129.88	26.54	17.33	100.52	30.23	92.16	36.69	1.04	24.45	23.11
8/17/2020 9:09:04 AM	6.20	20.50	2.00	0.00	0.00	0.00	0.00	0.20	28.71	84.91	0.45	23.16	3286	20505	901	0	0	0	0	0	24691	128.85	26.58	18.94	103.26	29.77	94.20	36.78	1.04	24.48	23.11
8/17/2020 9:09:06 AM	5.15	20.34	2.36	0.00	0.00	0.00	0.00	0.41	27.85	83.83	0.47	23.19	2728	20343	1063	0	0	0	0	0	24134	127.22	27.27	18.02	101.64	30.87	93.79	36.60	1.05	24.50	23.17
8/17/2020 9:09:08 AM	5.11	20.26	2.58	0.00	0.00	0.00	0.00	0.28	27.95	83.54	0.51	23.19	2708	20260	1162	0	0	0	0	0	24130	126.78	27.24	18.85	101.02	29.77	93.82	36.36	1.05	24.53	23.12
8/17/2020 9:09:11 AM	5.44	20.17	2.34	0.00	0.00	0.00	0.00	0.29	27.95	83.68	0.54	23.17	2885	20167	1055	0	0	0	0	0	24106	126.99	26.78	19.08	100.64	29.89	93.40	36.44	1.05	24.55	23.17
8/17/2020 9:09:13 AM	5.69	20.06	2.08	0.00	0.00	0.00	0.00	0.30	27.83	82.33	0.57	23.16	3015	20058	937	0	0	0	0	0	24011	124.94	26.21	19.09	100.10	29.78	92.84	36.10	1.06	24.58	23.16
8/17/2020 9:09:16 AM	4.95	20.07	2.42	0.00	0.00	0.00	0.00	0.34	27.44	81.59	0.60	23.15	2624	20074	1088	0	0	0	0	0	23787	123.81	26.75	18.57	99.82	29.75	92.87	35.56	1.06	24.61	23.17
8/17/2020 9:09:18 AM	5.03	19.64	2.65	0.00	0.00	0.00	0.00	0.30	27.32	81.00	0.63	23.16	2666	19639	1193	0	0	0	0	0	23498	122.92	26.79	18.61	97.43	29.49	92.02	36.37	1.06	24.63	23.20
8/17/2020 9:09:20 AM	4.37	20.05	2.99	0.00	0.00	0.00	0.00	0.35	27.42	80.98	0.67	23.15	2318	20047	1347	0	0	0	0	0	23713	122.90	27.88	18.23	100.11	30.06	92.65	36.36	1.07	24.66	23.19
8/17/2020 9:09:23 AM	4.78	19.89	2.78	0.00	0.00	0.00	0.00	0.29	27.44	80.03	0.70	23.13	2532	19889	1250	0	0	0	0	0	23670	121.45	27.31	17.91	99.40	29.49	92.17	36.13	1.07	24.67	23.24
8/17/2020 9:09:25 AM	5.97	19.89	2.14	0.00	0.00	0.00	0.00	0.24	27.99	80.50	0.74	23.17	3165	19887	961	0	0	0	0	0	24013	122.16	26.26	18.62	99.56	29.59	92.48	36.75	1.07	24.69	23.26
