
Advanced Calibration Data
,Temperature,Cal Date, Tm, Tzs, Tb
,Pressure,Cal Date,m2,m1,m0,b2,b1,b0,Linear(a),Linear(b)
,Temperature,unknown,0.000000,0.00,0.000000
,Pressure,4-Jun-12 14:50:11,0.0000040000,-0.0002440000,1.0035119057,-0.0000720000,0.0041340003,0.0370159969,0.0000000000,1.0000000000

Field Calibration Data
,Temperature,Cal Date,Slope,Offset
,Pressure,Cal Date,Slope,Offset
,Temperature(degC),unknown,1.000000,0.000
,Pressure(psi),unknown,1.000000,0.0000

Sensor/File information
Sensor SN, 21204020 ,,Modbus Addr., 2 
Sensor Type,PT2X,,Initialized w/fw Rev,"2. 7"
Sensor Name,Barometric Pressure (2),,Uploaded,"Aqua4Plus 1.9.10"
File Name,FCR_BV_20200131,,Exported,"Aqua4Plus 1.9.10"
# Records,  19774 
Statistical Data,,Temperature(degC),Pressure(psi),
,Sensor Range,-40 - +125 degC,15 psia,
,Minimum,-7.69,13.443,
,Maximum,37.50,14.147,
,Mean,17.64,13.897,
,Variance,81.824,0.0066,
,Std Deviation,9.046,0.0813,
,,,,
,Field Cal Date,unknown,unknown,
Rec #,Date/Time,Temperature(degC),Pressure(psi)
1,31-Jan-20 17:00:00,2.44,13.959
2,31-Jan-20 17:15:00,2.31,13.956
3,31-Jan-20 17:30:00,2.31,13.961
4,31-Jan-20 17:45:00,2.19,13.957
5,31-Jan-20 18:00:00,2.06,13.956
6,31-Jan-20 18:15:00,1.94,13.957
7,31-Jan-20 18:30:00,1.88,13.954
8,31-Jan-20 18:45:00,1.75,13.950
9,31-Jan-20 19:00:00,1.69,13.946
10,31-Jan-20 19:15:00,1.63,13.946
11,31-Jan-20 19:30:00,1.69,13.941
12,31-Jan-20 19:45:00,1.69,13.943
13,31-Jan-20 20:00:00,1.56,13.947
14,31-Jan-20 20:15:00,1.50,13.947
15,31-Jan-20 20:30:00,1.56,13.944
16,31-Jan-20 20:45:00,1.50,13.942
17,31-Jan-20 21:00:00,1.44,13.941
18,31-Jan-20 21:15:00,1.31,13.940
19,31-Jan-20 21:30:00,1.25,13.938
20,31-Jan-20 21:45:00,1.13,13.937
21,31-Jan-20 22:00:00,0.88,13.934
22,31-Jan-20 22:15:00,0.63,13.933
23,31-Jan-20 22:30:00,0.44,13.929
24,31-Jan-20 22:45:00,0.31,13.928
25,31-Jan-20 23:00:00,0.31,13.928
26,31-Jan-20 23:15:00,0.38,13.926
27,31-Jan-20 23:30:00,0.38,13.922
28,31-Jan-20 23:45:00,0.25,13.917
29,1-Feb-20 00:00:00,0.06,13.915
30,1-Feb-20 00:15:00,-0.06,13.915
31,1-Feb-20 00:30:00,-0.13,13.915
32,1-Feb-20 00:45:00,-0.19,13.912
33,1-Feb-20 01:00:00,-0.25,13.910
34,1-Feb-20 01:15:00,-0.31,13.907
35,1-Feb-20 01:30:00,-0.25,13.902
36,1-Feb-20 01:45:00,-0.25,13.899
37,1-Feb-20 02:00:00,-0.06,13.898
38,1-Feb-20 02:15:00,0.25,13.898
39,1-Feb-20 02:30:00,0.50,13.896
40,1-Feb-20 02:45:00,0.69,13.895
41,1-Feb-20 03:00:00,0.81,13.888
42,1-Feb-20 03:15:00,0.81,13.882
43,1-Feb-20 03:30:00,0.88,13.879
