
Advanced Calibration Data
,Temperature,Cal Date, Tm, Tzs, Tb
,Pressure,Cal Date,m2,m1,m0,b2,b1,b0,Linear(a),Linear(b)
,Temperature,unknown,0.000000,0.00,0.000000
,Pressure,4-Jun-12 14:50:11,0.0000040000,-0.0002440000,1.0035119057,-0.0000720000,0.0041340003,0.0370159969,0.0000000000,1.0000000000

Field Calibration Data
,Temperature,Cal Date,Slope,Offset
,Pressure,Cal Date,Slope,Offset
,Temperature(degC),unknown,1.000000,0.000
,Pressure(psi),unknown,1.000000,0.0000

Sensor/File information
Sensor SN, 21204020 ,,Modbus Addr., 2 
Sensor Type,PT2X,,Initialized w/fw Rev,"2. 7"
Sensor Name,Barometric Pressure (2),,Uploaded,"Aqua4Plus 1.9.10"
File Name,FCR_BV_20200824,,Exported,"Aqua4Plus 1.9.10"
# Records,  862 
Statistical Data,,Temperature(degC),Pressure(psi),
,Sensor Range,-40 - +125 degC,15 psia,
,Minimum,18.88,13.744,
,Maximum,34.38,13.953,
,Mean,24.99,13.880,
,Variance,20.160,0.0026,
,Std Deviation,4.490,0.0510,
,,,,
,Field Cal Date,unknown,unknown,
Rec #,Date/Time,Temperature(degC),Pressure(psi)
1,24-Aug-20 16:59:35,32.06,13.924
2,24-Aug-20 17:14:35,31.75,13.924
3,24-Aug-20 17:29:35,30.63,13.927
4,24-Aug-20 17:44:35,30.44,13.925
5,24-Aug-20 17:59:35,30.25,13.924
6,24-Aug-20 18:14:35,29.69,13.921
7,24-Aug-20 18:29:35,29.50,13.919
8,24-Aug-20 18:44:35,29.00,13.920
9,24-Aug-20 18:59:35,28.19,13.921
10,24-Aug-20 19:14:35,27.81,13.922
11,24-Aug-20 19:29:35,27.25,13.924
12,24-Aug-20 19:44:35,26.81,13.928
13,24-Aug-20 19:59:35,26.38,13.931
14,24-Aug-20 20:14:35,25.94,13.935
15,24-Aug-20 20:29:35,25.56,13.936
16,24-Aug-20 20:44:35,25.25,13.938
17,24-Aug-20 20:59:35,25.00,13.942
18,24-Aug-20 21:14:35,24.69,13.945
19,24-Aug-20 21:29:35,24.50,13.947
20,24-Aug-20 21:44:35,23.75,13.947
21,24-Aug-20 21:59:35,23.94,13.947
22,24-Aug-20 22:14:35,23.25,13.948
23,24-Aug-20 22:29:35,23.06,13.951
24,24-Aug-20 22:44:35,22.81,13.948
25,24-Aug-20 22:59:35,22.63,13.947
26,24-Aug-20 23:14:35,22.50,13.947
27,24-Aug-20 23:29:35,22.44,13.947
28,24-Aug-20 23:44:35,22.31,13.946
29,24-Aug-20 23:59:35,22.31,13.947
30,25-Aug-20 00:14:35,22.44,13.946
31,25-Aug-20 00:29:35,22.63,13.948
32,25-Aug-20 00:44:35,22.69,13.948
33,25-Aug-20 00:59:35,22.69,13.948
34,25-Aug-20 01:14:35,22.69,13.946
35,25-Aug-20 01:29:35,22.63,13.942
36,25-Aug-20 01:44:35,22.56,13.942
37,25-Aug-20 01:59:35,22.50,13.941
38,25-Aug-20 02:14:35,22.50,13.941
39,25-Aug-20 02:29:35,22.44,13.940
40,25-Aug-20 02:44:35,22.38,13.938
41,25-Aug-20 02:59:35,22.31,13.936
42,25-Aug-20 03:14:35,22.38,13.937
43,25-Aug-20 03:29:35,22.38,13.938
44,25-Aug-20 03:44:35,22.25,13.936
45,25-Aug-20 03:59:35,22.19,13.936
46,25-Aug-20 04:14:35,22.19,13.935
47,25-Aug-20 04:29:35,22.00,13.932
48,25-Aug-20 04:44:35,22.00,13.934
49,25-Aug-20 04:59:35,21.94,13.933
50,25-Aug-20 05:14:35,21.94,13.931
51,25-Aug-20 05:29:35,21.88,13.929
52,25-Aug-20 05:44:35,21.75,13.927
53,25-Aug-20 05:59:35,21.81,13.929
54,25-Aug-20 06:14:35,21.69,13.928
55,25-Aug-20 06:29:35,21.69,13.930
56,25-Aug-20 06:44:35,21.75,13.934
57,25-Aug-20 06:59:35,21.69,13.937
58,25-Aug-20 07:14:35,21.69,13.939
59,25-Aug-20 07:29:35,21.63,13.940
60,25-Aug-20 07:44:35,21.69,13.941
61,25-Aug-20 07:59:35,21.88,13.941
62,25-Aug-20 08:14:35,22.13,13.942
63,25-Aug-20 08:29:35,22.13,13.943
64,25-Aug-20 08:44:35,22.63,13.943
65,25-Aug-20 08:59:35,25.13,13.942
66,25-Aug-20 09:14:35,27.06,13.937
67,25-Aug-20 09:29:35,28.19,13.936
68,25-Aug-20 09:44:35,28.75,13.937
69,25-Aug-20 09:59:35,29.13,13.936
70,25-Aug-20 10:14:35,29.63,13.934
71,25-Aug-20 10:29:35,30.44,13.934
72,25-Aug-20 10:44:35,30.88,13.930
73,25-Aug-20 10:59:35,31.56,13.930
74,25-Aug-20 11:14:35,32.31,13.928
75,25-Aug-20 11:29:35,32.94,13.928
76,25-Aug-20 11:44:35,33.50,13.927
77,25-Aug-20 11:59:35,33.75,13.923
78,25-Aug-20 12:14:35,34.25,13.921
79,25-Aug-20 12:29:35,34.38,13.921
80,25-Aug-20 12:44:35,34.19,13.921
81,25-Aug-20 12:59:35,34.00,13.921
82,25-Aug-20 13:14:35,33.75,13.920
83,25-Aug-20 13:29:35,33.56,13.919
84,25-Aug-20 13:44:35,33.63,13.916
85,25-Aug-20 13:59:35,32.94,13.914
86,25-Aug-20 14:14:35,32.75,13.913
87,25-Aug-20 14:29:35,32.50,13.912
88,25-Aug-20 14:44:35,32.75,13.909
89,25-Aug-20 14:59:35,32.75,13.906
90,25-Aug-20 15:14:35,32.69,13.904
91,25-Aug-20 15:29:35,32.50,13.902
92,25-Aug-20 15:44:35,32.75,13.901
93,25-Aug-20 15:59:35,32.94,13.898
94,25-Aug-20 16:14:35,32.88,13.897
95,25-Aug-20 16:29:35,32.56,13.893
96,25-Aug-20 16:44:35,32.38,13.890
97,25-Aug-20 16:59:35,32.31,13.891
98,25-Aug-20 17:14:35,32.00,13.890
99,25-Aug-20 17:29:35,31.88,13.889
100,25-Aug-20 17:44:35,31.81,13.891
101,25-Aug-20 17:59:35,31.88,13.886
102,25-Aug-20 18:14:35,31.50,13.885
103,25-Aug-20 18:29:35,30.75,13.888
104,25-Aug-20 18:44:35,29.81,13.894
105,25-Aug-20 18:59:35,29.56,13.891
106,25-Aug-20 19:14:35,28.81,13.891
107,25-Aug-20 19:29:35,28.19,13.895
108,25-Aug-20 19:44:35,27.81,13.901
109,25-Aug-20 19:59:35,27.63,13.908
110,25-Aug-20 20:14:35,27.44,13.908
111,25-Aug-20 20:29:35,27.31,13.906
112,25-Aug-20 20:44:35,26.81,13.909
113,25-Aug-20 20:59:35,26.75,13.914
114,25-Aug-20 21:14:35,26.31,13.914
115,25-Aug-20 21:29:35,26.63,13.917
116,25-Aug-20 21:44:35,26.56,13.921
117,25-Aug-20 21:59:35,26.25,13.920
118,25-Aug-20 22:14:35,25.94,13.924
119,25-Aug-20 22:29:35,25.69,13.919
120,25-Aug-20 22:44:35,25.44,13.916
121,25-Aug-20 22:59:35,25.13,13.918
122,25-Aug-20 23:14:35,24.88,13.919
123,25-Aug-20 23:29:35,24.38,13.916
124,25-Aug-20 23:44:35,24.06,13.914
125,25-Aug-20 23:59:35,23.94,13.914
126,26-Aug-20 00:14:35,23.94,13.910
127,26-Aug-20 00:29:35,23.75,13.914
128,26-Aug-20 00:44:35,23.50,13.913
129,26-Aug-20 00:59:35,23.38,13.914
130,26-Aug-20 01:14:35,23.31,13.914
131,26-Aug-20 01:29:35,23.00,13.913
132,26-Aug-20 01:44:35,23.00,13.913
133,26-Aug-20 01:59:35,23.19,13.913
134,26-Aug-20 02:14:35,23.38,13.914
135,26-Aug-20 02:29:35,23.44,13.911
136,26-Aug-20 02:44:35,23.38,13.915
137,26-Aug-20 02:59:35,23.19,13.919
138,26-Aug-20 03:14:35,23.06,13.919
