
Advanced Calibration Data
,Temperature,Cal Date, Tm, Tzs, Tb
,Pressure,Cal Date,m2,m1,m0,b2,b1,b0,Linear(a),Linear(b)
,Temperature,unknown,0.000000,0.00,0.000000
,Pressure,25-Mar-13 09:51:57,0.0000000000,-0.0000630000,1.0006790161,0.0000090000,0.0004550000,0.1534399986,0.0000000000,1.0000000000

Field Calibration Data
,Temperature,Cal Date,Slope,Offset
,Pressure,Cal Date,Slope,Offset
,Temperature(degC),unknown,1.000000,0.000
,Pressure(psi),unknown,1.000000,0.0000

Sensor/File information
Sensor SN, 21309003 ,,Modbus Addr., 2 
Sensor Type,PT2X,,Initialized w/fw Rev,"2. 9"
Sensor Name,INW Smart Sensor,,Uploaded,"Aqua4Plus 1.9.10"
File Name,FCR_INF_20200131,,Exported,"Aqua4Plus 1.9.10"
# Records,  7871 
Statistical Data,,Temperature(degC),Pressure(psi),
,Sensor Range,-40 - +125 degC,30 psia,
,Minimum,1.13,13.925,
,Maximum,19.38,14.556,
,Mean,8.72,14.253,
,Variance,12.917,0.0129,
,Std Deviation,3.594,0.1134,
,,,,
,Field Cal Date,unknown,unknown,
Rec #,Date/Time,Temperature(degC),Pressure(psi)
1,31-Jan-20 13:05:22,3.88,14.280
2,31-Jan-20 13:20:22,3.81,14.278
3,31-Jan-20 13:35:22,3.88,14.277
4,31-Jan-20 13:50:22,3.88,14.279
5,31-Jan-20 14:05:22,3.81,14.279
6,31-Jan-20 14:20:22,3.81,14.280
7,31-Jan-20 14:35:22,3.81,14.276
8,31-Jan-20 14:50:22,3.75,14.278
9,31-Jan-20 15:05:22,3.75,14.275
10,31-Jan-20 15:20:22,3.69,14.276
11,31-Jan-20 15:35:22,3.63,14.275
12,31-Jan-20 15:50:22,3.69,14.275
13,31-Jan-20 16:05:22,3.69,14.278
14,31-Jan-20 16:20:22,3.69,14.275
15,31-Jan-20 16:35:22,3.69,14.271
16,31-Jan-20 16:50:22,3.75,14.274
17,31-Jan-20 17:05:22,3.75,14.271
18,31-Jan-20 17:20:22,3.81,14.272
19,31-Jan-20 17:35:22,3.75,14.269
20,31-Jan-20 17:50:22,3.75,14.269
21,31-Jan-20 18:05:22,3.75,14.269
22,31-Jan-20 18:20:22,3.75,14.267
23,31-Jan-20 18:35:22,3.69,14.264
24,31-Jan-20 18:50:22,3.69,14.264
25,31-Jan-20 19:05:22,3.69,14.257
