
Advanced Calibration Data
,Temperature,Cal Date, Tm, Tzs, Tb
,Pressure,Cal Date,m2,m1,m0,b2,b1,b0,Linear(a),Linear(b)
,Temperature,unknown,0.000000,0.00,0.000000
,Pressure,25-Mar-13 09:51:57,0.0000000000,-0.0000630000,1.0006790161,0.0000090000,0.0004550000,0.1534399986,0.0000000000,1.0000000000

Field Calibration Data
,Temperature,Cal Date,Slope,Offset
,Pressure,Cal Date,Slope,Offset
,Temperature(degC),unknown,1.000000,0.000
,Pressure(psi),unknown,1.000000,0.0000

Sensor/File information
Sensor SN, 21309003 ,,Modbus Addr., 2 
Sensor Type,PT2X,,Initialized w/fw Rev,"2. 9"
Sensor Name,INW Smart Sensor,,Uploaded,"Aqua4Plus 1.9.10"
File Name,FCR_Inf_20190624,,Exported,"Aqua4Plus 1.9.10"
# Records,  8456 
Statistical Data,,Temperature(degC),Pressure(psi),
,Sensor Range,-40 - +125 degC,30 psia,
,Minimum,13.56,14.097,
,Maximum,23.38,14.594,
,Mean,19.97,14.257,
,Variance,2.211,0.0029,
,Std Deviation,1.487,0.0543,
,,,,
,Field Cal Date,unknown,unknown,
Rec #,Date/Time,Temperature(degC),Pressure(psi)
1,24-Jun-19 14:00:00,20.88,14.234
2,24-Jun-19 14:15:00,21.13,14.229
3,24-Jun-19 14:30:00,21.25,14.226
4,24-Jun-19 14:45:00,21.38,14.224
5,24-Jun-19 15:00:00,21.38,14.220
6,24-Jun-19 15:15:00,21.38,14.219
7,24-Jun-19 15:30:00,21.50,14.217
8,24-Jun-19 15:45:00,21.56,14.213
9,24-Jun-19 16:00:00,21.63,14.208
10,24-Jun-19 16:15:00,21.63,14.207
11,24-Jun-19 16:30:00,21.56,14.203
12,24-Jun-19 16:45:00,21.56,14.198
13,24-Jun-19 17:00:00,21.56,14.199
14,24-Jun-19 17:15:00,21.56,14.199
15,24-Jun-19 17:30:00,21.50,14.199
16,24-Jun-19 17:45:00,21.44,14.197
17,24-Jun-19 18:00:00,21.44,14.197
18,24-Jun-19 18:15:00,21.38,14.194
19,24-Jun-19 18:30:00,21.38,14.195
20,24-Jun-19 18:45:00,21.31,14.193
21,24-Jun-19 19:00:00,21.31,14.194
22,24-Jun-19 19:15:00,21.25,14.198
23,24-Jun-19 19:30:00,21.19,14.196
24,24-Jun-19 19:45:00,21.13,14.194
25,24-Jun-19 20:00:00,21.13,14.195
26,24-Jun-19 20:15:00,21.06,14.196
27,24-Jun-19 20:30:00,21.06,14.192
28,24-Jun-19 20:45:00,21.00,14.194
29,24-Jun-19 21:00:00,20.94,14.195
30,24-Jun-19 21:15:00,20.94,14.198
31,24-Jun-19 21:30:00,20.94,14.202
32,24-Jun-19 21:45:00,20.88,14.206
33,24-Jun-19 22:00:00,20.88,14.244
34,24-Jun-19 22:15:00,21.00,14.300
35,24-Jun-19 22:30:00,20.81,14.385
36,24-Jun-19 22:45:00,20.50,14.387
37,24-Jun-19 23:00:00,20.19,14.343
38,24-Jun-19 23:15:00,20.06,14.312
