
Advanced Calibration Data
,Temperature,Cal Date, Tm, Tzs, Tb
,Pressure,Cal Date,m2,m1,m0,b2,b1,b0,Linear(a),Linear(b)
,Temperature,unknown,0.000000,0.00,0.000000
,Pressure,25-Mar-13 09:51:57,0.0000000000,-0.0000630000,1.0006790161,0.0000090000,0.0004550000,0.1534399986,0.0000000000,1.0000000000

Field Calibration Data
,Temperature,Cal Date,Slope,Offset
,Pressure,Cal Date,Slope,Offset
,Temperature(degC),unknown,1.000000,0.000
,Pressure(psi),unknown,1.000000,0.0000

Sensor/File information
Sensor SN, 21309003 ,,Modbus Addr., 2 
Sensor Type,PT2X,,Initialized w/fw Rev,"2. 9"
Sensor Name,INW Smart Sensor,,Uploaded,"Aqua4Plus 1.9.10"
File Name,FCR_INF_20190920,,Exported,"Aqua4Plus 1.9.10"
# Records,  8732 
Statistical Data,,Temperature(degC),Pressure(psi),
,Sensor Range,-40 - +125 degC,30 psia,
,Minimum,0.44,13.982,
,Maximum,21.69,14.490,
,Mean,9.98,14.222,
,Variance,29.277,0.0074,
,Std Deviation,5.411,0.0862,
,,,,
,Field Cal Date,unknown,unknown,
Rec #,Date/Time,Temperature(degC),Pressure(psi)
1,20-Sep-19 17:00:00,17.00,14.293
2,20-Sep-19 17:15:00,16.94,14.292
3,20-Sep-19 17:30:00,16.94,14.292
4,20-Sep-19 17:45:00,16.94,14.291
5,20-Sep-19 18:00:00,16.94,14.291
6,20-Sep-19 18:15:00,16.88,14.294
7,20-Sep-19 18:30:00,16.88,14.295
8,20-Sep-19 18:45:00,16.88,14.295
9,20-Sep-19 19:00:00,16.81,14.294
10,20-Sep-19 19:15:00,16.75,14.293
11,20-Sep-19 19:30:00,16.75,14.294
12,20-Sep-19 19:45:00,16.69,14.295
13,20-Sep-19 20:00:00,16.63,14.297
14,20-Sep-19 20:15:00,16.56,14.299
15,20-Sep-19 20:30:00,16.56,14.299
16,20-Sep-19 20:45:00,16.50,14.299
17,20-Sep-19 21:00:00,16.44,14.301
18,20-Sep-19 21:15:00,16.44,14.304
19,20-Sep-19 21:30:00,16.38,14.305
20,20-Sep-19 21:45:00,16.38,14.307
21,20-Sep-19 22:00:00,16.31,14.311
22,20-Sep-19 22:15:00,16.25,14.310
23,20-Sep-19 22:30:00,16.25,14.310
24,20-Sep-19 22:45:00,16.19,14.309
25,20-Sep-19 23:00:00,16.19,14.311
26,20-Sep-19 23:15:00,16.13,14.309
27,20-Sep-19 23:30:00,16.13,14.308
28,20-Sep-19 23:45:00,16.06,14.310
29,21-Sep-19 00:00:00,16.06,14.311
30,21-Sep-19 00:15:00,16.00,14.311
31,21-Sep-19 00:30:00,16.00,14.309
32,21-Sep-19 00:45:00,16.00,14.309
33,21-Sep-19 01:00:00,16.00,14.309
34,21-Sep-19 01:15:00,16.00,14.310
35,21-Sep-19 01:30:00,15.94,14.310
36,21-Sep-19 01:45:00,15.94,14.309
37,21-Sep-19 02:00:00,15.94,14.310
38,21-Sep-19 02:15:00,15.94,14.309
39,21-Sep-19 02:30:00,15.94,14.310
40,21-Sep-19 02:45:00,15.94,14.310
41,21-Sep-19 03:00:00,15.94,14.308
42,21-Sep-19 03:15:00,15.94,14.309
43,21-Sep-19 03:30:00,16.00,14.305
44,21-Sep-19 03:45:00,16.00,14.307
45,21-Sep-19 04:00:00,16.00,14.304
46,21-Sep-19 04:15:00,16.00,14.306
47,21-Sep-19 04:30:00,16.00,14.305
48,21-Sep-19 04:45:00,16.00,14.307
49,21-Sep-19 05:00:00,16.00,14.305
50,21-Sep-19 05:15:00,16.00,14.305
51,21-Sep-19 05:30:00,16.00,14.307
52,21-Sep-19 05:45:00,16.06,14.307
53,21-Sep-19 06:00:00,16.06,14.309
54,21-Sep-19 06:15:00,16.06,14.310
55,21-Sep-19 06:30:00,16.06,14.315
56,21-Sep-19 06:45:00,16.06,14.318
57,21-Sep-19 07:00:00,16.13,14.319
58,21-Sep-19 07:15:00,16.13,14.319
59,21-Sep-19 07:30:00,16.13,14.318
60,21-Sep-19 07:45:00,16.19,14.319
61,21-Sep-19 08:00:00,16.19,14.321
62,21-Sep-19 08:15:00,16.19,14.323
63,21-Sep-19 08:30:00,16.25,14.324
64,21-Sep-19 08:45:00,16.25,14.325
65,21-Sep-19 09:00:00,16.31,14.328
66,21-Sep-19 09:15:00,16.38,14.328
67,21-Sep-19 09:30:00,16.44,14.329
68,21-Sep-19 09:45:00,16.50,14.327
69,21-Sep-19 10:00:00,16.56,14.325
70,21-Sep-19 10:15:00,16.63,14.327
71,21-Sep-19 10:30:00,16.69,14.329
72,21-Sep-19 10:45:00,16.75,14.329
73,21-Sep-19 11:00:00,16.75,14.328
74,21-Sep-19 11:15:00,16.88,14.327
75,21-Sep-19 11:30:00,16.94,14.325
76,21-Sep-19 11:45:00,17.06,14.325
77,21-Sep-19 12:00:00,17.19,14.324
78,21-Sep-19 12:15:00,17.25,14.322
79,21-Sep-19 12:30:00,17.44,14.320
80,21-Sep-19 12:45:00,17.44,14.316
81,21-Sep-19 13:00:00,17.63,14.314
82,21-Sep-19 13:15:00,17.81,14.310
83,21-Sep-19 13:30:00,17.94,14.307
84,21-Sep-19 13:45:00,18.00,14.302
85,21-Sep-19 14:00:00,18.19,14.300
86,21-Sep-19 14:15:00,18.25,14.300
87,21-Sep-19 14:30:00,18.13,14.299
88,21-Sep-19 14:45:00,18.13,14.296
89,21-Sep-19 15:00:00,18.25,14.294
90,21-Sep-19 15:15:00,18.50,14.290
91,21-Sep-19 15:30:00,18.56,14.289
92,21-Sep-19 15:45:00,18.69,14.290
93,21-Sep-19 16:00:00,18.75,14.292
94,21-Sep-19 16:15:00,18.69,14.296
95,21-Sep-19 16:30:00,18.63,14.295
96,21-Sep-19 16:45:00,18.63,14.291
97,21-Sep-19 17:00:00,18.56,14.290
98,21-Sep-19 17:15:00,18.63,14.286
99,21-Sep-19 17:30:00,18.69,14.284
100,21-Sep-19 17:45:00,18.69,14.283
101,21-Sep-19 18:00:00,18.69,14.281
102,21-Sep-19 18:15:00,18.63,14.283
103,21-Sep-19 18:30:00,18.56,14.282
104,21-Sep-19 18:45:00,18.56,14.284
105,21-Sep-19 19:00:00,18.50,14.283
106,21-Sep-19 19:15:00,18.44,14.282
107,21-Sep-19 19:30:00,18.44,14.279
108,21-Sep-19 19:45:00,18.38,14.281
109,21-Sep-19 20:00:00,18.31,14.282
110,21-Sep-19 20:15:00,18.25,14.282
