
Advanced Calibration Data
,Temperature,Cal Date, Tm, Tzs, Tb
,Pressure,Cal Date,m2,m1,m0,b2,b1,b0,Linear(a),Linear(b)
,Temperature,unknown,0.000000,0.00,0.000000
,Pressure,25-Mar-13 09:51:57,0.0000000000,-0.0000630000,1.0006790161,0.0000090000,0.0004550000,0.1534399986,0.0000000000,1.0000000000

Field Calibration Data
,Temperature,Cal Date,Slope,Offset
,Pressure,Cal Date,Slope,Offset
,Temperature(degC),unknown,1.000000,0.000
,Pressure(psi),unknown,1.000000,0.0000

Sensor/File information
Sensor SN, 21309003 ,,Modbus Addr., 2 
Sensor Type,PT2X,,Initialized w/fw Rev,"2. 9"
Sensor Name,INW Smart Sensor,,Uploaded,"Aqua4Plus 1.9.10"
File Name,FCR_INF_20200824,,Exported,"Aqua4Plus 1.9.10"
# Records,  863 
Statistical Data,,Temperature(degC),Pressure(psi),
,Sensor Range,-40 - +125 degC,30 psia,
,Minimum,18.69,13.968,
,Maximum,22.63,14.351,
,Mean,20.40,14.127,
,Variance,1.055,0.0047,
,Std Deviation,1.027,0.0686,
,,,,
,Field Cal Date,unknown,unknown,
Rec #,Date/Time,Temperature(degC),Pressure(psi)
1,24-Aug-20 16:02:30,21.94,14.172
2,24-Aug-20 16:17:30,21.69,14.172
3,24-Aug-20 16:32:30,21.69,14.172
4,24-Aug-20 16:47:30,21.69,14.171
5,24-Aug-20 17:02:30,21.69,14.170
6,24-Aug-20 17:17:30,21.69,14.171
7,24-Aug-20 17:32:30,21.63,14.170
8,24-Aug-20 17:47:30,21.63,14.170
9,24-Aug-20 18:02:30,21.63,14.166
10,24-Aug-20 18:17:30,21.56,14.164
11,24-Aug-20 18:32:30,21.50,14.162
12,24-Aug-20 18:47:30,21.44,14.164
13,24-Aug-20 19:02:30,21.44,14.162
14,24-Aug-20 19:17:30,21.38,14.165
15,24-Aug-20 19:32:30,21.38,14.166
16,24-Aug-20 19:47:30,21.31,14.170
17,24-Aug-20 20:02:30,21.25,14.173
18,24-Aug-20 20:17:30,21.19,14.177
19,24-Aug-20 20:32:30,21.19,14.177
20,24-Aug-20 20:47:30,21.13,14.180
21,24-Aug-20 21:02:30,21.06,14.183
22,24-Aug-20 21:17:30,21.00,14.187
23,24-Aug-20 21:32:30,21.00,14.188
24,24-Aug-20 21:47:30,20.94,14.187
25,24-Aug-20 22:02:30,20.88,14.189
