VC:46e9e7d BD:Jun  9 2016 SN:US4300170200001328
                     Time,      [CH4]_ppm,   [CH4]_ppm_sd,     [CH4L]_ppm,  [CH4L]_ppm_sd,     [CH4H]_ppm,  [CH4H]_ppm_sd,      [H2O]_ppm,   [H2O]_ppm_sd,      [CO2]_ppm,   [CO2]_ppm_sd,     [CH4]d_ppm,  [CH4]d_ppm_sd,     [CO2]d_ppm,  [CO2]d_ppm_sd,      GasP_torr,   GasP_torr_sd,         GasT_C,      GasT_C_sd,         AmbT_C,      AmbT_C_sd,         RD0_us,      RD0_us_sd,         RD1_us,      RD1_us_sd,       Fit_Flag,      MIU_VALVE,       MIU_DESC
  05/11/2002 20:32:28.390,    2.33980e+00,    0.00000e+00,    2.33980e+00,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    2.76465e+04,    0.00000e+00,    4.19800e+02,    0.00000e+00,    2.40633e+00,    0.00000e+00,    4.31736e+02,    0.00000e+00,    1.40358e+02,    0.00000e+00,    2.48074e+01,    0.00000e+00,    2.73124e+01,    0.00000e+00,    1.02496e+01,    0.00000e+00,    1.15809e+01,    0.00000e+00,              3,              0,       1 meters
  05/11/2002 20:32:30.382,    2.34501e+00,    4.59300e-03,    2.34501e+00,    4.59300e-03,   -1.00000e-02,    0.00000e+00,    2.76403e+04,    7.39031e+01,    4.19608e+02,    1.00013e-01,    2.41167e+00,    4.90685e-03,    4.31536e+02,    7.00574e-02,    1.40309e+02,    5.78512e-02,    2.48078e+01,    7.56814e-05,    2.73229e+01,    5.24026e-03,    1.02501e+01,    3.57369e-03,    1.15828e+01,    1.49111e-03,              3,              0,       1 meters
  05/11/2002 20:32:32.373,    2.36155e+00,    9.85085e-03,    2.36155e+00,    9.85085e-03,   -1.00000e-02,    0.00000e+00,    2.75818e+04,    1.39336e+01,    4.20361e+02,    4.09818e-01,    2.42854e+00,    1.00955e-02,    4.32285e+02,    4.15248e-01,    1.40343e+02,    4.99948e-02,    2.48082e+01,    2.57275e-04,    2.73353e+01,    7.15653e-03,    1.02512e+01,    2.47038e-04,    1.15795e+01,    1.80683e-06,              3,              0,       1 meters
  05/11/2002 20:32:34.363,    2.38478e+00,    6.58256e-03,    2.38478e+00,    6.58256e-03,   -1.00000e-02,    0.00000e+00,    2.77030e+04,    6.03625e+01,    4.20676e+02,    6.09054e-02,    2.45273e+00,    6.92239e-03,    4.32662e+02,    8.95013e-02,    1.40323e+02,    5.64705e-02,    2.48087e+01,    2.00991e-04,    2.73469e+01,    2.27430e-03,    1.02499e+01,    3.88549e-04,    1.15831e+01,    7.56819e-04,              3,              0,       1 meters
  05/11/2002 20:32:36.353,    2.39953e+00,    3.24730e-03,    2.39953e+00,    3.24730e-03,   -1.00000e-02,    0.00000e+00,    2.77161e+04,    1.12390e+01,    4.21370e+02,    1.42783e-01,    2.46793e+00,    3.36840e-03,    4.33382e+02,    1.41844e-01,    1.40297e+02,    3.94986e-02,    2.48091e+01,    1.09455e-04,    2.73562e+01,    2.54286e-04,    1.02527e+01,    2.10312e-03,    1.15826e+01,    1.19823e-03,              3,              0,       1 meters
  05/11/2002 20:32:38.345,    2.40099e+00,    3.31367e-04,    2.40099e+00,    3.31367e-04,   -1.00000e-02,    0.00000e+00,    2.76852e+04,    1.17078e+01,    4.21588e+02,    3.08287e-01,    2.46935e+00,    3.70537e-04,    4.33593e+02,    3.11844e-01,    1.40328e+02,    7.10070e-02,    2.48094e+01,    1.90923e-04,    2.73686e+01,    9.33516e-03,    1.02513e+01,    4.74144e-03,    1.15813e+01,    1.88462e-03,              3,              0,       1 meters
  05/11/2002 20:32:40.336,    2.39971e+00,    3.27851e-03,    2.39971e+00,    3.27851e-03,   -1.00000e-02,    0.00000e+00,    2.78879e+04,    9.00540e+01,    4.20866e+02,    4.75823e-01,    2.46855e+00,    3.60125e-03,    4.32940e+02,    4.49367e-01,    1.40351e+02,    2.10212e-02,    2.48097e+01,    9.54072e-05,    2.73800e+01,    4.90589e-03,    1.02509e+01,    2.82727e-03,    1.15882e+01,    2.34639e-03,              3,              0,       1 meters
  05/11/2002 20:32:42.326,    2.39347e+00,    2.86756e-03,    2.39347e+00,    2.86756e-03,   -1.00000e-02,    0.00000e+00,    2.78971e+04,    1.87301e+01,    4.20724e+02,    2.36442e-01,    2.46216e+00,    2.99729e-03,    4.32798e+02,    2.51566e-01,    1.40307e+02,    6.11316e-02,    2.48098e+01,    9.19151e-05,    2.73904e+01,    1.18625e-03,    1.02511e+01,    1.84152e-03,    1.15868e+01,    2.81675e-04,              3,              0,       1 meters
  05/11/2002 20:32:44.317,    2.39302e+00,    2.75028e-03,    2.39302e+00,    2.75028e-03,   -1.00000e-02,    0.00000e+00,    2.79059e+04,    8.53713e+01,    4.20852e+02,    1.13596e-02,    2.46171e+00,    3.04542e-03,    4.32933e+02,    4.97068e-02,    1.40293e+02,    2.27063e-05,    2.48099e+01,    1.35791e-05,    2.74023e+01,    2.85756e-03,    1.02495e+01,    9.68164e-04,    1.15846e+01,    4.44210e-03,              3,              0,       1 meters
  05/11/2002 20:32:46.308,    2.40338e+00,    5.83651e-03,    2.40338e+00,    5.83651e-03,   -1.00000e-02,    0.00000e+00,    2.78937e+04,    1.62111e+01,    4.21124e+02,    2.91673e-01,    2.47234e+00,    6.04522e-03,    4.33208e+02,    3.07267e-01,    1.40320e+02,    7.45830e-02,    2.48101e+01,    2.24589e-04,    2.74118e+01,    7.22116e-03,    1.02508e+01,    3.71268e-03,    1.15855e+01,    1.91724e-03,              3,              0,       1 meters
