VC:46e9e7d BD:Jun  9 2016 SN:US4300170200001328
                     Time,      [CH4]_ppm,   [CH4]_ppm_sd,     [CH4L]_ppm,  [CH4L]_ppm_sd,     [CH4H]_ppm,  [CH4H]_ppm_sd,      [H2O]_ppm,   [H2O]_ppm_sd,      [CO2]_ppm,   [CO2]_ppm_sd,     [CH4]d_ppm,  [CH4]d_ppm_sd,     [CO2]d_ppm,  [CO2]d_ppm_sd,      GasP_torr,   GasP_torr_sd,         GasT_C,      GasT_C_sd,         AmbT_C,      AmbT_C_sd,         RD0_us,      RD0_us_sd,         RD1_us,      RD1_us_sd,       Fit_Flag,      MIU_VALVE,       MIU_DESC
  05/11/2002 20:37:17.323,    1.91359e+00,    2.03940e-04,    1.91359e+00,    2.03940e-04,   -1.00000e-02,    0.00000e+00,    2.22055e+04,    2.37585e+01,    4.13379e+02,    1.17988e-01,    1.95704e+00,    2.56123e-04,    4.22767e+02,    1.10395e-01,    1.40306e+02,    6.12160e-02,    2.48766e+01,    4.69615e-04,    2.83817e+01,    2.15230e-03,    1.02658e+01,    2.40579e-03,    1.15854e+01,    8.16770e-04,              3,              0,       1 meters
  05/11/2002 20:37:19.313,    1.91304e+00,    1.33027e-03,    1.91304e+00,    1.33027e-03,   -1.00000e-02,    0.00000e+00,    2.22061e+04,    4.88690e+01,    4.13133e+02,    1.65561e-02,    1.95648e+00,    1.45826e-03,    4.22516e+02,    3.80489e-02,    1.40320e+02,    3.24029e-02,    2.48778e+01,    4.43245e-04,    2.83884e+01,    2.61510e-03,    1.02616e+01,    1.96580e-04,    1.15851e+01,    5.26482e-05,              3,              0,       1 meters
  05/11/2002 20:37:21.304,    1.91455e+00,    1.34224e-03,    1.91455e+00,    1.34224e-03,   -1.00000e-02,    0.00000e+00,    2.22602e+04,    7.37862e+01,    4.12748e+02,    5.14035e-01,    1.95814e+00,    1.52058e-03,    4.22145e+02,    4.93880e-01,    1.40328e+02,    6.36209e-02,    2.48791e+01,    4.33896e-04,    2.83963e+01,    4.75416e-03,    1.02604e+01,    5.79512e-03,    1.15881e+01,    6.28121e-03,              3,              0,       1 meters
  05/11/2002 20:37:23.297,    1.91230e+00,    2.58419e-03,    1.91230e+00,    2.58419e-03,   -1.00000e-02,    0.00000e+00,    2.21699e+04,    6.96612e+01,    4.13128e+02,    2.25913e-01,    1.95566e+00,    2.78210e-03,    4.22495e+02,    2.00936e-01,    1.40328e+02,    3.39367e-02,    2.48803e+01,    3.72994e-04,    2.84044e+01,    2.12206e-03,    1.02608e+01,    5.42350e-04,    1.15810e+01,    2.96228e-03,              3,              0,       1 meters
  05/11/2002 20:37:25.287,    1.91290e+00,    9.26968e-04,    1.91290e+00,    9.26968e-04,   -1.00000e-02,    0.00000e+00,    2.21763e+04,    1.01397e+02,    4.13137e+02,    3.62559e-01,    1.95629e+00,    1.15085e-03,    4.22507e+02,    3.26969e-01,    1.40310e+02,    5.97202e-02,    2.48816e+01,    4.65694e-04,    2.84116e+01,    4.43947e-04,    1.02615e+01,    1.97613e-03,    1.15850e+01,    5.17294e-03,              3,              0,       1 meters
  05/11/2002 20:37:27.277,    1.91303e+00,    9.78494e-04,    1.91303e+00,    9.78494e-04,   -1.00000e-02,    0.00000e+00,    2.22027e+04,    1.08905e+01,    4.12915e+02,    4.56797e-02,    1.95647e+00,    9.78921e-04,    4.22291e+02,    5.14204e-02,    1.40320e+02,    2.56610e-02,    2.48829e+01,    4.56942e-04,    2.84174e+01,    1.74799e-03,    1.02611e+01,    9.96267e-04,    1.15885e+01,    3.00524e-04,              3,              0,       1 meters
  05/11/2002 20:37:29.267,    1.91270e+00,    6.03791e-04,    1.91270e+00,    6.03791e-04,   -1.00000e-02,    0.00000e+00,    2.20868e+04,    1.39048e+01,    4.13080e+02,    2.49498e-01,    1.95590e+00,    5.89617e-04,    4.22410e+02,    2.49127e-01,    1.40323e+02,    6.59088e-02,    2.48842e+01,    5.32810e-04,    2.84241e+01,    4.95787e-03,    1.02644e+01,    1.61090e-03,    1.15860e+01,    1.96237e-03,              3,              0,       1 meters
  05/11/2002 20:37:31.257,    1.91430e+00,    9.04036e-04,    1.91430e+00,    9.04036e-04,   -1.00000e-02,    0.00000e+00,    2.21732e+04,    5.90962e+01,    4.13073e+02,    1.54523e-02,    1.95771e+00,    1.04285e-03,    4.22439e+02,    9.72793e-03,    1.40312e+02,    4.00280e-05,    2.48854e+01,    3.05817e-04,    2.84320e+01,    3.22142e-03,    1.02591e+01,    6.64397e-04,    1.15835e+01,    4.41169e-04,              3,              0,       1 meters
  05/11/2002 20:37:33.249,    1.91346e+00,    1.07979e-03,    1.91346e+00,    1.07979e-03,   -1.00000e-02,    0.00000e+00,    2.21470e+04,    4.13958e+01,    4.12878e+02,    1.30766e-01,    1.95679e+00,    1.02141e-03,    4.22229e+02,    1.51602e-01,    1.40317e+02,    6.25412e-02,    2.48867e+01,    3.06783e-04,    2.84401e+01,    1.28829e-03,    1.02597e+01,    5.49845e-04,    1.15862e+01,    4.86736e-04,              3,              0,       1 meters
  05/11/2002 20:37:35.238,    1.91382e+00,    3.35751e-04,    1.91382e+00,    3.35751e-04,   -1.00000e-02,    0.00000e+00,    2.21743e+04,    5.55165e+01,    4.13091e+02,    1.86733e-02,    1.95722e+00,    2.32243e-04,    4.22459e+02,    4.88855e-03,    1.40309e+02,    3.04803e-02,    2.48879e+01,    2.73239e-04,    2.84485e+01,    3.31999e-04,    1.02627e+01,    2.74116e-03,    1.15861e+01,    1.00051e-03,              3,              0,       1 meters
  05/11/2002 20:37:37.230,    1.91242e+00,    1.91382e-04,    1.91242e+00,    1.91382e-04,   -1.00000e-02,    0.00000e+00,    2.22364e+04,    6.92221e+01,    4.13218e+02,    1.73554e-01,    1.95591e+00,    3.34206e-04,    4.22616e+02,    1.47581e-01,    1.40314e+02,    6.83916e-02,    2.48892e+01,    4.97380e-04,    2.84561e+01,    5.90758e-03,    1.02639e+01,    3.18900e-03,    1.15836e+01,    7.88110e-04,              3,              0,       1 meters
