
Advanced Calibration Data
,,Cal Date,coef 1, coef 2, coef 3, coef 4, coef 5, coef 6, coef 7, coef 8, coef 9
,Temperature(degC),unknown,0.000000,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.00
,Pressure(psi),unknown,0.000001,-0.000219,1.003133,-0.000022,0.001997,0.421111,0.000000,1.000000,0.000000
,Power(V),unknown,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,DO(ppm),19-Feb-18 12:42,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,DO Temp(degC),unknown,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00

Field Calibration Data
,,Cal Date,coef 1, coef 2, coef 3, coef 4, coef 5, coef 6, coef 7
,Temperature(degC),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,Pressure(psi),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,Power(V),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,DO(ppm),19-Feb-18 12:42,1.000000,0.560000,0.000000,0.000000,0.000000,1.000000,0.000000
,DO Temp(degC),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000

Sensor/File information
Sensor SN, 21230023 ,,Modbus Addr., 3 
Sensor Type,DO2,,Initialized w/fw Rev,"2. 131"
Sensor Name,FCR DO 1m  (3),,Uploaded,"Aqua4Plus 1.9.10"
File Name,FCR_DO_1m_20190627,,Exported,"Aqua4Plus 1.9.10"
# Records,  8153 
Statistical Data,,Temperature(degC),Pressure(psi),Power(V),DO(ppm),DO Temp(degC),
,Sensor Range,Custom,Custom,Custom,Custom,Custom,
,Minimum,21.875,-53.608,12.579,4.930,21.480,
,Maximum,32.625,14.899,13.950,16.480,29.960,
,Mean,26.997,10.268,13.296,9.241,26.061,
,Variance,3.2314,98.2607,0.2375,7.6246,2.2542,
,Std Deviation,1.7976,9.9127,0.4874,2.7613,1.5014,
,,,,,,,
,,,,,,,
Rec #,Date/Time,Temperature(degC),Pressure(psi),Power(V),DO(ppm),DO Temp(degC)
1,27-Jun-19 17:00:00,27.625,6.682,13.831,14.290,25.260
2,27-Jun-19 17:15:00,27.563,6.609,13.861,14.200,25.310
3,27-Jun-19 17:30:00,27.688,6.653,13.831,14.210,25.280
4,27-Jun-19 17:45:00,27.688,6.538,13.861,14.210,25.430
5,27-Jun-19 18:00:00,27.938,6.306,13.831,14.070,25.390
6,27-Jun-19 18:15:00,28.125,6.345,13.861,14.030,25.530
7,27-Jun-19 18:30:00,27.938,6.595,13.861,13.840,25.920
8,27-Jun-19 18:45:00,27.813,6.630,13.861,13.950,25.890
9,27-Jun-19 19:00:00,27.750,6.513,13.831,13.410,26.050
10,27-Jun-19 19:15:00,27.750,6.428,13.831,12.210,26.250
11,27-Jun-19 19:30:00,28.000,5.462,13.831,10.980,26.560
12,27-Jun-19 19:45:00,28.000,4.592,13.324,9.420,26.930
13,27-Jun-19 20:00:00,27.938,4.438,13.175,8.480,27.150
14,27-Jun-19 20:15:00,27.813,4.203,13.026,8.010,27.280
15,27-Jun-19 20:30:00,27.750,4.760,12.907,7.530,27.360
16,27-Jun-19 20:45:00,27.688,4.730,12.937,7.250,27.230
17,27-Jun-19 21:00:00,27.688,4.637,12.877,7.060,27.290
18,27-Jun-19 21:15:00,27.625,4.742,12.877,6.930,27.250
19,27-Jun-19 21:30:00,27.500,4.743,12.847,6.710,27.190
20,27-Jun-19 21:45:00,27.500,4.802,12.877,6.590,27.140
21,27-Jun-19 22:00:00,27.438,4.909,12.877,6.740,27.070
22,27-Jun-19 22:15:00,27.375,5.064,12.847,6.690,27.050
23,27-Jun-19 22:30:00,27.313,5.061,12.847,6.540,27.020
24,27-Jun-19 22:45:00,27.313,4.812,12.847,6.830,26.990
25,27-Jun-19 23:00:00,27.250,5.060,12.847,6.700,26.950
26,27-Jun-19 23:15:00,27.250,5.213,12.817,6.700,26.920
27,27-Jun-19 23:30:00,27.188,5.160,12.847,6.840,26.890
28,27-Jun-19 23:45:00,27.188,5.233,12.847,6.470,26.860
29,28-Jun-19 00:00:00,27.125,5.276,12.847,6.380,26.770
30,28-Jun-19 00:15:00,27.125,4.995,12.817,6.710,26.730
31,28-Jun-19 00:30:00,27.063,4.906,12.817,6.740,26.680
32,28-Jun-19 00:45:00,27.000,5.179,12.817,6.710,26.640
33,28-Jun-19 01:00:00,26.938,5.158,12.817,6.800,26.590
34,28-Jun-19 01:15:00,26.813,5.569,12.817,7.100,26.540
35,28-Jun-19 01:30:00,26.813,5.395,12.817,7.050,26.500
36,28-Jun-19 01:45:00,26.750,5.273,12.817,7.080,26.450
37,28-Jun-19 02:00:00,26.688,5.552,12.817,7.130,26.390
38,28-Jun-19 02:15:00,26.688,5.332,12.817,7.120,26.360
39,28-Jun-19 02:30:00,26.625,5.285,12.788,6.980,26.320
40,28-Jun-19 02:45:00,26.563,5.440,12.817,7.020,26.260
41,28-Jun-19 03:00:00,26.563,5.370,12.817,6.980,26.230
42,28-Jun-19 03:15:00,26.500,5.576,12.817,6.930,26.190
43,28-Jun-19 03:30:00,26.500,5.732,12.788,6.920,26.150
44,28-Jun-19 03:45:00,26.438,5.591,12.788,6.900,26.120
45,28-Jun-19 04:00:00,26.375,5.518,12.817,6.930,26.060
46,28-Jun-19 04:15:00,26.313,5.644,12.788,6.930,26.030
47,28-Jun-19 04:30:00,26.313,5.442,12.788,7.020,26.020
48,28-Jun-19 04:45:00,26.250,5.553,12.788,7.120,25.960
49,28-Jun-19 05:00:00,26.188,5.473,12.758,7.170,25.900
50,28-Jun-19 05:15:00,26.188,6.048,12.788,7.100,25.880
51,28-Jun-19 05:30:00,26.188,5.556,12.758,7.150,25.840
52,28-Jun-19 05:45:00,26.063,5.806,12.758,7.120,25.820
53,28-Jun-19 06:00:00,26.063,5.649,12.758,6.960,25.790
54,28-Jun-19 06:15:00,26.063,5.759,12.728,7.260,25.750
55,28-Jun-19 06:30:00,26.000,5.831,12.728,7.530,25.700
56,28-Jun-19 06:45:00,26.000,5.780,12.728,7.620,25.680
57,28-Jun-19 07:00:00,26.000,5.956,12.758,7.610,25.630
58,28-Jun-19 07:15:00,25.938,5.917,12.788,7.690,25.600
59,28-Jun-19 07:30:00,25.938,5.922,12.877,7.780,25.590
60,28-Jun-19 07:45:00,25.938,5.912,13.026,7.810,25.590
61,28-Jun-19 08:00:00,25.938,5.578,13.205,7.920,25.570
62,28-Jun-19 08:15:00,26.063,5.695,13.324,8.390,25.540
63,28-Jun-19 08:30:00,26.250,5.385,13.384,8.760,25.600
64,28-Jun-19 08:45:00,26.375,5.512,13.414,9.010,25.660
65,28-Jun-19 09:00:00,26.500,5.637,13.473,9.220,25.690
66,28-Jun-19 09:15:00,26.625,5.519,13.473,9.220,25.680
67,28-Jun-19 09:30:00,26.688,5.603,13.533,9.150,25.690
68,28-Jun-19 09:45:00,26.563,5.755,13.622,9.150,25.700
69,28-Jun-19 10:00:00,26.500,5.779,13.712,9.080,25.760
70,28-Jun-19 10:15:00,26.563,5.322,13.771,8.990,25.760
71,28-Jun-19 10:30:00,26.688,5.631,13.712,8.980,25.770
72,28-Jun-19 10:45:00,26.813,5.708,13.652,9.110,25.820
73,28-Jun-19 11:00:00,26.938,5.350,13.563,9.200,25.830
74,28-Jun-19 11:15:00,27.063,5.653,13.533,9.330,25.910
