
Advanced Calibration Data
,,Cal Date,coef 1, coef 2, coef 3, coef 4, coef 5, coef 6, coef 7, coef 8, coef 9
,Temperature(degC),unknown,0.000000,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.00
,Pressure(psi),unknown,0.000001,-0.000219,1.003133,-0.000022,0.001997,0.421111,0.000000,1.000000,0.000000
,Power(V),unknown,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,DO(ppm),19-Feb-18 12:42,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,DO Temp(degC),unknown,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00

Field Calibration Data
,,Cal Date,coef 1, coef 2, coef 3, coef 4, coef 5, coef 6, coef 7
,Temperature(degC),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,Pressure(psi),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,Power(V),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,DO(ppm),19-Feb-18 12:42,1.000000,0.560000,0.000000,0.000000,0.000000,1.000000,0.000000
,DO Temp(degC),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000

Sensor/File information
Sensor SN, 21230023 ,,Modbus Addr., 3 
Sensor Type,DO2,,Initialized w/fw Rev,"2. 131"
Sensor Name,FCR DO 1m  (3),,Uploaded,"Aqua4Plus 1.9.10"
File Name,FCR_DO_1m_20200131,,Exported,"Aqua4Plus 1.9.10"
# Records,  19780 
Statistical Data,,Temperature(degC),Pressure(psi),Power(V),DO(ppm),DO Temp(degC),
,Sensor Range,Custom,Custom,Custom,Custom,Custom,
,Minimum,3.750,-55.360,12.490,2.790,3.220,
,Maximum,32.313,56.202,13.950,18.420,28.740,
,Mean,18.235,-23.063,13.181,8.851,16.666,
,Variance,62.6630,2066.7492,0.2295,8.2411,55.9819,
,Std Deviation,7.9160,45.4615,0.4791,2.8707,7.4821,
,,,,,,,
,,,,,,,
Rec #,Date/Time,Temperature(degC),Pressure(psi),Power(V),DO(ppm),DO Temp(degC)
1,31-Jan-20 17:00:00,4.188,-55.354,13.771,10.510,3.570
2,31-Jan-20 17:15:00,4.188,-55.354,13.712,10.540,3.570
3,31-Jan-20 17:30:00,4.188,-55.354,13.712,10.600,3.570
4,31-Jan-20 17:45:00,4.188,-55.354,13.741,10.600,3.560
5,31-Jan-20 18:00:00,4.188,-55.354,13.175,10.570,3.560
6,31-Jan-20 18:15:00,4.188,-55.354,13.116,10.510,3.560
7,31-Jan-20 18:30:00,4.125,-55.355,13.026,10.350,3.560
8,31-Jan-20 18:45:00,4.125,-55.355,12.966,10.160,3.560
9,31-Jan-20 19:00:00,4.125,-55.355,12.937,9.960,3.560
10,31-Jan-20 19:15:00,4.125,-55.355,12.937,9.750,3.570
11,31-Jan-20 19:30:00,4.125,-55.355,12.937,9.550,3.570
12,31-Jan-20 19:45:00,4.125,-55.355,12.937,9.410,3.570
13,31-Jan-20 20:00:00,4.125,-55.355,12.877,9.280,3.560
14,31-Jan-20 20:15:00,4.063,-55.356,12.877,9.190,3.550
15,31-Jan-20 20:30:00,4.125,-55.355,12.907,9.100,3.550
16,31-Jan-20 20:45:00,4.063,-55.356,12.907,9.000,3.530
17,31-Jan-20 21:00:00,4.063,-55.356,12.877,8.950,3.530
18,31-Jan-20 21:15:00,4.063,-55.356,12.877,8.950,3.520
19,31-Jan-20 21:30:00,4.000,-55.357,12.877,8.920,3.520
20,31-Jan-20 21:45:00,4.000,-55.357,12.877,8.960,3.520
21,31-Jan-20 22:00:00,4.000,-55.357,12.847,8.960,3.500
22,31-Jan-20 22:15:00,4.000,-55.357,12.877,8.970,3.480
23,31-Jan-20 22:30:00,4.000,-55.357,12.877,8.960,3.460
24,31-Jan-20 22:45:00,3.938,-55.357,12.847,8.980,3.440
25,31-Jan-20 23:00:00,3.938,-55.357,12.817,8.990,3.440
26,31-Jan-20 23:15:00,3.938,-55.357,12.817,8.990,3.380
27,31-Jan-20 23:30:00,3.875,-55.358,12.847,8.940,3.350
28,31-Jan-20 23:45:00,3.875,-55.358,12.847,8.940,3.360
29,1-Feb-20 00:00:00,3.938,-55.357,12.788,8.940,3.380
30,1-Feb-20 00:15:00,3.875,-55.358,12.847,8.970,3.380
31,1-Feb-20 00:30:00,3.938,-55.357,12.847,8.950,3.390
32,1-Feb-20 00:45:00,3.875,-55.358,12.847,9.000,3.390
33,1-Feb-20 01:00:00,3.938,-55.357,12.788,9.020,3.390
34,1-Feb-20 01:15:00,3.938,-55.357,12.817,9.020,3.380
35,1-Feb-20 01:30:00,3.938,-55.357,12.847,9.010,3.390
36,1-Feb-20 01:45:00,3.938,-55.357,12.817,9.020,3.390
37,1-Feb-20 02:00:00,3.938,-55.357,12.758,8.980,3.390
38,1-Feb-20 02:15:00,3.938,-55.357,12.817,8.970,3.360
39,1-Feb-20 02:30:00,3.938,-55.357,12.817,8.940,3.360
40,1-Feb-20 02:45:00,3.938,-55.357,12.817,8.930,3.350
41,1-Feb-20 03:00:00,3.875,-55.358,12.788,8.950,3.330
42,1-Feb-20 03:15:00,3.875,-55.358,12.788,8.900,3.310
43,1-Feb-20 03:30:00,3.813,-55.359,12.817,8.930,3.290
44,1-Feb-20 03:45:00,3.875,-55.358,12.788,8.940,3.300
45,1-Feb-20 04:00:00,3.813,-55.359,12.758,8.910,3.300
46,1-Feb-20 04:15:00,3.813,-55.359,12.788,8.890,3.290
47,1-Feb-20 04:30:00,3.813,-55.359,12.788,8.850,3.260
