
Advanced Calibration Data
,,Cal Date,coef 1, coef 2, coef 3, coef 4, coef 5, coef 6, coef 7, coef 8, coef 9
,Temperature(degC),unknown,0.000000,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.00
,Pressure(psi),unknown,0.000000,-0.000189,0.995379,-0.000032,0.003576,0.347366,0.000000,1.000000,0.000000
,Power(V),unknown,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,DO(ppm),19-Feb-18 12:38,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,DO Temp(degC),unknown,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00

Field Calibration Data
,,Cal Date,coef 1, coef 2, coef 3, coef 4, coef 5, coef 6, coef 7
,Temperature(degC),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,Pressure(psi),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,Power(V),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,DO(ppm),19-Feb-18 12:38,1.000000,0.130000,0.000000,0.000000,0.000000,1.000000,0.000000
,DO Temp(degC),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000

Sensor/File information
Sensor SN, 21230019 ,,Modbus Addr., 1 
Sensor Type,DO2,,Initialized w/fw Rev,"2. 130"
Sensor Name,FCR DO (1),,Uploaded,"Aqua4Plus 1.9.10"
File Name,FCR_DO_8m_20200824,,Exported,"Aqua4Plus 1.9.10"
# Records,  861 
Statistical Data,,Temperature(degC),Pressure(psi),Power(V),DO(ppm),DO Temp(degC),
,Sensor Range,Custom,Custom,Custom,Custom,Custom,
,Minimum,11.625,26.076,12.668,2.300,11.670,
,Maximum,13.063,26.422,13.980,2.600,11.980,
,Mean,12.038,26.256,13.287,2.433,11.789,
,Variance,0.0850,0.0059,0.2055,0.0020,0.0040,
,Std Deviation,0.2915,0.0765,0.4533,0.0453,0.0633,
,,,,,,,
,,,,,,,
Rec #,Date/Time,Temperature(degC),Pressure(psi),Power(V),DO(ppm),DO Temp(degC)
1,24-Aug-20 17:10:20,12.063,26.290,13.980,2.370,11.690
2,24-Aug-20 17:25:20,12.250,26.266,13.920,2.400,11.680
3,24-Aug-20 17:40:20,12.250,26.284,13.950,2.420,11.680
4,24-Aug-20 17:55:20,12.313,26.276,13.950,2.450,11.680
5,24-Aug-20 18:10:20,12.188,26.259,13.920,2.440,11.680
6,24-Aug-20 18:25:20,12.250,26.282,13.592,2.400,11.680
7,24-Aug-20 18:40:20,12.313,26.253,13.622,2.470,11.680
8,24-Aug-20 18:55:20,12.250,26.262,13.592,2.490,11.690
9,24-Aug-20 19:10:20,12.250,26.284,13.533,2.480,11.680
10,24-Aug-20 19:25:20,12.313,26.284,13.503,2.480,11.680
11,24-Aug-20 19:40:20,12.250,26.298,13.086,2.430,11.680
12,24-Aug-20 19:55:20,12.250,26.293,12.996,2.360,11.680
13,24-Aug-20 20:10:20,12.250,26.303,12.966,2.310,11.680
14,24-Aug-20 20:25:20,12.250,26.282,12.966,2.380,11.670
15,24-Aug-20 20:40:20,12.250,26.307,12.966,2.330,11.680
16,24-Aug-20 20:55:20,12.250,26.315,12.966,2.320,11.680
17,24-Aug-20 21:10:20,12.250,26.315,12.966,2.340,11.680
18,24-Aug-20 21:25:20,12.250,26.310,12.907,2.390,11.690
19,24-Aug-20 21:40:20,12.250,26.302,12.966,2.420,11.680
20,24-Aug-20 21:55:20,12.250,26.309,12.966,2.450,11.690
21,24-Aug-20 22:10:20,12.250,26.310,12.966,2.410,11.680
22,24-Aug-20 22:25:20,12.250,26.285,12.966,2.400,11.680
23,24-Aug-20 22:40:20,12.188,26.307,12.966,2.430,11.680
24,24-Aug-20 22:55:20,12.250,26.311,12.966,2.380,11.690
25,24-Aug-20 23:10:20,12.188,26.305,12.966,2.390,11.680
26,24-Aug-20 23:25:20,12.250,26.291,12.966,2.420,11.680
27,24-Aug-20 23:40:20,12.188,26.310,12.966,2.410,11.680
28,24-Aug-20 23:55:20,12.188,26.309,12.937,2.410,11.680
29,25-Aug-20 00:10:20,12.250,26.309,12.937,2.420,11.680
