Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP_mV,PAR,Salinity,Descent.Rate..m.s.,Density_mg_m3,Flag
2019-02-08T17:24:06Z,0.1,4.886,0.9923,1.9236,18.540034,31.013,10.3298,80.659,7.609,-15.117,18.095,0.0139,0.074,999.9801,0
2019-02-08T17:24:06Z,0.3,4.8965,1.183,1.7506,18.524469,31.003,10.3377,80.753,7.126,32.9617,17.781,0.0139,0.007,999.9811,0
2019-02-08T17:24:06Z,0.7,4.9004,1.244,1.9525,18.482797,30.906,10.3418,80.763,6.753,49.2782,17.42,0.0139,0.049,999.9826,0
2019-02-08T17:24:06Z,1,4.8756,0.9923,1.9669,18.484511,30.925,10.3565,80.809,6.97,14.8281,17.387,0.0139,0.067,999.9846,0
2019-02-08T17:24:06Z,1.3,4.8043,1.3547,1.9669,18.412641,30.909,10.3819,80.878,7.796,-150.7595,17.136,0.0138,0.042,999.9871,0
2019-02-08T17:24:06Z,1.6,4.7355,1.5378,1.9525,18.382233,30.889,10.4297,80.955,8.041,-118.6187,17.097,0.0138,0.052,999.9893,0
2019-02-08T17:24:06Z,2,4.6749,1.9765,2.0534,18.356291,30.952,10.4122,80.916,8.075,-56.3814,16.786,0.0137,0.053,999.9919,0
2019-02-08T17:24:06Z,2.3,4.6326,2.3961,2.0246,18.295788,30.826,10.449,80.934,8.059,12.0267,16.648,0.0137,0.057,999.9936,0
2019-02-08T17:24:06Z,2.7,4.5668,3.1896,1.9525,18.287278,30.923,10.4545,80.954,8.029,36.331,16.758,0.0137,0.059,999.9961,0
2019-02-08T17:24:06Z,3,4.5192,4.2043,2.0246,18.286403,30.947,10.4788,80.982,8.034,46.2496,16.47,0.0137,0.054,999.998,0
2019-02-08T17:24:06Z,3.3,4.4887,4.3416,1.9813,18.237569,30.912,10.4687,80.876,7.968,110.0391,16.354,0.0136,0.06,1000.0001,0
2019-02-08T17:24:06Z,3.7,4.4606,4.1089,1.9813,18.232301,30.935,10.4598,80.742,7.977,128.2106,16.129,0.0136,0.092,1000.0018,0
2019-02-08T17:24:06Z,4,4.4369,4.2692,1.8804,18.228374,30.963,10.4588,80.718,7.949,169.9671,16.232,0.0136,0.087,1000.0037,0
2019-02-08T17:24:06Z,4.3,4.4379,4.3302,2.0102,18.232792,30.964,10.4554,80.692,7.925,221.0365,16.125,0.0136,0.081,1000.0053,0
2019-02-08T17:24:06Z,4.7,4.4357,4.2806,2.2409,18.283321,31.059,10.4547,80.678,7.91,258.1745,16.263,0.0136,0.093,1000.0069,0
2019-02-08T17:24:06Z,5,4.4155,4.2348,1.9813,18.240956,30.992,10.4477,80.622,7.901,289.066,16.186,0.0136,0.039,1000.0087,0
